<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL,60,20100101,010000,211.3800000,211.4500000,210.5600000,210.7400000,1537041
AAPL,60,20100101,020000,210.7800000,210.8400000,210.7200000,210.7200000,10279
AAPL,60,20100104,190000,213.6000000,214.4300000,212.6401000,213.2300000,1282765
AAPL,60,20100104,200000,213.3800000,213.8199000,212.4000000,213.3499000,1675395
AAPL,60,20100104,210000,213.3150000,213.9600000,213.0400000,213.8300000,1303353
AAPL,60,20100104,220000,213.8100000,214.2800000,213.5000000,214.0800000,1417105
AAPL,60,20100104,230000,214.0700000,214.1300000,213.5200000,213.6300000,1132736
AAPL,60,20100105,000000,213.6300000,214.2900000,213.5400000,214.0000000,1237614
AAPL,60,20100105,010000,213.9900000,214.5000000,213.8800000,214.2900000,1839364
AAPL,60,20100105,020000,214.3300000,214.3400000,214.2200000,214.2200000,12989
AAPL,60,20100105,190000,214.6800000,215.5900000,213.4300000,215.3300000,1511980
AAPL,60,20100105,200000,215.3000000,215.5600000,214.4900000,214.8102000,1606240
AAPL,60,20100105,210000,214.8001000,215.2300000,214.2300000,215.1400000,1287514
AAPL,60,20100105,220000,215.1313000,215.3200000,214.5300000,214.9200000,2680854
AAPL,60,20100105,230000,214.9100000,215.1700000,214.4200000,214.5750000,1087373
AAPL,60,20100106,000000,214.5800000,214.8100000,213.2500000,214.4100000,2258625
AAPL,60,20100106,010000,214.4000000,214.6400000,213.9100000,214.3500000,1234914
AAPL,60,20100106,020000,214.3500000,214.4500000,214.3200000,214.4500000,4879
AAPL,60,20100106,190000,214.3900000,215.2300000,213.7800000,214.2800000,836631
AAPL,60,20100106,200000,214.3000000,214.8600000,214.0800000,214.6600000,1177969
AAPL,60,20100106,210000,214.6600000,215.1000000,213.2700000,213.4100000,1271260
AAPL,60,20100106,220000,213.4499000,213.6500000,212.4000000,212.6200000,2187532
AAPL,60,20100106,230000,212.6500000,213.3400000,211.2100000,211.6000000,2358879
AAPL,60,20100107,000000,211.6200000,213.0800000,211.2500000,212.2800000,1753321
AAPL,60,20100107,010000,212.3100000,212.3100000,210.7500000,210.8500000,1809896
AAPL,60,20100107,020000,210.8363000,210.9500000,210.8000000,210.9500000,4163
AAPL,60,20100107,190000,211.6700000,211.9550000,209.5537000,210.1550000,1227523
AAPL,60,20100107,200000,210.1763000,211.4300000,209.2800000,210.9700000,1707379
AAPL,60,20100107,210000,211.0100000,211.3000000,210.2000000,210.6100000,938308
AAPL,60,20100107,220000,210.6100000,211.2800000,210.3800000,210.3800000,902396
AAPL,60,20100107,230000,210.3700000,210.5000000,209.5000000,209.6220000,1317991
AAPL,60,20100108,000000,209.6200000,210.3000000,209.0500000,210.2000000,1788181
AAPL,60,20100108,010000,210.2000000,210.5500000,209.5600000,210.4800000,1248136
AAPL,60,20100108,020000,210.4800000,210.6100000,210.4400000,210.5800000,524959
AAPL,60,20100108,190000,210.4900000,211.2100000,209.0800000,209.7900000,1096353
AAPL,60,20100108,200000,209.7900000,211.1200000,209.7500000,210.8800000,1337039
AAPL,60,20100108,210000,210.8500000,211.7900000,210.4000000,211.6900000,1478943
AAPL,60,20100108,220000,211.6900000,211.7200000,210.8900000,211.0800000,1165907
AAPL,60,20100108,230000,211.0600000,211.2380000,210.7000000,210.9100000,1255124
AAPL,60,20100109,000000,210.8900000,211.3600000,210.7800000,211.2600000,1205169
AAPL,60,20100109,010000,211.2500000,211.9899000,210.8300000,211.9899000,1398375
AAPL,60,20100109,020000,211.9900000,212.0000000,211.9200000,211.9900000,3407
AAPL,60,20100111,190000,213.0000000,213.0000000,210.7500000,210.8900000,869348
AAPL,60,20100111,200000,210.9198000,211.4000000,209.6100000,210.3000000,1162290
AAPL,60,20100111,210000,210.2900000,210.6400000,209.4000000,210.1900000,1207682
AAPL,60,20100111,220000,210.2100000,210.4800000,209.5100000,209.5700000,988648
AAPL,60,20100111,230000,209.6000000,209.9800000,209.2000000,209.2800000,1223411
AAPL,60,20100112,000000,209.2400000,209.3500000,208.4500000,209.0000000,2068122
AAPL,60,20100112,010000,209.0000000,210.5500000,208.9300000,210.0800000,1685977
AAPL,60,20100112,020000,210.0600000,210.1100000,210.0200000,210.1100000,1091499
AAPL,60,20100112,190000,209.1500000,209.5800000,207.4700000,207.8200000,821246
AAPL,60,20100112,200000,207.8600000,209.4900000,207.7700000,209.2600000,681997
AAPL,60,20100112,210000,209.2200000,209.7700000,208.7400000,209.0785000,1121227
AAPL,60,20100112,220000,209.0500000,209.1200000,207.5000000,207.7300000,1412345
AAPL,60,20100112,230000,207.7700000,208.2900000,207.3500000,208.0100000,1203800
