<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AA,60,20100104,030000,16.4800000,16.5700000,16.4000000,16.5200000,1343176
AA,60,20100104,040000,16.5150000,16.8850000,16.5000000,16.7000000,3256904
AA,60,20100104,050000,16.7000000,16.7600000,16.6300000,16.6800000,2267844
AA,60,20100104,060000,16.6899000,16.7400000,16.6100000,16.7400000,2080961
AA,60,20100104,070000,16.7400000,16.7500000,16.6600000,16.6800000,1754150
AA,60,20100104,080000,16.6800000,16.7000000,16.6300000,16.6300000,2000356
AA,60,20100104,090000,16.6300000,16.6500000,16.5900000,16.6500000,2324558
AA,60,20100104,100000,16.6416000,16.6500000,16.6400000,16.6500000,376300
AA,60,20100105,030000,16.8100000,16.8300000,16.5200000,16.6102000,1203639
AA,60,20100105,040000,16.6300000,16.6500000,16.3700000,16.4050000,4424661
AA,60,20100105,050000,16.4000000,16.5500000,16.1600000,16.1883000,6515672
AA,60,20100105,060000,16.1800000,16.3200000,16.1600000,16.1900000,6786395
AA,60,20100105,070000,16.1900000,16.1900000,16.0500000,16.1300000,4864643
AA,60,20100105,080000,16.1300000,16.1600000,16.0300000,16.1298000,3867236
AA,60,20100105,090000,16.1200000,16.1700000,16.0700000,16.1200000,4521546
AA,60,20100105,100000,16.1250000,16.1300000,16.1200000,16.1300000,337369
AA,60,20100106,030000,16.3200000,16.5800000,16.2600000,16.5450000,2372905
AA,60,20100106,040000,16.5400000,16.7400000,16.5100000,16.7300000,3784695
AA,60,20100106,050000,16.7200000,16.7400000,16.6200000,16.6600000,3062138
AA,60,20100106,060000,16.6400000,16.7100000,16.5900000,16.6979000,2134760
AA,60,20100106,070000,16.7000000,16.8800000,16.6700000,16.8700000,3913303
AA,60,20100106,080000,16.8700000,17.0600000,16.8700000,17.0300000,4886576
AA,60,20100106,090000,17.0300000,17.0500000,16.9100000,16.9300000,4181325
AA,60,20100106,100000,16.9300000,16.9700000,16.9300000,16.9700000,456969
AA,60,20100107,030000,16.4500000,16.6400000,16.3000000,16.3500000,1913142
AA,60,20100107,040000,16.3500000,16.5000000,16.3100000,16.4360000,4689267
AA,60,20100107,050000,16.4500000,16.5000000,16.4000000,16.4500000,3039572
AA,60,20100107,060000,16.4500000,16.5300000,16.4150000,16.4200000,2561000
AA,60,20100107,070000,16.4125000,16.4800000,16.3800000,16.4600000,2801577
AA,60,20100107,080000,16.4700000,16.5500000,16.4400000,16.5200000,2025533
AA,60,20100107,090000,16.5200000,16.6600000,16.4500000,16.6025000,3521179
AA,60,20100107,100000,16.6000000,16.6100000,16.5900000,16.6100000,613675
AA,60,20100108,030000,16.5000000,16.9600000,16.4500000,16.9450000,1125784
AA,60,20100108,040000,16.9417000,16.9600000,16.7200000,16.9100000,2570014
AA,60,20100108,050000,16.9120000,16.9600000,16.8200000,16.8930000,2218306
AA,60,20100108,060000,16.9000000,16.9700000,16.8300000,16.9200000,3278478
AA,60,20100108,070000,16.9200000,16.9700000,16.8600000,16.9400000,3443652
AA,60,20100108,080000,16.9350000,16.9800000,16.8800000,16.9700000,3234623
AA,60,20100108,090000,16.9700000,17.0100000,16.9100000,17.0000000,4386843
AA,60,20100108,100000,17.0100000,17.0200000,17.0000000,17.0200000,315178
AA,60,20100111,030000,17.4900000,17.6000000,17.3000000,17.3989000,4073965
AA,60,20100111,040000,17.3994000,17.4700000,17.2100000,17.3300000,4147501
AA,60,20100111,050000,17.3300000,17.3400000,17.1300000,17.3000000,4299387
AA,60,20100111,060000,17.2999000,17.3000000,17.1300000,17.1900000,6301149
AA,60,20100111,070000,17.1899000,17.2400000,17.1598000,17.1900000,4443239
AA,60,20100111,080000,17.1900000,17.3100000,17.1700000,17.2999000,6415165
AA,60,20100111,090000,17.3000000,17.5000000,17.2800000,17.4300000,11427605
AA,60,20100111,100000,17.4300000,17.4500000,17.4300000,17.4500000,339994
AA,60,20100112,030000,16.1100000,16.2500000,15.8300000,15.9902000,8255654
AA,60,20100112,040000,16.0000000,16.1600000,15.9100000,15.9300000,5944504
AA,60,20100112,050000,15.9365000,15.9600000,15.7500000,15.7900000,14323625
AA,60,20100112,060000,15.7900000,15.8500000,15.6100000,15.6101000,8737679
AA,60,20100112,070000,15.6106000,15.6800000,15.5200000,15.6100000,10616313
AA,60,20100112,080000,15.6100000,15.6100000,15.5100000,15.5604000,11239484
AA,60,20100112,090000,15.5600000,15.5900000,15.4300000,15.4950000,12969670
