<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADBE,60,20100101,010000,37.1800000,37.1900000,36.8200000,36.8200000,431875
ADBE,60,20100101,020000,36.8100000,36.8200000,36.7900000,36.7900000,2412
ADBE,60,20100104,190000,36.7000000,37.1700000,36.6500000,37.0500000,220383
ADBE,60,20100104,200000,37.0450000,37.1900000,36.9200000,37.1500000,278878
ADBE,60,20100104,210000,37.1500000,37.3000000,37.1400000,37.1715000,308867
ADBE,60,20100104,220000,37.1800000,37.2100000,36.9300000,36.9400000,502405
ADBE,60,20100104,230000,36.9400000,37.0900000,36.9400000,37.0600000,439794
ADBE,60,20100105,000000,37.0600000,37.1000000,37.0100000,37.0500000,377544
ADBE,60,20100105,010000,37.0500000,37.1000000,36.9700000,37.0700000,412968
ADBE,60,20100105,020000,37.0800000,37.0900000,37.0700000,37.0900000,390716
ADBE,60,20100105,190000,37.0299000,37.1700000,36.9200000,37.1000000,123461
ADBE,60,20100105,200000,37.0700000,37.2000000,37.0000000,37.1400000,534947
ADBE,60,20100105,210000,37.1500000,37.1900000,37.0500000,37.1900000,490881
ADBE,60,20100105,220000,37.1805000,37.4700000,37.1800000,37.4700000,778092
ADBE,60,20100105,230000,37.4600000,37.5100000,37.4500000,37.4900000,751171
ADBE,60,20100106,000000,37.4900000,37.7000000,37.4500000,37.6800000,664510
ADBE,60,20100106,010000,37.6900000,37.8000000,37.6700000,37.7000000,966494
ADBE,60,20100106,020000,37.7000000,37.7000000,37.7000000,37.7000000,709670
ADBE,60,20100106,190000,37.3500000,37.7300000,37.2600000,37.3600000,100612
ADBE,60,20100106,200000,37.3500000,37.5300000,37.2000000,37.2800000,335779
ADBE,60,20100106,210000,37.2700000,37.4000000,37.2700000,37.2850000,235998
ADBE,60,20100106,220000,37.2850000,37.3200000,37.2500000,37.3100000,374137
ADBE,60,20100106,230000,37.3400000,37.4600000,37.3300000,37.3899000,504902
ADBE,60,20100107,000000,37.3900000,37.6450000,37.3700000,37.6100000,438940
ADBE,60,20100107,010000,37.5900000,37.6800000,37.5500000,37.6102000,651202
ADBE,60,20100107,020000,37.6200000,37.6200000,37.6100000,37.6200000,3654
ADBE,60,20100107,190000,37.3800000,37.5865000,37.1400000,37.1900000,106722
ADBE,60,20100107,200000,37.1950000,37.3300000,37.0500000,37.1800000,223093
ADBE,60,20100107,210000,37.1800000,37.1800000,37.0000000,37.0605000,261194
ADBE,60,20100107,220000,37.0650000,37.1600000,37.0300000,37.0900000,1084870
ADBE,60,20100107,230000,37.0900000,37.1900000,37.0000000,37.0000000,541920
ADBE,60,20100108,000000,37.0000000,37.0900000,36.9800000,37.0100000,423432
ADBE,60,20100108,010000,37.0000000,37.0300000,36.8100000,36.8800000,695375
ADBE,60,20100108,020000,36.8800000,36.9100000,36.8700000,36.9100000,7547
