<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AMAT,60,20100101,010000,14.0400000,14.0500000,13.9300000,13.9300000,1326556
AMAT,60,20100101,020000,13.9350000,13.9400000,13.9300000,13.9300000,6050
AMAT,60,20100104,190000,14.1100000,14.4300000,14.0300000,14.3800000,755391
AMAT,60,20100104,200000,14.3900000,14.5000000,14.2900000,14.4700000,1549201
AMAT,60,20100104,210000,14.4700000,14.5700000,14.4500000,14.5000000,1818643
AMAT,60,20100104,220000,14.4900000,14.5000000,14.3800000,14.4000000,1595376
AMAT,60,20100104,230000,14.4000000,14.4500000,14.3300000,14.3300000,2077860
AMAT,60,20100105,000000,14.3400000,14.3900000,14.3100000,14.3500000,1456827
AMAT,60,20100105,010000,14.3500000,14.3700000,14.2700000,14.3000000,1490731
AMAT,60,20100105,020000,14.3000000,14.3100000,14.3000000,14.3000000,3967080
AMAT,60,20100105,190000,14.2700000,14.2800000,14.1200000,14.2400000,412817
AMAT,60,20100105,200000,14.2400000,14.3800000,14.2100000,14.2300000,1537651
AMAT,60,20100105,210000,14.2200000,14.2600000,14.1350000,14.1597000,1165539
AMAT,60,20100105,220000,14.1600000,14.1700000,14.1000000,14.1300000,1341231
AMAT,60,20100105,230000,14.1300000,14.1400000,14.0400000,14.1200000,1520314
AMAT,60,20100106,000000,14.1100000,14.1400000,14.0600000,14.1400000,1273815
AMAT,60,20100106,010000,14.1350000,14.2100000,14.1200000,14.1900000,1154243
AMAT,60,20100106,020000,14.1900000,14.1900000,14.1800000,14.1900000,1533496
AMAT,60,20100106,190000,14.2300000,14.3300000,14.1300000,14.2900000,534763
AMAT,60,20100106,200000,14.2900000,14.3760000,14.2600000,14.3200000,806061
AMAT,60,20100106,210000,14.3100000,14.4000000,14.2800000,14.2805000,600022
AMAT,60,20100106,220000,14.2805000,14.2805000,14.2100000,14.2600000,1031216
AMAT,60,20100106,230000,14.2700000,14.2700000,14.1300000,14.1500000,1321194
AMAT,60,20100107,000000,14.1500000,14.2500000,14.1410000,14.2100000,878093
AMAT,60,20100107,010000,14.2100000,14.2200000,14.1000000,14.1300000,1587981
AMAT,60,20100107,020000,14.1200000,14.1600000,14.1200000,14.1600000,51064
AMAT,60,20100107,190000,14.1400000,14.2100000,13.9600000,13.9800000,429768
