<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AXP,60,20100104,110000,40.6500000,40.9400000,40.4600000,40.5500000,209006
AXP,60,20100104,120000,40.5501000,40.6800000,40.3900000,40.5800000,429359
AXP,60,20100104,130000,40.5700000,41.1000000,40.5700000,41.0100000,576672
AXP,60,20100104,140000,41.0199000,41.0610000,40.8600000,40.9100000,534594
AXP,60,20100104,150000,40.9200000,40.9600000,40.7100000,40.7100000,439182
AXP,60,20100104,160000,40.7100000,41.0100000,40.7100000,40.9300000,678817
AXP,60,20100104,170000,40.9390000,41.0300000,40.8400000,40.9300000,756449
AXP,60,20100104,180000,40.9200000,40.9201000,40.9200000,40.9200000,510791
AXP,60,20100105,110000,40.7600000,40.9800000,40.7300000,40.8300000,231869
AXP,60,20100105,120000,40.8300000,41.2300000,40.8200000,40.9600000,1747482
AXP,60,20100105,130000,40.9600000,41.1500000,40.7900000,40.8500000,1208762
AXP,60,20100105,140000,40.8400000,40.9300000,40.5100000,40.5300000,1099686
AXP,60,20100105,150000,40.5300000,40.6200000,40.4200000,40.5400000,546894
AXP,60,20100105,160000,40.5300000,40.6500000,40.3750000,40.5200000,583530
AXP,60,20100105,170000,40.5200000,40.8650000,40.4100000,40.7900000,970228
AXP,60,20100105,180000,40.7900000,40.8300000,40.7900000,40.8300000,881932
AXP,60,20100106,110000,41.2000000,41.5600000,41.1800000,41.5275000,542899
AXP,60,20100106,120000,41.5200000,41.6600000,41.3700000,41.5001000,544205
AXP,60,20100106,130000,41.5100000,41.5700000,41.3200000,41.3300000,541861
AXP,60,20100106,140000,41.3222000,41.3650000,41.1800000,41.3600000,543330
AXP,60,20100106,150000,41.3700000,41.4650000,41.2400000,41.3100000,522222
AXP,60,20100106,160000,41.3199000,41.5300000,41.3100000,41.4800000,516285
AXP,60,20100106,170000,41.4725000,41.5600000,41.3700000,41.4900000,1233644
AXP,60,20100106,180000,41.5000000,41.5000000,41.4900000,41.4900000,232800
AXP,60,20100107,110000,41.3000000,41.5100000,41.1200000,41.1200000,178383
AXP,60,20100107,120000,41.1200000,41.5300000,41.1100000,41.4699000,532772
AXP,60,20100107,130000,41.4800000,41.4900000,41.3100000,41.3990000,490469
AXP,60,20100107,140000,41.3990000,41.7200000,41.3700000,41.7000000,710821
AXP,60,20100107,150000,41.7000000,41.8700000,41.5667000,41.8300000,629087
AXP,60,20100107,160000,41.8200000,42.2200000,41.8100000,42.0300000,1488470
AXP,60,20100107,170000,42.0399000,42.0700000,41.7700000,41.9800000,1151975
AXP,60,20100107,180000,41.9900000,41.9900000,41.9800000,41.9800000,356403
AXP,60,20100108,110000,41.7600000,42.4700000,41.6800000,42.4600000,307783
AXP,60,20100108,120000,42.4600000,42.4800000,41.9700000,42.0300000,568313
AXP,60,20100108,130000,42.0300000,42.1000000,41.7700000,41.8365000,410442
AXP,60,20100108,140000,41.8301000,41.8900000,41.4700000,41.4702000,791188
AXP,60,20100108,150000,41.4800000,41.6800000,41.4200000,41.4200000,587558
