<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BAC,60,20100101,010000,15.1750000,15.2000000,15.0600000,15.1000000,13750105
BAC,60,20100101,020000,15.1100000,15.1100000,15.0600000,15.0600000,5154576
BAC,60,20100104,190000,15.2500000,15.4000000,15.1700000,15.3900000,7995733
BAC,60,20100104,200000,15.3900000,15.5100000,15.2900000,15.4839000,14781693
BAC,60,20100104,210000,15.4800000,15.6500000,15.4100000,15.6298000,17786615
BAC,60,20100104,220000,15.6300000,15.6800000,15.5200000,15.6100000,18635459
BAC,60,20100104,230000,15.6100000,15.6400000,15.5300000,15.5950000,11966271
BAC,60,20100105,000000,15.6000000,15.6700000,15.5800000,15.6502000,18916954
BAC,60,20100105,010000,15.6600000,15.7500000,15.6300000,15.7000000,20848077
BAC,60,20100105,020000,15.7000000,15.7100000,15.6900000,15.6900000,5053465
BAC,60,20100105,190000,15.7400000,15.9200000,15.7000000,15.7800000,8131705
BAC,60,20100105,200000,15.7800000,15.9700000,15.7300000,15.9504000,18949473
BAC,60,20100105,210000,15.9500000,16.0200000,15.9000000,16.0100000,18336089
BAC,60,20100105,220000,16.0099000,16.1100000,15.9500000,15.9600000,21420944
BAC,60,20100105,230000,15.9600000,16.0800000,15.8900000,16.0300000,15385795
BAC,60,20100106,000000,16.0350000,16.0500000,15.9000000,15.9950000,14703841
BAC,60,20100106,010000,15.9950000,16.2000000,15.9900000,16.1950000,21946484
BAC,60,20100106,020000,16.2000000,16.2000000,16.1900000,16.2000000,3708270
BAC,60,20100106,190000,16.2100000,16.2400000,16.0300000,16.1000000,8620851
BAC,60,20100106,200000,16.1000000,16.1900000,16.0800000,16.1200000,9610326
BAC,60,20100106,210000,16.1250000,16.3700000,16.0700000,16.3200000,18181887
BAC,60,20100106,220000,16.3250000,16.3700000,16.2600000,16.3500000,17949731
BAC,60,20100106,230000,16.3500000,16.4700000,16.3200000,16.3898000,25750389
BAC,60,20100107,000000,16.3900000,16.5400000,16.2800000,16.5100000,17108811
BAC,60,20100107,010000,16.5100000,16.5200000,16.3800000,16.3900000,22169480
BAC,60,20100107,020000,16.3900000,16.3900000,16.3800000,16.3900000,75963
BAC,60,20100107,190000,16.6900000,16.7900000,16.5100000,16.5300000,12093661
BAC,60,20100107,200000,16.5300000,16.8600000,16.5300000,16.8300000,19932149
BAC,60,20100107,210000,16.8300000,16.9800000,16.5174000,16.9499000,30891260
BAC,60,20100107,220000,16.9500000,17.0900000,16.9200000,17.0400000,33507963
BAC,60,20100107,230000,17.0400000,17.0800000,16.9438000,17.0099000,22668744
BAC,60,20100108,000000,17.0000000,17.1800000,16.9800000,17.0950000,29837278
BAC,60,20100108,010000,17.0950000,17.1100000,16.9100000,16.9289000,25975181
BAC,60,20100108,020000,16.9300000,16.9300000,16.9200000,16.9300000,4013143
BAC,60,20100108,190000,17.0000000,17.0900000,16.9500000,17.0698000,9897864
BAC,60,20100108,200000,17.0600000,17.1000000,16.9200000,16.9500000,18280167
BAC,60,20100108,210000,16.9500000,16.9700000,16.6300000,16.7520000,32335653
BAC,60,20100108,220000,16.7600000,16.7900000,16.6500000,16.7100000,17616611
BAC,60,20100108,230000,16.7100000,16.7800000,16.6700000,16.6800000,11699838
BAC,60,20100109,000000,16.6800000,16.7700000,16.6500000,16.7150000,14026571
BAC,60,20100109,010000,16.7200000,16.7900000,16.6700000,16.7750000,23355851
BAC,60,20100109,020000,16.7725000,16.7800000,16.7700000,16.7800000,2111810
BAC,60,20100111,190000,17.0000000,17.0700000,16.9500000,16.9800000,6703196
BAC,60,20100111,200000,16.9800000,17.1400000,16.9100000,17.1000000,11442050
BAC,60,20100111,210000,17.1000000,17.1200000,17.0000000,17.0300000,10199112
BAC,60,20100111,220000,17.0399000,17.0400000,16.7200000,16.8100000,22458158
BAC,60,20100111,230000,16.8149000,16.9200000,16.8000000,16.9000000,14204095
BAC,60,20100112,000000,16.9076000,17.0000000,16.8900000,16.9800000,13260770
BAC,60,20100112,010000,16.9800000,17.0100000,16.9100000,16.9399000,18256375
BAC,60,20100112,020000,16.9399000,16.9400000,16.9300000,16.9300000,1112489
BAC,60,20100112,190000,16.7300000,16.7500000,16.4900000,16.6300000,7293003
BAC,60,20100112,200000,16.6300000,16.6300000,16.4700000,16.5800000,9947656
BAC,60,20100112,210000,16.5800000,16.6000000,16.4900000,16.4900000,11872122
BAC,60,20100112,220000,16.5000000,16.5100000,16.3600000,16.4100000,18677119
