<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BA,60,20100802,190000,69.0300000,69.0800000,68.5000000,68.7000000,482082
BA,60,20100802,200000,68.6800000,69.4900000,68.6500000,69.4100000,837856
BA,60,20100802,210000,69.4200000,69.9300000,69.3000000,69.9250000,761171
BA,60,20100802,220000,69.9250000,69.9250000,69.1800000,69.4400000,468032
BA,60,20100802,230000,69.4301000,69.6800000,69.3596000,69.6100000,361285
BA,60,20100803,000000,69.5900000,69.8700000,69.4400000,69.8400000,482029
BA,60,20100803,010000,69.8300000,69.8700000,69.6300000,69.6800000,1197988
BA,60,20100803,020000,69.6900000,69.7000000,69.6900000,69.6900000,257100
BA,60,20100803,190000,69.3100000,70.0000000,69.2100000,69.3700000,432426
BA,60,20100803,200000,69.3700000,69.4400000,68.9300000,69.4100000,586213
BA,60,20100803,210000,69.4200000,69.7600000,69.1200000,69.5700000,416631
BA,60,20100803,220000,69.5600000,69.6600000,69.3200000,69.5500000,380520
BA,60,20100803,230000,69.5400000,69.9200000,69.4130000,69.8010000,413246
BA,60,20100804,000000,69.7900000,69.9300000,69.7100000,69.7600000,326111
BA,60,20100804,010000,69.7560000,69.8300000,69.4050000,69.5600000,906191
BA,60,20100804,020000,69.5600000,69.5600000,69.5300000,69.5400000,126000
BA,60,20100804,190000,69.4200000,69.8500000,69.4200000,69.7699000,261879
BA,60,20100804,200000,69.7700000,69.9300000,69.1600000,69.5400000,558103
BA,60,20100804,210000,69.5500000,69.7000000,69.3900000,69.6000000,347438
BA,60,20100804,220000,69.5840000,69.7400000,69.5200000,69.5700000,424508
BA,60,20100804,230000,69.5700000,69.6200000,69.2700000,69.3300000,383164
BA,60,20100805,000000,69.3400000,69.5000000,69.2100000,69.2400000,413381
BA,60,20100805,010000,69.2300000,69.4100000,69.1600000,69.2500000,1014790
BA,60,20100805,020000,69.2400000,69.2500000,69.2300000,69.2500000,197700
BA,60,20100805,190000,68.7900000,69.2500000,68.5400000,68.5500000,384466
BA,60,20100805,200000,68.5500000,69.1400000,68.5500000,68.7800000,513331
BA,60,20100805,210000,68.7900000,69.0600000,68.5400000,68.8300000,432862
BA,60,20100805,220000,68.8300000,69.0000000,68.5000000,68.5000000,534789
BA,60,20100805,230000,68.5200000,68.6100000,68.3300000,68.5350000,472873
BA,60,20100806,000000,68.5500000,68.6800000,68.4450000,68.4600000,663463
BA,60,20100806,010000,68.4600000,68.7100000,68.4600000,68.7100000,1111039
BA,60,20100806,020000,68.7100000,68.7100000,68.7000000,68.7100000,124500
BA,60,20100806,190000,68.0500000,68.6500000,67.5800000,68.6200000,466580
BA,60,20100806,200000,68.6210000,68.7000000,67.5300000,67.5600000,593280
BA,60,20100806,210000,67.5500000,68.0200000,67.3600000,67.9240000,642749
BA,60,20100806,220000,67.9000000,67.9300000,67.5800000,67.6700000,250640
BA,60,20100806,230000,67.6700000,68.0000000,67.6132000,67.8800000,298541
BA,60,20100807,000000,67.8800000,68.2900000,67.6800000,68.1900000,495159
BA,60,20100807,010000,68.2000000,68.7200000,67.9800000,68.7000000,1054106
BA,60,20100807,020000,68.7000000,68.7000000,68.6900000,68.7000000,124700
BA,60,20100809,190000,69.0300000,69.4700000,68.6000000,68.7300000,321493
BA,60,20100809,200000,68.7500000,68.9500000,68.4500000,68.6400000,368895
BA,60,20100809,210000,68.6599000,68.9400000,68.6200000,68.8500000,326003
BA,60,20100809,220000,68.8200000,68.8500000,68.6800000,68.7800000,291992
BA,60,20100809,230000,68.7714000,68.8500000,68.6800000,68.7300000,182977
BA,60,20100810,000000,68.7400000,69.1100000,68.6900000,69.0250000,277411
BA,60,20100810,010000,69.0250000,69.0250000,68.8800000,68.9700000,850611
BA,60,20100810,020000,68.9800000,68.9900000,68.9700000,68.9900000,81600
BA,60,20100810,190000,68.3900000,68.7300000,67.7300000,68.1800000,344629
BA,60,20100810,200000,68.1899000,68.1900000,67.5400000,67.8400000,685103
