<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRCM,60,20100101,010000,31.7275000,31.7500000,31.4300000,31.4300000,452085
BRCM,60,20100101,020000,31.4400000,31.4400000,31.4300000,31.4300000,2600
BRCM,60,20100104,190000,32.1400000,32.4400000,32.1100000,32.4400000,335055
BRCM,60,20100104,200000,32.4500000,32.4900000,32.3100000,32.3650000,493485
BRCM,60,20100104,210000,32.3600000,32.4480000,32.2600000,32.3324000,582083
BRCM,60,20100104,220000,32.3324000,32.3900000,32.1500000,32.1900000,585259
BRCM,60,20100104,230000,32.1900000,32.2800000,32.1500000,32.2100000,408810
BRCM,60,20100105,000000,32.2100000,32.3400000,32.2000000,32.2600000,358771
BRCM,60,20100105,010000,32.2600000,32.3400000,32.1500000,32.2500000,735814
BRCM,60,20100105,020000,32.2400000,32.2500000,32.2400000,32.2500000,3455
BRCM,60,20100105,190000,32.2904000,32.4000000,31.9100000,32.2000000,169494
BRCM,60,20100105,200000,32.2000000,32.3850000,32.0100000,32.0400000,357354
BRCM,60,20100105,210000,32.0400000,32.0500000,31.7500000,31.8800000,550599
BRCM,60,20100105,220000,31.8800000,31.9200000,31.6600000,31.6800000,558690
BRCM,60,20100105,230000,31.6700000,31.7800000,31.6227000,31.6500000,760710
BRCM,60,20100106,000000,31.6500000,31.7100000,31.5200000,31.7100000,628365
BRCM,60,20100106,010000,31.7100000,31.8100000,31.6900000,31.8000000,552557
BRCM,60,20100106,020000,31.7900000,31.8000000,31.7900000,31.8000000,4278
BRCM,60,20100106,190000,31.7050000,31.9000000,31.5800000,31.7500000,171867
BRCM,60,20100106,200000,31.7500000,31.8900000,31.5000000,31.6700000,313329
BRCM,60,20100106,210000,31.6600000,31.7300000,31.4900000,31.5000000,390306
BRCM,60,20100106,220000,31.5000000,31.5625000,31.3300000,31.5475000,400762
BRCM,60,20100106,230000,31.5500000,31.5800000,31.3400000,31.3900000,323887
BRCM,60,20100107,000000,31.3822000,31.5700000,31.3800000,31.4800000,477705
BRCM,60,20100107,010000,31.4700000,31.6000000,31.4600000,31.5200000,844159
BRCM,60,20100107,020000,31.5100000,31.5200000,31.5000000,31.5000000,185936
BRCM,60,20100107,190000,31.3500000,31.5200000,31.1700000,31.1900000,188646
BRCM,60,20100107,200000,31.2100000,31.4900000,31.1700000,31.4000000,310160
BRCM,60,20100107,210000,31.4100000,31.4850000,31.1600000,31.1600000,354854
BRCM,60,20100107,220000,31.1550000,31.3400000,31.1500000,31.2000000,395438
BRCM,60,20100107,230000,31.2100000,31.2500000,31.1200000,31.1800000,767840
BRCM,60,20100108,000000,31.1800000,31.3000000,31.0700000,31.1300000,1362812
BRCM,60,20100108,010000,31.1289000,31.2500000,30.9400000,31.0000000,1306795
BRCM,60,20100108,020000,31.0000000,31.0000000,30.9900000,31.0000000,379614
BRCM,60,20100108,190000,31.0000000,31.2100000,30.7200000,31.0200000,184543
BRCM,60,20100108,200000,31.0301000,31.0800000,30.6400000,30.8200000,815872
BRCM,60,20100108,210000,30.8400000,30.8600000,30.7100000,30.7550000,821898
BRCM,60,20100108,220000,30.7600000,30.7800000,30.5200000,30.6300000,642526
BRCM,60,20100108,230000,30.6200000,30.7800000,30.5800000,30.6800000,931806
BRCM,60,20100109,000000,30.6900000,30.7600000,30.6000000,30.6600000,938681
BRCM,60,20100109,010000,30.6600000,30.7800000,30.6300000,30.7200000,1517910
BRCM,60,20100109,020000,30.7100000,30.7300000,30.7100000,30.7300000,947
BRCM,60,20100111,190000,30.7899000,30.9000000,30.7300000,30.7400000,159461
BRCM,60,20100111,200000,30.7700000,30.8300000,30.4900000,30.6700000,425864
BRCM,60,20100111,210000,30.6700000,30.8000000,30.5100000,30.7400000,341197
BRCM,60,20100111,220000,30.7400000,30.8400000,30.6400000,30.7600000,363178
BRCM,60,20100111,230000,30.7500000,30.7800000,30.6300000,30.6300000,320043
BRCM,60,20100112,000000,30.6300000,30.6900000,30.5800000,30.6000000,408784
BRCM,60,20100112,010000,30.5900000,30.7800000,30.5800000,30.7500000,741230
BRCM,60,20100112,020000,30.7500000,30.7500000,30.7100000,30.7100000,9588
BRCM,60,20100112,190000,30.5400000,30.5900000,30.1844000,30.4650000,168604
BRCM,60,20100112,200000,30.4700000,30.5150000,30.2800000,30.3900000,166018
BRCM,60,20100112,210000,30.3600000,30.3600000,30.0600000,30.1201000,426485
BRCM,60,20100112,220000,30.1300000,30.1600000,29.7900000,29.8400000,437832
BRCM,60,20100112,230000,29.8400000,29.9100000,29.6800000,29.8400000,717267
BRCM,60,20100113,000000,29.8400000,30.0200000,29.8200000,30.0000000,506891
BRCM,60,20100113,010000,29.9900000,30.0100000,29.8700000,29.9700000,592569
BRCM,60,20100113,020000,29.9600000,29.9800000,29.9600000,29.9800000,333399
BRCM,60,20100113,190000,30.4200000,30.4600000,29.9800000,30.0400000,352180
