<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CAT,60,20100101,010000,57.4300000,57.4800000,57.0000000,57.0100000,717597
CAT,60,20100101,020000,57.0000000,57.0000000,56.9900000,56.9900000,201274
CAT,60,20100104,190000,57.5600000,58.2500000,57.5100000,58.2400000,344683
CAT,60,20100104,200000,58.2500000,58.7800000,58.2400000,58.7500000,473956
CAT,60,20100104,210000,58.7300000,59.1900000,58.7300000,59.0100000,987560
CAT,60,20100104,220000,59.0000000,59.0900000,58.7600000,58.8400000,579948
CAT,60,20100104,230000,58.8400000,58.8900000,58.7200000,58.7600000,505419
CAT,60,20100105,000000,58.7584000,58.8200000,58.6350000,58.6500000,472751
CAT,60,20100105,010000,58.6400000,58.7400000,58.4400000,58.5200000,989048
CAT,60,20100105,020000,58.5300000,58.5500000,58.5300000,58.5500000,166200
CAT,60,20100105,190000,58.4700000,58.6600000,58.2300000,58.5600000,124817
CAT,60,20100105,200000,58.5084000,59.3300000,58.4300000,59.3250000,606678
CAT,60,20100105,210000,59.3200000,59.3250000,58.8950000,58.9050000,366156
CAT,60,20100105,220000,58.8900000,59.2450000,58.8700000,59.2050000,493678
CAT,60,20100105,230000,59.2000000,59.4400000,59.1699000,59.2000000,737836
CAT,60,20100106,000000,59.1800000,59.2150000,58.8900000,59.1600000,448658
CAT,60,20100106,010000,59.1611000,59.3300000,59.1100000,59.1900000,449057
CAT,60,20100106,020000,59.2000000,59.2500000,59.1900000,59.2500000,142400
CAT,60,20100106,190000,59.0505000,59.5500000,59.0505000,59.4550000,169920
CAT,60,20100106,200000,59.4800000,59.9000000,59.4500000,59.8400000,430976
CAT,60,20100106,210000,59.8500000,59.9300000,59.7021000,59.7700000,288846
CAT,60,20100106,220000,59.7700000,59.8700000,59.4100000,59.5800000,404753
CAT,60,20100106,230000,59.5800000,59.7800000,59.5750000,59.6800000,387942
CAT,60,20100107,000000,59.6900000,59.7500000,59.5800000,59.6599000,234035
CAT,60,20100107,010000,59.6500000,59.6600000,59.2900000,59.4200000,566905
CAT,60,20100107,020000,59.4200000,59.4300000,59.4100000,59.4300000,82000
CAT,60,20100107,190000,59.1600000,59.6400000,58.7500000,58.7500000,131483
CAT,60,20100107,200000,58.6711000,59.5000000,58.6600000,59.4200000,477954
CAT,60,20100107,210000,59.4300000,59.4900000,59.2500000,59.4900000,295057
CAT,60,20100107,220000,59.4880000,59.9000000,59.4600000,59.6800000,452091
CAT,60,20100107,230000,59.6900000,59.7200000,59.4300000,59.6325000,319193
CAT,60,20100108,000000,59.6400000,59.8800000,59.5500000,59.7950000,413095
CAT,60,20100108,010000,59.7950000,59.7950000,59.4700000,59.6100000,614533
CAT,60,20100108,020000,59.6200000,59.6700000,59.6200000,59.6700000,81200
CAT,60,20100108,190000,59.3300000,59.6900000,59.3300000,59.6500000,130909
CAT,60,20100108,200000,59.6400000,59.7800000,59.4100000,59.7370000,369581
CAT,60,20100108,210000,59.7601000,60.0000000,59.7100000,59.9200000,606942
CAT,60,20100108,220000,59.9200000,60.0000000,59.8600000,59.9600000,427290
CAT,60,20100108,230000,59.9600000,60.0800000,59.8000000,59.8000000,822915
CAT,60,20100109,000000,59.8100000,59.8450000,59.6600000,59.7900000,449458
CAT,60,20100109,010000,59.7900000,60.3700000,59.7400000,60.3400000,1032816
CAT,60,20100109,020000,60.3400000,60.3400000,60.3300000,60.3400000,192728
CAT,60,20100111,190000,60.9000000,62.0950000,60.8801000,61.9250000,939170
CAT,60,20100111,200000,61.8800000,62.3500000,61.4100000,62.2500000,1472771
CAT,60,20100111,210000,62.2721000,62.6200000,61.7200000,62.6150000,1343601
CAT,60,20100111,220000,62.6200000,63.7800000,62.4900000,63.7300000,2923128
CAT,60,20100111,230000,63.7300000,64.2000000,63.5400000,64.0500000,3032282
CAT,60,20100112,000000,64.0420000,64.0700000,63.7400000,63.9300000,1704453
CAT,60,20100112,010000,63.9300000,64.4200000,63.8600000,64.1100000,2488472
CAT,60,20100112,020000,64.1300000,64.1400000,64.1000000,64.1300000,162300
CAT,60,20100112,190000,63.0100000,63.1500000,62.1500000,62.6606000,644217
CAT,60,20100112,200000,62.6600000,63.0450000,62.3600000,62.4929000,497372
CAT,60,20100112,210000,62.4900000,62.4900000,61.7000000,61.9600000,1143929
CAT,60,20100112,220000,61.9600000,62.0000000,61.2000000,61.2800000,818939
CAT,60,20100112,230000,61.2790000,61.9900000,61.2100000,61.9400000,796107
CAT,60,20100113,000000,61.9400000,62.5500000,61.8300000,62.4500000,1158342
CAT,60,20100113,010000,62.4500000,62.4600000,62.0000000,62.2411000,1014538
CAT,60,20100113,020000,62.2800000,62.2800000,62.2400000,62.2400000,284232
