<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CA,60,20100101,010000,22.6100000,22.6100000,22.4700000,22.4700000,287358
CA,60,20100101,020000,22.4700000,22.4800000,22.4600000,22.4600000,2609
CA,60,20100104,190000,22.9400000,23.1200000,22.7805000,22.8300000,71717
CA,60,20100104,200000,22.8300000,22.9900000,22.7900000,22.9300000,233400
CA,60,20100104,210000,22.9100000,23.0400000,22.9100000,23.0346000,290869
CA,60,20100104,220000,23.0300000,23.0600000,22.9800000,23.0200000,321540
CA,60,20100104,230000,23.0100000,23.0200000,22.9300000,22.9300000,218376
CA,60,20100105,000000,22.9200000,22.9900000,22.9100000,22.9500000,327490
CA,60,20100105,010000,22.9500000,22.9800000,22.9100000,22.9800000,609974
CA,60,20100105,020000,22.9800000,22.9900000,22.9800000,22.9900000,325432
CA,60,20100105,190000,22.6100000,23.0600000,22.6100000,22.8400000,109728
CA,60,20100105,200000,22.8210000,22.9300000,22.7550000,22.9100000,186465
CA,60,20100105,210000,22.9100000,22.9100000,22.7600000,22.8201000,277184
CA,60,20100105,220000,22.8299000,22.8300000,22.7600000,22.7800000,275271
CA,60,20100105,230000,22.7800000,22.8700000,22.7500000,22.8200000,512095
CA,60,20100106,000000,22.8200000,22.8600000,22.7800000,22.8600000,232594
CA,60,20100106,010000,22.8550000,22.9400000,22.8550000,22.9000000,508532
CA,60,20100106,020000,22.9100000,22.9100000,22.9100000,22.9100000,400150
CA,60,20100106,190000,22.7500000,22.9250000,22.7500000,22.7700000,59327
CA,60,20100106,200000,22.7500000,22.8300000,22.6800000,22.8100000,164856
CA,60,20100106,210000,22.8100000,22.9100000,22.8000000,22.8100000,235025
CA,60,20100106,220000,22.8050000,22.8250000,22.6900000,22.7500000,416998
CA,60,20100106,230000,22.7500000,22.8200000,22.6550000,22.6800000,455512
CA,60,20100107,000000,22.6800000,22.9000000,22.6700000,22.8700000,268164
CA,60,20100107,010000,22.8700000,22.8700000,22.7100000,22.7700000,277428
CA,60,20100107,020000,22.7600000,22.7700000,22.7600000,22.7600000,1908
CA,60,20100107,190000,22.8000000,22.8100000,22.6800000,22.7400000,147127
CA,60,20100107,200000,22.7500000,22.9700000,22.6900000,22.8800000,223443
CA,60,20100107,210000,22.8700000,22.9500000,22.8100000,22.8100000,315366
CA,60,20100107,220000,22.8100000,22.8800000,22.7901000,22.8300000,245758
CA,60,20100107,230000,22.8300000,22.8400000,22.7900000,22.8400000,139901
CA,60,20100108,000000,22.8400000,22.9000000,22.8000000,22.8700000,311612
CA,60,20100108,010000,22.8700000,22.9150000,22.8100000,22.8600000,364384
