<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CSCO,60,20100101,010000,24.1400000,24.1500000,23.9600000,23.9600000,4020989
CSCO,60,20100101,020000,23.9600000,23.9700000,23.9400000,23.9400000,15902
CSCO,60,20100104,190000,24.0200000,24.4300000,24.0200000,24.3700000,2138970
CSCO,60,20100104,200000,24.3800000,24.7450000,24.3250000,24.7000000,5707981
CSCO,60,20100104,210000,24.7000000,24.8400000,24.6600000,24.7900000,8940999
CSCO,60,20100104,220000,24.7900000,24.8000000,24.6800000,24.7700000,5766783
CSCO,60,20100104,230000,24.7700000,24.7700000,24.6700000,24.6800000,5068560
CSCO,60,20100105,000000,24.6900000,24.7500000,24.6400000,24.7300000,4585368
CSCO,60,20100105,010000,24.7299000,24.7800000,24.6900000,24.6900000,4920818
CSCO,60,20100105,020000,24.6900000,24.7000000,24.6900000,24.6900000,16564141
CSCO,60,20100105,190000,24.5800000,24.6700000,24.5403000,24.5500000,1397154
CSCO,60,20100105,200000,24.5500000,24.7200000,24.5100000,24.6700000,3656335
CSCO,60,20100105,210000,24.6800000,24.7300000,24.5700000,24.6000000,3427594
CSCO,60,20100105,220000,24.6000000,24.6500000,24.4400000,24.4902000,3943637
CSCO,60,20100105,230000,24.5000000,24.5458000,24.4400000,24.4628000,3835496
CSCO,60,20100106,000000,24.4650000,24.5600000,24.3800000,24.5300000,4210356
CSCO,60,20100106,010000,24.5300000,24.6300000,24.5100000,24.5800000,3856777
CSCO,60,20100106,020000,24.5800000,24.5800000,24.5600000,24.5800000,9741569
CSCO,60,20100106,190000,24.5200000,24.6900000,24.4800000,24.5850000,2967621
CSCO,60,20100106,200000,24.5800000,24.7400000,24.5700000,24.6300000,2283790
CSCO,60,20100106,210000,24.6300000,24.6700000,24.4900000,24.5200000,3161016
CSCO,60,20100106,220000,24.5200000,24.5400000,24.4400000,24.4850000,2692733
CSCO,60,20100106,230000,24.4900000,24.5300000,24.3400000,24.3800000,3457340
CSCO,60,20100107,000000,24.3800000,24.5450000,24.3600000,24.5100000,2673262
CSCO,60,20100107,010000,24.5000000,24.5150000,24.3400000,24.4000000,3092712
CSCO,60,20100107,020000,24.3950000,24.4100000,24.3900000,24.4000000,52439
CSCO,60,20100107,190000,24.2600000,24.3300000,24.1700000,24.2000000,1017432
CSCO,60,20100107,200000,24.2000000,24.4100000,24.2000000,24.3700000,1600787
CSCO,60,20100107,210000,24.3550000,24.4100000,24.1700000,24.3150000,1925547
CSCO,60,20100107,220000,24.3200000,24.3800000,24.2700000,24.3100000,1986510
CSCO,60,20100107,230000,24.3100000,24.4200000,24.2850000,24.4170000,3797373
CSCO,60,20100108,000000,24.4100000,24.5500000,24.4100000,24.5100000,3539950
CSCO,60,20100108,010000,24.5100000,24.5700000,24.4520000,24.5400000,2673325
