<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CTCM,60,20130304,090000,9.7300000,9.7700000,9.6900000,9.7000000,16400
CTCM,60,20130304,100000,9.7100000,9.7800000,9.6300000,9.7600000,73337
CTCM,60,20130304,110000,9.7500000,9.7500000,9.6600000,9.6900000,40776
CTCM,60,20130304,120000,9.7000000,9.7000000,9.6500000,9.6900000,30891
CTCM,60,20130304,130000,9.6900000,9.7200000,9.6800000,9.7000000,25399
CTCM,60,20130304,140000,9.7100000,9.7200000,9.6600000,9.7100000,34527
CTCM,60,20130304,150000,9.7200000,9.7600000,9.7100000,9.7600000,119282
CTCM,60,20130304,160000,9.7500000,9.7500000,9.7500000,9.7500000,7658
CTCM,60,20130305,090000,9.8000000,9.8800000,9.6300000,9.8800000,14003
CTCM,60,20130305,100000,9.9000000,10.1100000,9.9000000,10.0800000,159875
CTCM,60,20130305,110000,10.0800000,10.1000000,10.0700000,10.0900000,14238
CTCM,60,20130305,120000,10.0800000,10.1000000,10.0400000,10.0700000,278184
CTCM,60,20130305,130000,10.0800000,10.1400000,10.0700000,10.1000000,45706
CTCM,60,20130305,140000,10.1000000,10.1100000,10.0500000,10.0600000,41056
CTCM,60,20130305,150000,10.0700000,10.0700000,10.0400000,10.0400000,314809
CTCM,60,20130305,160000,10.0400000,10.0400000,10.0400000,10.0400000,11468
CTCM,60,20130306,090000,10.2000000,10.9700000,10.2000000,10.9500000,263464
CTCM,60,20130306,100000,10.9500000,11.4200000,10.7500000,11.3100000,1049424
CTCM,60,20130306,110000,11.2900000,11.3900000,11.1000000,11.1400000,257347
CTCM,60,20130306,120000,11.1100000,11.1800000,11.0400000,11.1700000,267858
CTCM,60,20130306,130000,11.1600000,11.4900000,11.1600000,11.4900000,309750
CTCM,60,20130306,140000,11.4800000,11.7700000,11.4600000,11.7000000,404758
CTCM,60,20130306,150000,11.7000000,11.7700000,11.6100000,11.6800000,526729
CTCM,60,20130306,160000,11.6800000,11.6900000,11.6800000,11.6900000,70360
CTCM,60,20130307,090000,11.9300000,11.9700000,11.5300000,11.5500000,205607
CTCM,60,20130307,100000,11.5600000,11.5600000,11.3600000,11.5500000,397085
CTCM,60,20130307,110000,11.5500000,11.6500000,11.5000000,11.6100000,197805
CTCM,60,20130307,120000,11.6100000,11.6500000,11.5300000,11.6300000,87150
CTCM,60,20130307,130000,11.6400000,11.6700000,11.5300000,11.6100000,145073
CTCM,60,20130307,140000,11.6100000,11.6800000,11.6100000,11.6400000,84246
CTCM,60,20130307,150000,11.6500000,11.7300000,11.6000000,11.6700000,208479
CTCM,60,20130307,160000,11.6600000,11.6600000,11.6600000,11.6600000,14074
CTCM,60,20130308,090000,11.6800000,11.8500000,11.6800000,11.7800000,66387
CTCM,60,20130308,100000,11.7800000,11.9100000,11.7800000,11.8100000,70804
CTCM,60,20130308,110000,11.8100000,11.8500000,11.7700000,11.8500000,73008
CTCM,60,20130308,120000,11.8500000,11.8700000,11.8100000,11.8700000,28800
CTCM,60,20130308,130000,11.8700000,11.9000000,11.8500000,11.9000000,23470
