<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CVX,60,20100101,010000,77.3500000,77.5000000,76.9900000,76.9900000,678587
CVX,60,20100101,020000,76.9800000,76.9900000,76.9300000,76.9900000,795500
CVX,60,20100104,190000,78.3300000,78.8900000,78.1600000,78.8500000,681619
CVX,60,20100104,200000,78.8700000,79.0500000,78.7500000,78.7501000,823299
CVX,60,20100104,210000,78.7400000,78.9800000,78.6600000,78.8300000,767559
CVX,60,20100104,220000,78.7900000,79.0100000,78.7300000,78.9200000,567037
CVX,60,20100104,230000,78.9050000,79.0900000,78.8600000,79.0800000,959955
CVX,60,20100105,000000,79.0800000,79.1800000,79.0000000,79.1600000,800938
CVX,60,20100105,010000,79.1600000,79.2000000,78.9500000,79.0500000,1163576
CVX,60,20100105,020000,79.0500000,79.0600000,79.0400000,79.0600000,649873
CVX,60,20100105,190000,79.3000000,79.3900000,78.8000000,78.8200000,243129
CVX,60,20100105,200000,78.8200000,79.2400000,78.7400000,79.2300000,603038
CVX,60,20100105,210000,79.2200000,79.2700000,78.9800000,79.1100000,595910
CVX,60,20100105,220000,79.1100000,79.2200000,79.0900000,79.1700000,707677
CVX,60,20100105,230000,79.1700000,79.2500000,79.0300000,79.2400000,1015464
CVX,60,20100106,000000,79.2300000,79.4100000,79.0800000,79.4050000,829954
CVX,60,20100106,010000,79.4100000,79.6200000,79.4000000,79.5700000,1141087
CVX,60,20100106,020000,79.5800000,79.6200000,79.5700000,79.6200000,1085800
CVX,60,20100106,190000,79.4600000,79.6200000,79.2100000,79.2900000,379974
CVX,60,20100106,200000,79.3070000,79.5200000,79.2100000,79.3800000,547486
CVX,60,20100106,210000,79.3800000,79.9000000,79.3650000,79.8300000,685523
CVX,60,20100106,220000,79.8300000,79.9700000,79.8000000,79.9500000,956239
CVX,60,20100106,230000,79.9550000,79.9900000,79.8500000,79.9100000,900526
CVX,60,20100107,000000,79.9065000,80.0000000,79.7600000,79.7600000,1149159
CVX,60,20100107,010000,79.7600000,79.8800000,79.5200000,79.6400000,1266894
CVX,60,20100107,020000,79.6300000,79.6300000,79.6100000,79.6300000,830100
CVX,60,20100107,190000,79.2400000,79.4100000,78.9700000,78.9700000,461004
CVX,60,20100107,200000,79.0100000,79.5700000,78.9900000,79.5000000,746327
CVX,60,20100107,210000,79.5000000,79.7000000,79.3900000,79.3900000,505910
CVX,60,20100107,220000,79.3900000,79.4900000,79.1800000,79.2100000,477114
CVX,60,20100107,230000,79.2170000,79.4423000,79.0300000,79.0321000,832878
CVX,60,20100108,000000,79.0400000,79.2400000,79.0300000,79.2200000,596451
CVX,60,20100108,010000,79.2150000,79.4300000,79.0300000,79.3700000,748054
CVX,60,20100108,020000,79.3300000,79.3600000,79.3200000,79.3300000,1250816
CVX,60,20100108,190000,79.1200000,79.2600000,78.9000000,79.2400000,208736
CVX,60,20100108,200000,79.2300000,79.2500000,79.0000000,79.1950000,339893
CVX,60,20100108,210000,79.2000000,79.2400000,79.0650000,79.1800000,379053
CVX,60,20100108,220000,79.1700000,79.3100000,79.1200000,79.2300000,459749
