<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
C,60,20100101,010000,3.3400000,3.3500000,3.3100000,3.3100000,32752413
C,60,20100101,020000,3.3200000,3.3200000,3.3100000,3.3100000,8731617
C,60,20100104,190000,3.3600000,3.3800000,3.3500000,3.3600000,14707806
C,60,20100104,200000,3.3600000,3.3700000,3.3400000,3.3550000,22931816
C,60,20100104,210000,3.3550000,3.4000000,3.3500000,3.4000000,49449941
C,60,20100104,220000,3.4000000,3.4000000,3.3800000,3.3801000,30389497
C,60,20100104,230000,3.3850000,3.3900000,3.3700000,3.3800000,44641577
C,60,20100105,000000,3.3750000,3.4100000,3.3700000,3.3900000,43966069
C,60,20100105,010000,3.3950000,3.4000000,3.3700000,3.3900000,38725040
C,60,20100105,020000,3.4000000,3.4000000,3.3900000,3.4000000,5756536
C,60,20100105,190000,3.4100000,3.4600000,3.4100000,3.4375000,32916392
C,60,20100105,200000,3.4400000,3.4800000,3.4200000,3.4799000,45502220
C,60,20100105,210000,3.4800000,3.5000000,3.4500000,3.5000000,65605472
C,60,20100105,220000,3.5000000,3.5100000,3.4700000,3.5000000,99864818
C,60,20100105,230000,3.5000000,3.5100000,3.4800000,3.5000000,46473484
C,60,20100106,000000,3.5000000,3.5100000,3.4700000,3.5000000,49769460
C,60,20100106,010000,3.5100000,3.5500000,3.5000000,3.5400000,78488224
C,60,20100106,020000,3.5400000,3.5400000,3.4500000,3.5300000,8319793
C,60,20100106,190000,3.5600000,3.5700000,3.5100000,3.5300000,33009458
C,60,20100106,200000,3.5300000,3.5800000,3.5200000,3.5700000,43872104
C,60,20100106,210000,3.5650000,3.6200000,3.5600000,3.6000000,75942529
C,60,20100106,220000,3.6000000,3.6200000,3.5800000,3.6000000,56528221
C,60,20100106,230000,3.6000000,3.6400000,3.6000000,3.6350000,56916670
C,60,20100107,000000,3.6400000,3.6800000,3.6300000,3.6600000,51984398
C,60,20100107,010000,3.6600000,3.6700000,3.6300000,3.6400000,66209220
C,60,20100107,020000,3.6400000,3.6450000,3.6300000,3.6400000,5943433
C,60,20100107,190000,3.6900000,3.7000000,3.6500000,3.6500000,29987383
C,60,20100107,200000,3.6600000,3.6600000,3.6100000,3.6575000,67184949
C,60,20100107,210000,3.6500000,3.6600000,3.6200000,3.6300000,59623293
C,60,20100107,220000,3.6300000,3.6700000,3.6200000,3.6500000,62985727
C,60,20100107,230000,3.6400000,3.6700000,3.6400000,3.6600000,32923236
C,60,20100108,000000,3.6600000,3.6900000,3.6500000,3.6700000,45097099
C,60,20100108,010000,3.6776000,3.6800000,3.6400000,3.6500000,45425879
C,60,20100108,020000,3.6490000,3.6500000,3.6400000,3.6500000,6647152
C,60,20100108,190000,3.6500000,3.6700000,3.6200000,3.6399000,17298453
C,60,20100108,200000,3.6400000,3.6500000,3.5400000,3.5650000,93991380
C,60,20100108,210000,3.5650000,3.5700000,3.5100000,3.5500000,86199569
C,60,20100108,220000,3.5500000,3.5800000,3.5300000,3.5400000,48457757
C,60,20100108,230000,3.5400000,3.5600000,3.5300000,3.5300000,40253025
C,60,20100109,000000,3.5300000,3.5600000,3.5300000,3.5600000,25183584
C,60,20100109,010000,3.5525000,3.6000000,3.5500000,3.5800000,44129121
C,60,20100109,020000,3.5800000,3.5900000,3.5800000,3.5900000,5203709
C,60,20100111,190000,3.6600000,3.6700000,3.6100000,3.6200000,17964928
C,60,20100111,200000,3.6299000,3.6600000,3.6100000,3.6550000,36179501
C,60,20100111,210000,3.6550000,3.6600000,3.6200000,3.6500000,40614664
C,60,20100111,220000,3.6500000,3.6500000,3.6000000,3.6000000,49296933
C,60,20100111,230000,3.6100000,3.6400000,3.6000000,3.6201000,33240834
C,60,20100112,000000,3.6200000,3.6400000,3.6200000,3.6200000,31555149
C,60,20100112,010000,3.6200000,3.6400000,3.6200000,3.6200000,45596334
C,60,20100112,020000,3.6299000,3.6300000,3.6200000,3.6300000,4596094
C,60,20100112,190000,3.6000000,3.6000000,3.5600000,3.5875000,14096569
C,60,20100112,200000,3.5850000,3.5900000,3.5500000,3.5650000,6691641
C,60,20100112,210000,3.5700000,3.5700000,3.5300000,3.5400000,30342040
C,60,20100112,220000,3.5400000,3.5500000,3.5200000,3.5350000,33493837
C,60,20100112,230000,3.5350000,3.5400000,3.5200000,3.5300000,31840022
C,60,20100113,000000,3.5250000,3.5400000,3.5100000,3.5100000,39564972
C,60,20100113,010000,3.5100000,3.5300000,3.4800000,3.5200000,52707175
C,60,20100113,020000,3.5200000,3.5200000,3.5100000,3.5200000,10365103
C,60,20100113,190000,3.5500000,3.5500000,3.5200000,3.5200000,8792615
C,60,20100113,200000,3.5200000,3.5300000,3.5100000,3.5150000,17988672
C,60,20100113,210000,3.5200000,3.5600000,3.5100000,3.5600000,16579105
C,60,20100113,220000,3.5600000,3.5700000,3.5400000,3.5700000,28161006
C,60,20100113,230000,3.5700000,3.5800000,3.5400000,3.5450000,55790152
C,60,20100114,000000,3.5500000,3.5600000,3.5300000,3.5500000,30282398
C,60,20100114,010000,3.5500000,3.5500000,3.5000000,3.5100000,33651196
C,60,20100114,020000,3.5075000,3.5200000,3.5000000,3.5000000,6964660
C,60,20100114,190000,3.5100000,3.5500000,3.5100000,3.5250000,10553889
C,60,20100114,200000,3.5250000,3.5300000,3.5000000,3.5100000,19213272
C,60,20100114,210000,3.5124000,3.5200000,3.5000000,3.5050000,27165385
C,60,20100114,220000,3.5050000,3.5200000,3.5000000,3.5050000,21861208
C,60,20100114,230000,3.5100000,3.5200000,3.5000000,3.5149000,24923005
C,60,20100115,000000,3.5100000,3.5200000,3.5000000,3.5101000,9388771
C,60,20100115,010000,3.5100000,3.5200000,3.5000000,3.5000000,25630668
C,60,20100115,020000,3.5000000,3.5100000,3.5000000,3.5100000,5592774
C,60,20100115,190000,3.5000000,3.5000000,3.4400000,3.4400000,17088044
C,60,20100115,200000,3.4500000,3.4600000,3.4200000,3.4300000,14565427
C,60,20100115,210000,3.4300000,3.4500000,3.4000000,3.4200000,28171387
C,60,20100115,220000,3.4200000,3.4586000,3.4200000,3.4400000,32884521
C,60,20100115,230000,3.4350000,3.4400000,3.4200000,3.4250000,24378174
C,60,20100116,000000,3.4200000,3.4500000,3.4200000,3.4400000,29227309
C,60,20100116,010000,3.4400000,3.4700000,3.4100000,3.4125000,61760337
C,60,20100116,020000,3.4125000,3.4200000,3.4100000,3.4200000,11443020
C,60,20100119,190000,3.3500000,3.4100000,3.3000000,3.3701000,47024745
C,60,20100119,200000,3.3700000,3.4700000,3.3700000,3.4550000,31643438
C,60,20100119,210000,3.4576000,3.4800000,3.4300000,3.4750000,43202008
C,60,20100119,220000,3.4800000,3.5500000,3.4700000,3.5300000,64109389
C,60,20100119,230000,3.5300000,3.5600000,3.4800000,3.5100000,63501106
C,60,20100120,000000,3.5199000,3.5400000,3.4900000,3.5399000,46429182
C,60,20100120,010000,3.5376000,3.5500000,3.5200000,3.5350000,52962115
C,60,20100120,020000,3.5300000,3.5400000,3.5300000,3.5400000,8415972
C,60,20100120,190000,3.5150000,3.6000000,3.5100000,3.5400000,17423195
C,60,20100120,200000,3.5300000,3.5400000,3.4700000,3.4700000,16460067
C,60,20100120,210000,3.4700000,3.4800000,3.4500000,3.4750000,16516330
C,60,20100120,220000,3.4700000,3.4900000,3.4500000,3.4600000,33931856
C,60,20100120,230000,3.4700000,3.4900000,3.4600000,3.4699000,14890394
C,60,20100121,000000,3.4700000,3.4900000,3.4600000,3.4700000,19907110
C,60,20100121,010000,3.4600000,3.4800000,3.4500000,3.4600000,31528887
C,60,20100121,020000,3.4600000,3.4600000,3.4500000,3.4600000,4389221
C,60,20100121,190000,3.4500000,3.4600000,3.3774000,3.4000000,8454286
C,60,20100121,200000,3.4099000,3.4200000,3.3300000,3.3500000,23356706
C,60,20100121,210000,3.3400000,3.3600000,3.3000000,3.3200000,23282269
C,60,20100121,220000,3.3200000,3.3300000,3.2100000,3.2150000,74737991
C,60,20100121,230000,3.2200000,3.2900000,3.2000000,3.2800000,62184305
C,60,20100122,000000,3.2750000,3.3600000,3.2600000,3.3300000,53506707
C,60,20100122,010000,3.3350000,3.3400000,3.2600000,3.2800000,40845115
C,60,20100122,020000,3.2800000,3.2800000,3.2700000,3.2700000,11598956
C,60,20100122,190000,3.2700000,3.3300000,3.2700000,3.3073000,9160593
C,60,20100122,200000,3.3050000,3.3300000,3.2600000,3.3300000,17715289
C,60,20100122,210000,3.3200000,3.3500000,3.3100000,3.3200000,19193357
C,60,20100122,220000,3.3200000,3.3900000,3.3100000,3.3495000,55952855
C,60,20100122,230000,3.3500000,3.3500000,3.3100000,3.3200000,37488880
C,60,20100123,000000,3.3100000,3.3200000,3.2700000,3.2700000,28637312
C,60,20100123,010000,3.2800000,3.2800000,3.2200000,3.2499000,42841642
C,60,20100123,020000,3.2500000,3.2500000,3.2400000,3.2500000,12602227
C,60,20100125,190000,3.3200000,3.3300000,3.2700000,3.2995000,18972437
C,60,20100125,200000,3.2995000,3.3000000,3.2300000,3.2393000,28493023
C,60,20100125,210000,3.2300000,3.2500000,3.2100000,3.2200000,34384706
C,60,20100125,220000,3.2200000,3.2400000,3.2100000,3.2295000,36650857
C,60,20100125,230000,3.2205000,3.2400000,3.2200000,3.2400000,23258126
C,60,20100126,000000,3.2300000,3.2900000,3.2300000,3.2900000,34875914
C,60,20100126,010000,3.2900000,3.2900000,3.2200000,3.2200000,45646037
C,60,20100126,020000,3.2300000,3.2300000,3.2200000,3.2300000,6728010
C,60,20100126,190000,3.2200000,3.2600000,3.2100000,3.2415000,11773441
C,60,20100126,200000,3.2415000,3.2700000,3.2300000,3.2400000,23643406
C,60,20100126,210000,3.2400000,3.2500000,3.2300000,3.2500000,13256244
C,60,20100126,220000,3.2425000,3.2500000,3.2300000,3.2300000,13861944
C,60,20100126,230000,3.2350000,3.2400000,3.2100000,3.2100000,31738326
C,60,20100127,000000,3.2100000,3.2200000,3.1500000,3.1700000,67905891
C,60,20100127,010000,3.1750000,3.1800000,3.1500000,3.1650000,37806473
C,60,20100127,020000,3.1600000,3.1601000,3.1500000,3.1500000,7711233
C,60,20100127,190000,3.1800000,3.2000000,3.1600000,3.1615000,6531044
C,60,20100127,200000,3.1615000,3.2300000,3.1500000,3.2300000,32597386
C,60,20100127,210000,3.2200000,3.2300000,3.2000000,3.2200000,14331031
C,60,20100127,220000,3.2300000,3.2300000,3.1800000,3.1800000,37842939
C,60,20100127,230000,3.1800000,3.1900000,3.1500000,3.1600000,38963685
C,60,20100128,000000,3.1600000,3.1900000,3.1400000,3.1850000,33186664
C,60,20100128,010000,3.1850000,3.2200000,3.1700000,3.2000000,43311474
C,60,20100128,020000,3.2000000,3.2000000,3.1900000,3.2000000,13177399
C,60,20100128,190000,3.2500000,3.2700000,3.2300000,3.2600000,14557712
C,60,20100128,200000,3.2600000,3.2900000,3.2500000,3.2700000,25881025
C,60,20100128,210000,3.2675000,3.2700000,3.2000000,3.2300000,14590784
C,60,20100128,220000,3.2300000,3.2500000,3.2200000,3.2500000,16162482
C,60,20100128,230000,3.2450000,3.2700000,3.2400000,3.2500000,24448608
C,60,20100129,000000,3.2500000,3.2871000,3.2500000,3.2700000,26409325
C,60,20100129,010000,3.2700000,3.2900000,3.2400000,3.2500000,31125458
C,60,20100129,020000,3.2400000,3.2500000,3.2400000,3.2400000,5170004
C,60,20100129,190000,3.2800000,3.3000000,3.2700000,3.2807000,12063297
C,60,20100129,200000,3.2807000,3.3300000,3.2700000,3.3300000,25017161
C,60,20100129,210000,3.3200000,3.3300000,3.2900000,3.3050000,19990974
C,60,20100129,220000,3.3100000,3.3400000,3.2900000,3.3100000,29717572
C,60,20100129,230000,3.3117000,3.3200000,3.2900000,3.3100000,24292005
C,60,20100130,000000,3.3000000,3.3100000,3.2900000,3.2950000,30147369
C,60,20100130,010000,3.3000000,3.3400000,3.2900000,3.3100000,45771760
C,60,20100130,020000,3.3100000,3.3200000,3.3000000,3.3000000,275090
C,60,20100201,190000,3.3500000,3.3700000,3.3400000,3.3400000,14226309
C,60,20100201,200000,3.3500000,3.3600000,3.3200000,3.3200000,14180179
C,60,20100201,210000,3.3200000,3.3500000,3.3200000,3.3300000,8072947
C,60,20100201,220000,3.3300000,3.3400000,3.3200000,3.3350000,15723292
C,60,20100201,230000,3.3300000,3.3400000,3.3300000,3.3320000,10107227
C,60,20100202,000000,3.3307000,3.3400000,3.3100000,3.3120000,17395315
C,60,20100202,010000,3.3200000,3.3400000,3.3100000,3.3300000,17474097
C,60,20100202,020000,3.3300000,3.3400000,3.3300000,3.3400000,7421008
C,60,20100202,190000,3.3500000,3.3500000,3.3200000,3.3250000,6603318
C,60,20100202,200000,3.3200000,3.3600000,3.3200000,3.3500000,17248263
C,60,20100202,210000,3.3600000,3.3900000,3.3400000,3.3750000,27697209
C,60,20100202,220000,3.3750000,3.3900000,3.3300000,3.3895000,26617345
C,60,20100202,230000,3.3900000,3.3900000,3.3563000,3.3800000,19976070
C,60,20100203,000000,3.3900000,3.3900000,3.3700000,3.3850000,25941355
C,60,20100203,010000,3.3800000,3.4100000,3.3800000,3.4050000,22568084
C,60,20100203,020000,3.4050000,3.4100000,3.4000000,3.4100000,7432998
C,60,20100203,190000,3.3900000,3.4600000,3.3800000,3.4376000,9451190
