<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DD,60,20100101,010000,33.9522000,33.9800000,33.6600000,33.6600000,678458
DD,60,20100101,020000,33.6600000,33.6700000,33.6600000,33.6700000,446600
DD,60,20100104,190000,34.1000000,34.4400000,34.0900000,34.3300000,205907
DD,60,20100104,200000,34.3600000,34.7300000,34.3100000,34.3200000,573616
DD,60,20100104,210000,34.2984000,34.4200000,34.2500000,34.3050000,424074
DD,60,20100104,220000,34.3050000,34.3400000,34.1500000,34.1600000,518492
DD,60,20100104,230000,34.1600000,34.2700000,34.1600000,34.2300000,376785
DD,60,20100105,000000,34.2250000,34.3000000,34.1900000,34.1910000,481960
DD,60,20100105,010000,34.1950000,34.2900000,34.1900000,34.2700000,584910
DD,60,20100105,020000,34.2800000,34.2800000,34.2600000,34.2600000,221772
DD,60,20100105,190000,34.3900000,34.4400000,34.1800000,34.1800000,140656
DD,60,20100105,200000,34.1600000,34.3200000,34.0000000,34.0100000,481264
DD,60,20100105,210000,34.0200000,34.0200000,33.6200000,33.7400000,1238226
DD,60,20100105,220000,33.7300000,33.8200000,33.6400000,33.6695000,903722
DD,60,20100105,230000,33.6603000,33.6700000,33.5400000,33.6389000,751215
DD,60,20100106,000000,33.6387000,33.8800000,33.6300000,33.8200000,716315
DD,60,20100106,010000,33.8200000,33.9800000,33.8198000,33.9100000,885957
DD,60,20100106,020000,33.9200000,33.9300000,33.9100000,33.9300000,237306
DD,60,20100106,190000,34.1000000,34.1500000,33.9550000,33.9900000,203665
DD,60,20100106,200000,33.9600000,34.0300000,33.7200000,33.9900000,573448
DD,60,20100106,210000,33.9995000,34.2700000,33.9900000,34.1210000,398932
DD,60,20100106,220000,34.1279000,34.3000000,34.0700000,34.1989000,636206
DD,60,20100106,230000,34.2000000,34.2300000,33.8900000,33.9800000,618962
DD,60,20100107,000000,33.9700000,34.1000000,33.9000000,33.9900000,498529
DD,60,20100107,010000,33.9900000,34.0700000,33.8100000,34.0400000,1044137
DD,60,20100107,020000,34.0400000,34.0400000,34.0200000,34.0400000,179725
DD,60,20100107,190000,34.0300000,34.1000000,33.7700000,33.7899000,168209
DD,60,20100107,200000,33.7900000,34.4099000,33.7600000,34.2000000,303827
DD,60,20100107,210000,34.2050000,34.3200000,34.2000000,34.2800000,475957
DD,60,20100107,220000,34.2800000,34.3450000,34.2500000,34.3100000,362642
DD,60,20100107,230000,34.3100000,34.3400000,34.2300000,34.3300000,423870
DD,60,20100108,000000,34.3200000,34.3400000,34.2800000,34.3100000,532248
DD,60,20100108,010000,34.3200000,34.4200000,34.2400000,34.3800000,562782
DD,60,20100108,020000,34.3700000,34.3900000,34.3500000,34.3900000,113434
DD,60,20100108,190000,34.2800000,34.3300000,34.0600000,34.2950000,165050
DD,60,20100108,200000,34.2600000,34.2600000,33.9700000,34.0650000,329619
DD,60,20100108,210000,34.0700000,34.1700000,33.9600000,34.0001000,517182
DD,60,20100108,220000,34.0000000,34.0600000,33.9600000,33.9600000,295460
DD,60,20100108,230000,33.9600000,34.0700000,33.9600000,33.9800000,265370
DD,60,20100109,000000,33.9800000,34.0000000,33.9000000,33.9665000,505795
DD,60,20100109,010000,33.9700000,34.0000000,33.8300000,33.9200000,845055
DD,60,20100109,020000,33.9300000,33.9400000,33.9300000,33.9400000,266135
DD,60,20100111,190000,34.1600000,34.4800000,34.1600000,34.2800000,232574
DD,60,20100111,200000,34.2750000,34.4100000,34.2000000,34.3900000,623881
DD,60,20100111,210000,34.3910000,34.4500000,34.1300000,34.4200000,419840
DD,60,20100111,220000,34.4300000,34.4510000,34.2100000,34.2800000,349604
DD,60,20100111,230000,34.2826000,34.2900000,34.1500000,34.1600000,330177
DD,60,20100112,000000,34.1600000,34.2000000,34.0565000,34.1800000,469329
DD,60,20100112,010000,34.1800000,34.3800000,34.1400000,34.2700000,551538
DD,60,20100112,020000,34.2700000,34.2800000,34.2600000,34.2600000,124400
DD,60,20100112,190000,33.9700000,34.3100000,33.9700000,34.1800000,88012
DD,60,20100112,200000,34.1900000,34.4100000,34.1100000,34.3300000,191772
DD,60,20100112,210000,34.3600000,34.4900000,34.2400000,34.3068000,489450
DD,60,20100112,220000,34.3000000,34.3100000,33.7300000,33.7400000,531352
DD,60,20100112,230000,33.7400000,33.8900000,33.6700000,33.8550000,379438
DD,60,20100113,000000,33.8550000,33.9200000,33.7200000,33.9200000,419065
DD,60,20100113,010000,33.9100000,34.0200000,33.7500000,33.9900000,827713
DD,60,20100113,020000,33.9800000,34.0000000,33.9800000,34.0000000,290340
DD,60,20100113,190000,34.1300000,34.5000000,34.1100000,34.4621000,127730
DD,60,20100113,200000,34.4600000,34.4900000,33.9700000,34.3300000,186148
DD,60,20100113,210000,34.3200000,34.4000000,34.1900000,34.2800000,164032
DD,60,20100113,220000,34.2700000,34.4900000,34.2700000,34.3200000,310536
DD,60,20100113,230000,34.3200000,34.4500000,34.2500000,34.4000000,392665
DD,60,20100114,000000,34.3900000,34.4700000,34.3100000,34.4221000,367941
DD,60,20100114,010000,34.4299000,34.4450000,34.2700000,34.2900000,756291
DD,60,20100114,020000,34.2800000,34.3000000,34.2800000,34.3000000,167200
DD,60,20100114,190000,34.3500000,34.4500000,34.0400000,34.0550000,224517
DD,60,20100114,200000,34.0500000,34.3400000,33.9200000,33.9200000,277731
DD,60,20100114,210000,33.9100000,34.1200000,33.9000000,33.9700000,266866
DD,60,20100114,220000,33.9766000,34.1800000,33.9400000,34.0900000,446471
DD,60,20100114,230000,34.0900000,34.1400000,33.9700000,33.9750000,399610
DD,60,20100115,000000,33.9789000,34.0700000,33.9700000,34.0400000,305229
DD,60,20100115,010000,34.0380000,34.0800000,34.0100000,34.0800000,447655
DD,60,20100115,020000,34.0700000,34.0900000,34.0600000,34.0900000,159305
DD,60,20100115,190000,34.0100000,34.2700000,33.9300000,34.0100000,163685
DD,60,20100115,200000,33.9710000,34.0000000,33.8000000,33.8800000,356534
DD,60,20100115,210000,33.9000000,34.0200000,33.8400000,33.8550000,229962
DD,60,20100115,220000,33.8598000,34.0100000,33.8400000,33.9800000,407191
DD,60,20100115,230000,33.9700000,34.0050000,33.9199000,33.9650000,367615
DD,60,20100116,000000,33.9600000,34.0600000,33.9100000,33.9400000,411809
DD,60,20100116,010000,33.9300000,34.0500000,33.9000000,34.0300000,559579
DD,60,20100116,020000,34.0400000,34.0400000,34.0100000,34.0100000,269049
DD,60,20100119,190000,33.9500000,34.4000000,33.9200000,34.2089000,143528
DD,60,20100119,200000,34.2100000,34.5850000,34.1900000,34.5450000,229801
DD,60,20100119,210000,34.5400000,34.5600000,34.4300000,34.5200000,302946
DD,60,20100119,220000,34.5200000,34.7500000,34.4900000,34.7300000,467006
DD,60,20100119,230000,34.7200000,34.8400000,34.6100000,34.7600000,540246
DD,60,20100120,000000,34.7600000,34.8100000,34.7100000,34.7300000,467311
DD,60,20100120,010000,34.7350000,34.8800000,34.7050000,34.8100000,741870
DD,60,20100120,020000,34.8100000,34.8500000,34.8100000,34.8400000,334200
DD,60,20100120,190000,34.6350000,34.6700000,34.3200000,34.4500000,128637
DD,60,20100120,200000,34.4100000,34.5300000,34.2700000,34.2900000,184571
DD,60,20100120,210000,34.2895000,34.3300000,34.0300000,34.2200000,248518
DD,60,20100120,220000,34.2200000,34.4100000,34.2200000,34.2800000,364466
DD,60,20100120,230000,34.2900000,34.5900000,34.2400000,34.5500000,503120
DD,60,20100121,000000,34.5500000,34.6500000,34.3900000,34.5300000,468545
DD,60,20100121,010000,34.5300000,34.6000000,34.4100000,34.5300000,611653
DD,60,20100121,020000,34.5300000,34.5300000,34.5200000,34.5200000,226500
DD,60,20100121,190000,34.2800000,34.4700000,34.2800000,34.4200000,96720
DD,60,20100121,200000,34.4200000,34.6500000,33.8900000,33.9800000,228408
DD,60,20100121,210000,33.9750000,34.0500000,33.4300000,33.4500000,358192
DD,60,20100121,220000,33.4500000,33.6600000,33.4200000,33.4787000,239401
DD,60,20100121,230000,33.4800000,33.5500000,33.3300000,33.4900000,336512
DD,60,20100122,000000,33.4999000,33.5000000,33.2500000,33.2901000,420012
DD,60,20100122,010000,33.3050000,33.3810000,33.1000000,33.1100000,636433
DD,60,20100122,020000,33.1100000,33.1500000,33.1000000,33.1500000,313454
DD,60,20100122,190000,33.0000000,33.2000000,32.2500000,33.1800000,126985
DD,60,20100122,200000,33.1700000,33.4000000,32.9600000,33.3050000,229514
DD,60,20100122,210000,33.3300000,33.6800000,33.1406000,33.2000000,295272
DD,60,20100122,220000,33.2150000,33.4900000,33.1400000,33.1800000,316059
DD,60,20100122,230000,33.1800000,33.1900000,32.8900000,32.9700000,272500
DD,60,20100123,000000,32.9700000,33.0900000,32.6700000,32.7200000,385702
DD,60,20100123,010000,32.7200000,32.9100000,32.4400000,32.4600000,381354
DD,60,20100123,020000,32.4500000,32.5000000,32.4500000,32.5000000,359143
DD,60,20100125,190000,32.9400000,33.4200000,32.7200000,32.8200000,190171
DD,60,20100125,200000,32.7500000,33.1800000,32.5400000,32.9900000,378045
DD,60,20100125,210000,32.9900000,33.0000000,32.6800000,32.7300000,334742
DD,60,20100125,220000,32.7300000,33.0700000,32.7100000,32.9700000,362864
DD,60,20100125,230000,32.9600000,33.0000000,32.6700000,32.7000000,472699
DD,60,20100126,000000,32.7000000,33.0200000,32.6950000,33.0000000,516107
DD,60,20100126,010000,33.0100000,33.0600000,32.8200000,32.8200000,823119
DD,60,20100126,020000,32.8200000,32.8300000,32.8200000,32.8200000,186600
DD,60,20100126,190000,32.6900000,33.7400000,32.5700000,32.8500000,570706
DD,60,20100126,200000,32.8500000,33.1400000,32.5500000,32.6300000,497607
DD,60,20100126,210000,32.6500000,33.1800000,32.5910000,32.9700000,533031
DD,60,20100126,220000,32.9700000,33.0900000,32.8600000,33.0278000,671901
DD,60,20100126,230000,33.0300000,33.0700000,32.9300000,33.0683000,636008
DD,60,20100127,000000,33.0600000,33.1000000,32.8300000,32.9700000,594242
DD,60,20100127,010000,32.9700000,33.0000000,32.6701000,32.8100000,735398
DD,60,20100127,020000,32.8000000,32.8000000,32.8000000,32.8000000,221900
DD,60,20100127,190000,32.8600000,33.1800000,32.7300000,32.8790000,82565
DD,60,20100127,200000,32.8800000,32.9200000,32.4900000,32.6900000,288627
DD,60,20100127,210000,32.6900000,32.8500000,32.5600000,32.6600000,255622
DD,60,20100127,220000,32.6675000,32.8500000,32.3500000,32.3700000,555205
DD,60,20100127,230000,32.3800000,32.5100000,32.2700000,32.3500000,404418
DD,60,20100128,000000,32.3575000,32.7400000,32.2600000,32.7000000,392280
DD,60,20100128,010000,32.7000000,32.9700000,32.3800000,32.8700000,427134
DD,60,20100128,020000,32.8800000,32.8900000,32.8600000,32.8600000,813565
DD,60,20100128,190000,33.0300000,33.2000000,32.5400000,32.6800000,154494
DD,60,20100128,200000,32.6900000,32.7100000,32.3500000,32.4500000,269545
DD,60,20100128,210000,32.4500000,32.4500000,31.9500000,32.3100000,255305
DD,60,20100128,220000,32.3100000,32.6100000,32.2900000,32.6000000,425607
DD,60,20100128,230000,32.6000000,32.6500000,32.4900000,32.5100000,237794
DD,60,20100129,000000,32.5200000,32.5300000,32.1800000,32.3521000,535273
DD,60,20100129,010000,32.3400000,32.5500000,32.2600000,32.3100000,653730
DD,60,20100129,020000,32.3100000,32.3200000,32.3100000,32.3200000,330697
DD,60,20100129,190000,32.4900000,33.0300000,32.4100000,33.0000000,165376
DD,60,20100129,200000,32.9973000,33.2800000,32.7900000,33.0850000,320768
DD,60,20100129,210000,33.0900000,33.2600000,32.8700000,32.9300000,377994
DD,60,20100129,220000,32.9300000,33.2300000,32.8100000,33.2200000,436080
DD,60,20100129,230000,33.2200000,33.2500000,32.9900000,33.1200000,573036
DD,60,20100130,000000,33.1200000,33.2800000,32.9000000,33.0200000,610767
DD,60,20100130,010000,33.0300000,33.0800000,32.6000000,32.6000000,685904
DD,60,20100130,020000,32.6000000,32.6100000,32.6000000,32.6100000,470700
DD,60,20100201,190000,32.9800000,33.2200000,32.9200000,33.0800000,125040
DD,60,20100201,200000,33.0700000,33.3700000,33.0300000,33.0700000,300800
DD,60,20100201,210000,33.0400000,33.5700000,32.9900000,33.3100000,475654
DD,60,20100201,220000,33.3000000,33.4100000,33.2700000,33.3500000,323479
DD,60,20100201,230000,33.3500000,33.5300000,33.3000000,33.3100000,432235
DD,60,20100202,000000,33.3200000,33.4100000,33.1700000,33.3550000,569539
DD,60,20100202,010000,33.3600000,33.6900000,33.3550000,33.6900000,1048454
DD,60,20100202,020000,33.6900000,33.6900000,33.6600000,33.6600000,4535100
DD,60,20100202,190000,33.6100000,33.6700000,33.0000000,33.4400000,251045
DD,60,20100202,200000,33.4700000,34.0400000,33.3800000,33.9750000,612758
DD,60,20100202,210000,33.9800000,34.0100000,33.7600000,33.7601000,468484
DD,60,20100202,220000,33.7800000,33.9500000,33.7300000,33.8700000,351460
DD,60,20100202,230000,33.8800000,33.9200000,33.6600000,33.8400000,321166
DD,60,20100203,000000,33.8400000,33.8600000,33.6000000,33.6100000,588336
DD,60,20100203,010000,33.6100000,33.8000000,33.5400000,33.6600000,847001
DD,60,20100203,020000,33.6600000,33.6600000,33.6300000,33.6300000,314400
DD,60,20100203,190000,33.6400000,34.0400000,33.5600000,33.9800000,159876
DD,60,20100203,200000,33.9900000,34.1000000,33.4200000,33.7000000,267040
DD,60,20100203,210000,33.7000000,33.7700000,33.2600000,33.3000000,290392
DD,60,20100203,220000,33.2900000,33.8400000,33.2600000,33.6300000,473068
DD,60,20100203,230000,33.6300000,33.7660000,33.5200000,33.6100000,261883
DD,60,20100204,000000,33.6100000,33.6300000,33.3700000,33.5200000,320783
DD,60,20100204,010000,33.5200000,33.7200000,33.4500000,33.4900000,447798
DD,60,20100204,020000,33.4900000,33.5100000,33.4900000,33.4900000,141372
DD,60,20100204,190000,33.0900000,33.2000000,32.6100000,32.6299000,117444
DD,60,20100204,200000,32.6400000,32.9973000,32.5700000,32.7400000,281300
DD,60,20100204,210000,32.7500000,32.8950000,32.5700000,32.7200000,224265
DD,60,20100204,220000,32.7100000,32.8100000,32.5900000,32.7400000,218355
DD,60,20100204,230000,32.7400000,32.7700000,32.5100000,32.5900000,387454
DD,60,20100205,000000,32.5600000,32.9600000,32.5400000,32.7650000,449176
DD,60,20100205,010000,32.7700000,32.8500000,32.5000000,32.5000000,584938
DD,60,20100205,020000,32.5000000,32.5200000,32.5000000,32.5200000,400377
DD,60,20100205,190000,32.5100000,32.8700000,32.2000000,32.7500000,122463
DD,60,20100205,200000,32.7000000,33.1400000,32.5200000,32.8400000,300649
DD,60,20100205,210000,32.8600000,32.8900000,32.4500000,32.5800000,232151
DD,60,20100205,220000,32.5900000,32.8500000,32.5900000,32.8400000,294081
DD,60,20100205,230000,32.8400000,32.8400000,32.0300000,32.0600000,285405
DD,60,20100206,000000,32.0506000,32.4300000,32.0506000,32.3300000,500491
DD,60,20100206,010000,32.3399000,32.7300000,32.3300000,32.7000000,559397
DD,60,20100206,020000,32.7200000,32.7300000,32.7000000,32.7300000,212506
DD,60,20100208,190000,32.6000000,33.0100000,32.1000000,32.7699000,106522
DD,60,20100208,200000,32.7699000,33.1000000,32.4600000,32.7600000,259580
DD,60,20100208,210000,32.7600000,32.8480000,32.5200000,32.6000000,276865
DD,60,20100208,220000,32.6000000,32.6900000,32.4300000,32.6290000,314476
DD,60,20100208,230000,32.6200000,32.6300000,32.2500000,32.3700000,544375
DD,60,20100209,000000,32.3700000,32.5500000,32.3100000,32.3100000,381667
DD,60,20100209,010000,32.3100000,32.3900000,32.1600000,32.1600000,434719
DD,60,20100209,020000,32.1600000,32.1900000,32.1600000,32.1900000,376125
DD,60,20100209,190000,32.5600000,32.8100000,32.4000000,32.7100000,499940
DD,60,20100209,200000,32.7000000,32.9400000,32.5000000,32.5000000,259588
DD,60,20100209,210000,32.5000000,32.9300000,32.2900000,32.7900000,237911
DD,60,20100209,220000,32.7899000,33.1400000,32.6500000,32.9073000,302863
DD,60,20100209,230000,32.9000000,33.0100000,32.7700000,32.9100000,356769
DD,60,20100210,000000,32.9100000,32.9700000,32.7600000,32.8500000,299823
DD,60,20100210,010000,32.8300000,33.0000000,32.7700000,32.8600000,507815
DD,60,20100210,020000,32.8700000,32.8800000,32.8600000,32.8800000,323400
DD,60,20100210,190000,32.3200000,32.5900000,32.2500000,32.3700000,99842
DD,60,20100210,200000,32.3300000,32.3500000,32.0500000,32.3200000,223531
DD,60,20100210,210000,32.3106000,32.5800000,32.1800000,32.4800000,407388
DD,60,20100210,220000,32.5100000,32.7400000,32.4100000,32.6200000,556627
DD,60,20100210,230000,32.6289000,32.7700000,32.5100000,32.5300000,335713
DD,60,20100211,000000,32.5300000,32.6200000,32.3700000,32.4900000,440614
DD,60,20100211,010000,32.4900000,32.5700000,32.3200000,32.3800000,462356
DD,60,20100211,020000,32.3800000,32.3800000,32.3800000,32.3800000,134700
DD,60,20100211,190000,32.3600000,32.4000000,32.0000000,32.2200000,173388
DD,60,20100211,200000,32.1800000,32.3700000,32.0900000,32.1100000,236548
DD,60,20100211,210000,32.1300000,32.6700000,32.0800000,32.4800000,297589
DD,60,20100211,220000,32.4800000,32.5100000,32.3000000,32.3783000,495429
DD,60,20100211,230000,32.3700000,32.5200000,32.3100000,32.4389000,340897
DD,60,20100212,000000,32.4300000,32.6100000,32.4100000,32.5500000,581922
DD,60,20100212,010000,32.5500000,32.5800000,32.4700000,32.5399000,563706
DD,60,20100212,020000,32.5390000,32.5500000,32.5200000,32.5500000,469892
DD,60,20100212,190000,32.1900000,32.2400000,31.8800000,32.1100000,185053
DD,60,20100212,200000,32.1000000,32.2300000,31.9000000,32.0200000,461187
DD,60,20100212,210000,32.0100000,32.3900000,31.9800000,32.3700000,479955
