<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DIS,60,20100101,010000,32.4500000,32.4800000,32.2200000,32.2700000,2819682
DIS,60,20100101,020000,32.2600000,32.2700000,32.2300000,32.2500000,5345900
DIS,60,20100104,190000,32.4300000,32.7500000,32.4000000,32.4700000,440433
DIS,60,20100104,200000,32.4700000,32.4900000,32.0000000,32.0300000,956525
DIS,60,20100104,210000,32.0300000,32.1400000,31.8700000,31.9600000,1363839
DIS,60,20100104,220000,31.9600000,32.0800000,31.9600000,32.0350000,1101974
DIS,60,20100104,230000,32.0300000,32.1500000,32.0000000,32.0200000,805709
DIS,60,20100105,000000,32.0200000,32.1800000,32.0000000,32.0600000,1179431
DIS,60,20100105,010000,32.0700000,32.0900000,32.0100000,32.0600000,1782855
DIS,60,20100105,020000,32.0600000,32.0700000,32.0600000,32.0700000,1152445
DIS,60,20100105,190000,32.0000000,32.0500000,31.7100000,31.7850000,265273
DIS,60,20100105,200000,31.7300000,32.1600000,31.7200000,32.0700000,956396
DIS,60,20100105,210000,32.0700000,32.0800000,31.8700000,31.9600000,848441
DIS,60,20100105,220000,31.9600000,32.0400000,31.9550000,31.9750000,906350
DIS,60,20100105,230000,31.9800000,31.9800000,31.8200000,31.8850000,848879
DIS,60,20100106,000000,31.8900000,31.9400000,31.8700000,31.9400000,773434
DIS,60,20100106,010000,31.9300000,32.0100000,31.9200000,32.0000000,1096875
DIS,60,20100106,020000,31.9900000,31.9900000,31.9900000,31.9900000,403900
DIS,60,20100106,190000,31.9000000,32.0000000,31.8800000,31.8900000,274488
DIS,60,20100106,200000,31.9000000,31.9550000,31.7600000,31.9050000,482582
DIS,60,20100106,210000,31.9100000,31.9500000,31.8600000,31.9000000,549141
DIS,60,20100106,220000,31.9000000,31.9100000,31.7600000,31.7910000,1125984
DIS,60,20100106,230000,31.8000000,31.8050000,31.6800000,31.7700000,967032
DIS,60,20100107,000000,31.7700000,31.9000000,31.7700000,31.8200000,859662
DIS,60,20100107,010000,31.8300000,31.8300000,31.7500000,31.8100000,1475895
DIS,60,20100107,020000,31.8100000,31.8200000,31.8100000,31.8200000,298658
DIS,60,20100107,190000,31.7900000,31.8000000,31.5700000,31.5700000,191510
DIS,60,20100107,200000,31.5650000,31.8400000,31.5400000,31.7950000,484837
DIS,60,20100107,210000,31.8150000,31.8150000,31.6800000,31.7400000,794867
