<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EK,60,20100101,010000,4.2200000,4.2200000,4.2200000,4.2200000,114900
EK,60,20100104,180000,4.2500000,4.2800000,4.1300000,4.1500000,171389
EK,60,20100104,190000,4.1400000,4.2801000,4.1200000,4.2600000,1420214
EK,60,20100104,200000,4.2600000,4.3000000,4.2500000,4.3000000,242527
EK,60,20100104,210000,4.3000000,4.3400000,4.2900000,4.3000000,420147
EK,60,20100104,220000,4.3100000,4.3100000,4.2600000,4.2705000,520539
EK,60,20100104,230000,4.2800000,4.2800000,4.2200000,4.2350000,1737918
EK,60,20100105,000000,4.2350000,4.3100000,4.2200000,4.3000000,1945299
EK,60,20100105,010000,4.3000000,4.3100000,4.2900000,4.2900000,55424
EK,60,20100105,180000,4.2800000,4.3500000,4.2800000,4.3300000,119012
EK,60,20100105,190000,4.3300000,4.4400000,4.3202000,4.4300000,948138
EK,60,20100105,200000,4.4400000,4.4600000,4.3600000,4.3700000,254172
EK,60,20100105,210000,4.3700000,4.3800000,4.3400000,4.3500000,171970
EK,60,20100105,220000,4.3600000,4.4500000,4.3300000,4.4402000,378525
EK,60,20100105,230000,4.4400000,4.6900000,4.4400000,4.5999000,2339516
EK,60,20100106,000000,4.5900000,4.6600000,4.5900000,4.6301000,1716996
EK,60,20100106,010000,4.6300000,4.6300000,4.6300000,4.6300000,112800
EK,60,20100106,180000,4.6250000,4.6500000,4.5200000,4.5300000,397196
EK,60,20100106,190000,4.5300000,4.5800000,4.4700000,4.5499000,741082
EK,60,20100106,200000,4.5499000,4.6100000,4.5100000,4.5600000,572013
EK,60,20100106,210000,4.5600000,4.6000000,4.5398000,4.5600000,477888
EK,60,20100106,220000,4.5800000,4.6000000,4.5200000,4.5300000,574105
EK,60,20100106,230000,4.5400000,4.6000000,4.5300000,4.5500000,288183
EK,60,20100107,000000,4.5600000,4.6500000,4.5500000,4.6300000,527969
EK,60,20100107,010000,4.6400000,4.6400000,4.6200000,4.6200000,122500
EK,60,20100107,180000,4.6300000,4.7900000,4.6300000,4.6500000,310923
