<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EMC,60,20100101,010000,17.5750000,17.5900000,17.4600000,17.4600000,1439772
EMC,60,20100101,020000,17.4600000,17.4700000,17.4500000,17.4700000,651977
EMC,60,20100104,190000,17.7600000,17.7700000,17.6400000,17.7000000,1226452
EMC,60,20100104,200000,17.7000000,17.9800000,17.6850000,17.8300000,2510875
EMC,60,20100104,210000,17.8300000,17.8900000,17.7700000,17.8900000,2342677
EMC,60,20100104,220000,17.8800000,17.9600000,17.8700000,17.9300000,1689361
EMC,60,20100104,230000,17.9300000,17.9800000,17.8900000,17.9000000,2592778
EMC,60,20100105,000000,17.9000000,17.9600000,17.8500000,17.9401000,2395728
EMC,60,20100105,010000,17.9400000,17.9500000,17.8200000,17.8900000,3163837
EMC,60,20100105,020000,17.8800000,17.9000000,17.8800000,17.9000000,1416363
EMC,60,20100105,190000,17.9400000,18.0000000,17.8500000,17.8700000,954575
EMC,60,20100105,200000,17.8700000,18.0500000,17.8400000,18.0500000,2240740
EMC,60,20100105,210000,18.0400000,18.1000000,17.9300000,18.0100000,1614584
EMC,60,20100105,220000,18.0200000,18.0200000,17.9500000,17.9900000,679563
EMC,60,20100105,230000,17.9922000,18.0900000,17.9800000,18.0500000,1382793
EMC,60,20100106,000000,18.0450000,18.0500000,17.9300000,18.0200000,1217071
EMC,60,20100106,010000,18.0100000,18.0700000,18.0000000,18.0600000,2616794
EMC,60,20100106,020000,18.0600000,18.0600000,18.0600000,18.0600000,432951
EMC,60,20100106,190000,18.0700000,18.1500000,17.9100000,17.9200000,1075368
EMC,60,20100106,200000,17.9200000,17.9700000,17.8000000,17.9000000,1734417
EMC,60,20100106,210000,17.9000000,17.9500000,17.7300000,17.7300000,2566384
EMC,60,20100106,220000,17.7300000,17.7699000,17.6700000,17.6900000,1786991
EMC,60,20100106,230000,17.6900000,17.7200000,17.6400000,17.6800000,1734968
EMC,60,20100107,000000,17.6800000,17.9050000,17.6700000,17.8900000,3121794
EMC,60,20100107,010000,17.8822000,17.9300000,17.7900000,17.8600000,2667068
EMC,60,20100107,020000,17.8600000,17.8600000,17.8500000,17.8600000,425648
EMC,60,20100107,190000,17.7000000,17.8800000,17.6700000,17.6800000,592242
EMC,60,20100107,200000,17.6900000,17.8200000,17.6800000,17.7200000,1214698
EMC,60,20100107,210000,17.7200000,17.7500000,17.6600000,17.6800000,1424920
EMC,60,20100107,220000,17.6700000,17.7300000,17.5500000,17.5800000,2298285
EMC,60,20100107,230000,17.5800000,17.6400000,17.5500000,17.5600000,2342975
EMC,60,20100108,000000,17.5500000,17.5700000,17.4700000,17.5050000,2799090
EMC,60,20100108,010000,17.5100000,17.5900000,17.4900000,17.5700000,2377669
EMC,60,20100108,020000,17.5600000,17.5700000,17.5600000,17.5600000,330267
EMC,60,20100108,190000,17.5800000,17.7000000,17.4800000,17.5700000,997936
EMC,60,20100108,200000,17.5800000,17.6500000,17.5000000,17.5827000,1426820
EMC,60,20100108,210000,17.5850000,17.6700000,17.5600000,17.6700000,1221771
EMC,60,20100108,220000,17.6600000,17.6800000,17.5700000,17.5900000,3305943
EMC,60,20100108,230000,17.5900000,17.7100000,17.5900000,17.6400000,1160302
EMC,60,20100109,000000,17.6400000,17.6800000,17.5900000,17.6700000,1606692
EMC,60,20100109,010000,17.6600000,17.7100000,17.6100000,17.6600000,3693053
EMC,60,20100109,020000,17.6700000,17.6700000,17.6600000,17.6600000,358545
EMC,60,20100111,190000,17.7700000,17.8000000,17.4500000,17.5300000,1215186
EMC,60,20100111,200000,17.5400000,17.6100000,17.4800000,17.5300000,1080289
EMC,60,20100111,210000,17.5400000,17.5450000,17.4600000,17.4700000,915047
EMC,60,20100111,220000,17.4750000,17.5000000,17.3200000,17.3520000,1823686
EMC,60,20100111,230000,17.3520000,17.3700000,17.2600000,17.3100000,2370697
EMC,60,20100112,000000,17.3025000,17.3900000,17.3025000,17.3875000,1074908
EMC,60,20100112,010000,17.3800000,17.5700000,17.3800000,17.5200000,2640014
EMC,60,20100112,020000,17.5100000,17.5200000,17.5100000,17.5100000,398539
EMC,60,20100112,190000,17.4900000,17.7100000,17.4500000,17.6750000,807504
EMC,60,20100112,200000,17.6800000,17.7200000,17.6400000,17.7000000,1212314
EMC,60,20100112,210000,17.6900000,17.7100000,17.5400000,17.5700000,2248641
EMC,60,20100112,220000,17.5705000,17.5800000,17.3500000,17.3700000,2473967
EMC,60,20100112,230000,17.3700000,17.4300000,17.3100000,17.4300000,1191618
EMC,60,20100113,000000,17.4300000,17.4800000,17.4000000,17.4600000,1511736
EMC,60,20100113,010000,17.4600000,17.5000000,17.4100000,17.4800000,2507036
EMC,60,20100113,020000,17.4700000,17.4800000,17.4700000,17.4700000,342400
EMC,60,20100113,190000,17.6325000,17.6800000,17.4500000,17.4500000,833043
EMC,60,20100113,200000,17.4700000,17.5400000,17.3600000,17.5250000,1080300
EMC,60,20100113,210000,17.5250000,17.5600000,17.4700000,17.5304000,793365
EMC,60,20100113,220000,17.5350000,17.6500000,17.5200000,17.5900000,722641
EMC,60,20100113,230000,17.5900000,17.6500000,17.5600000,17.6300000,1089469
EMC,60,20100114,000000,17.6400000,17.6500000,17.5600000,17.6420000,2075428
EMC,60,20100114,010000,17.6420000,17.7000000,17.5900000,17.6000000,2450274
EMC,60,20100114,020000,17.6000000,17.6100000,17.6000000,17.6000000,440778
EMC,60,20100114,190000,17.6700000,17.8200000,17.6200000,17.8000000,902211
EMC,60,20100114,200000,17.8000000,17.9300000,17.7900000,17.8500000,3581744
EMC,60,20100114,210000,17.8500000,17.8900000,17.7900000,17.8009000,2964370
EMC,60,20100114,220000,17.8100000,18.0100000,17.7950000,18.0000000,4374671
EMC,60,20100114,230000,18.0000000,18.1000000,17.9900000,18.0500000,3556385
