<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FSLR,60,20100101,010000,136.3600000,136.4499000,135.4800000,135.4800000,153390
FSLR,60,20100101,020000,135.5200000,135.5200000,135.5200000,135.5200000,100
FSLR,60,20100104,190000,136.4480000,136.8300000,134.1705000,134.6800000,93103
FSLR,60,20100104,200000,134.4500000,134.5500000,133.5800000,134.0900000,162322
FSLR,60,20100104,210000,134.0115000,135.4500000,134.0115000,135.1400000,149710
FSLR,60,20100104,220000,135.2000000,135.2300000,134.3000000,134.6700000,149979
FSLR,60,20100104,230000,134.7200000,135.0700000,134.4200000,134.7500000,111932
FSLR,60,20100105,000000,134.8000000,135.4600000,134.6600000,135.0100000,78986
FSLR,60,20100105,010000,135.0700000,135.4700000,134.8800000,135.3000000,136816
FSLR,60,20100105,020000,135.5000000,135.5000000,135.4600000,135.4600000,73630
FSLR,60,20100105,190000,135.3900000,138.1300000,135.2900000,138.1300000,85634
FSLR,60,20100105,200000,137.9500000,140.6000000,137.2900000,138.5300000,330654
FSLR,60,20100105,210000,138.6900000,139.9000000,138.2000000,139.0200000,183848
FSLR,60,20100105,220000,139.0000000,139.6000000,138.7510000,139.0150000,135793
FSLR,60,20100105,230000,139.0200000,139.0500000,138.0800000,138.2300000,141894
FSLR,60,20100106,000000,138.2300000,138.4700000,137.3200000,138.1500000,165098
FSLR,60,20100106,010000,138.1750000,138.4000000,136.8300000,137.5650000,393506
FSLR,60,20100106,020000,137.5300000,137.5300000,137.5300000,137.5300000,10600
FSLR,60,20100106,190000,138.5800000,139.7860000,137.6500000,138.2900000,117173
FSLR,60,20100106,200000,138.2800000,140.2500000,138.1000000,139.4700000,257886
FSLR,60,20100106,210000,139.4600000,140.2300000,139.4500000,139.6200000,133224
FSLR,60,20100106,220000,139.7100000,139.7100000,138.0000000,138.6600000,212667
FSLR,60,20100106,230000,138.6800000,139.2700000,138.3200000,139.0400000,115478
FSLR,60,20100107,000000,139.0500000,139.9781000,138.8100000,139.8300000,83628
FSLR,60,20100107,010000,139.8000000,140.2400000,139.4500000,139.9400000,243983
FSLR,60,20100107,020000,139.9100000,139.9100000,139.8400000,139.8400000,200
FSLR,60,20100107,190000,140.8000000,141.5000000,138.9100000,139.0000000,100786
FSLR,60,20100107,200000,139.2200000,140.9500000,139.0811000,140.6200000,161218
FSLR,60,20100107,210000,140.5800000,141.0900000,140.1000000,140.8500000,176619
FSLR,60,20100107,220000,140.8500000,142.4600000,140.7500000,141.4000000,399778
FSLR,60,20100107,230000,141.4000000,141.7100000,140.8100000,141.2000000,111348
FSLR,60,20100108,000000,141.2400000,141.6500000,140.5600000,141.2000000,115960
FSLR,60,20100108,010000,141.0500000,141.0500000,140.2600000,140.3400000,203138
FSLR,60,20100108,020000,140.3600000,140.4800000,140.3600000,140.4800000,17687
FSLR,60,20100108,190000,139.2400000,139.9800000,137.1400000,139.4300000,59437
FSLR,60,20100108,200000,139.3200000,141.4400000,138.9500000,140.5200000,146463
FSLR,60,20100108,210000,140.5300000,140.8500000,139.5500000,139.6400000,134222
FSLR,60,20100108,220000,139.6300000,140.3000000,139.5200000,140.2300000,98771
FSLR,60,20100108,230000,140.2300000,140.4000000,139.4700000,139.8601000,96231
FSLR,60,20100109,000000,139.9300000,139.9900000,139.1150000,139.2000000,110825
FSLR,60,20100109,010000,139.3000000,140.3100000,138.9000000,139.5800000,286688
FSLR,60,20100109,020000,139.6800000,139.6800000,139.6800000,139.6800000,14782
FSLR,60,20100111,190000,141.0000000,141.1200000,139.5000000,139.7200000,109023
FSLR,60,20100111,200000,139.9600000,140.2800000,138.9000000,139.0800000,120401
FSLR,60,20100111,210000,139.0800000,139.1200000,138.2500000,138.6400000,117022
FSLR,60,20100111,220000,138.6400000,138.9590000,138.0305000,138.3000000,100566
FSLR,60,20100111,230000,138.2750000,138.5500000,137.9300000,137.9620000,83846
FSLR,60,20100112,000000,138.0000000,138.1000000,137.7700000,137.8101000,98687
FSLR,60,20100112,010000,137.8690000,138.3900000,137.8200000,137.9700000,216426
FSLR,60,20100112,020000,137.9300000,138.2400000,137.9300000,138.2400000,18614
FSLR,60,20100112,190000,136.7950000,136.7950000,135.0500000,135.8200000,66420
FSLR,60,20100112,200000,135.8800000,135.9400000,134.6442000,135.2800000,98315
FSLR,60,20100112,210000,135.1700000,135.2600000,134.3200000,134.3200000,101624
FSLR,60,20100112,220000,134.3110000,134.4699000,133.3900000,133.9200000,90522
FSLR,60,20100112,230000,133.8700000,134.0500000,133.2500000,133.5000000,108794
FSLR,60,20100113,000000,133.5000000,133.7000000,132.6600000,133.1700000,216108
FSLR,60,20100113,010000,133.0100000,133.5700000,132.7600000,132.9500000,255362
FSLR,60,20100113,020000,132.9000000,132.9900000,132.8800000,132.9800000,1700
FSLR,60,20100113,190000,133.8400000,133.9900000,130.6000000,131.2500000,105989
FSLR,60,20100113,200000,131.3300000,131.6100000,129.4200000,131.4285000,145887
FSLR,60,20100113,210000,131.4300000,131.9500000,130.6100000,131.2100000,131263
FSLR,60,20100113,220000,131.1800000,133.0000000,131.1000000,132.8300000,120003
