<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GE,60,20100101,010000,15.2400000,15.2500000,15.1400000,15.1400000,4843340
GE,60,20100101,020000,15.1500000,15.1500000,15.1300000,15.1300000,4349757
GE,60,20100104,190000,15.2200000,15.3500000,15.1500000,15.2790000,2783150
GE,60,20100104,200000,15.2800000,15.4500000,15.2600000,15.4400000,4690420
GE,60,20100104,210000,15.4350000,15.5500000,15.4300000,15.5400000,5681552
GE,60,20100104,220000,15.5450000,15.6400000,15.5100000,15.5900000,7952370
GE,60,20100104,230000,15.6000000,15.6200000,15.5600000,15.5800000,4843277
GE,60,20100105,000000,15.5800000,15.6000000,15.5300000,15.5550000,5301528
GE,60,20100105,010000,15.5590000,15.5700000,15.4400000,15.4600000,7309274
GE,60,20100105,020000,15.4600000,15.4600000,15.4500000,15.4500000,2298450
GE,60,20100105,190000,15.4600000,15.6700000,15.4500000,15.6300000,2536258
GE,60,20100105,200000,15.6200000,15.6600000,15.5200000,15.5400000,4914220
GE,60,20100105,210000,15.5400000,15.5700000,15.4900000,15.5100000,6109050
GE,60,20100105,220000,15.5100000,15.5200000,15.4700000,15.4800000,5490315
GE,60,20100105,230000,15.4710000,15.5500000,15.4500000,15.5300000,9522279
GE,60,20100106,000000,15.5202000,15.5400000,15.4600000,15.4700000,3394574
GE,60,20100106,010000,15.4800000,15.5500000,15.4600000,15.5200000,5915769
GE,60,20100106,020000,15.5200000,15.5300000,15.5200000,15.5300000,3007024
GE,60,20100106,190000,15.5300000,15.6200000,15.5200000,15.5302000,2347319
GE,60,20100106,200000,15.5400000,15.5800000,15.5000000,15.5100000,3134772
GE,60,20100106,210000,15.5200000,15.5900000,15.4900000,15.5600000,4290004
GE,60,20100106,220000,15.5500000,15.5600000,15.4900000,15.4901000,3024217
GE,60,20100106,230000,15.4900000,15.5500000,15.4900000,15.5050000,4476260
GE,60,20100107,000000,15.5020000,15.5500000,15.5000000,15.5200000,5665111
GE,60,20100107,010000,15.5200000,15.5250000,15.4400000,15.4500000,8064301
GE,60,20100107,020000,15.4500000,15.4600000,15.4500000,15.4500000,2092478
GE,60,20100107,190000,15.4500000,15.5800000,15.4300000,15.4750000,2750606
GE,60,20100107,200000,15.4800000,15.6100000,15.4800000,15.5800000,4227481
GE,60,20100107,210000,15.5700000,16.1300000,15.5600000,16.1200000,27527303
GE,60,20100107,220000,16.1101000,16.5600000,16.0900000,16.4000000,38086298
GE,60,20100107,230000,16.4000000,16.4100000,16.2200000,16.2300000,16291882
GE,60,20100108,000000,16.2300000,16.4800000,16.1800000,16.3600000,19266741
GE,60,20100108,010000,16.3600000,16.3700000,16.2300000,16.2600000,14904845
GE,60,20100108,020000,16.2502000,16.2600000,16.2500000,16.2500000,4694300
GE,60,20100108,190000,16.3200000,16.5000000,16.2700000,16.3800000,7666575
