<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GLW,60,20100101,010000,19.4700000,19.4800000,19.3000000,19.3097000,932995
GLW,60,20100101,020000,19.3000000,19.3100000,19.3000000,19.3100000,615300
GLW,60,20100104,190000,19.4700000,19.5500000,19.3600000,19.4950000,347549
GLW,60,20100104,200000,19.4992000,19.7500000,19.4600000,19.6200000,1658913
GLW,60,20100104,210000,19.6200000,19.7200000,19.6100000,19.7100000,1087999
GLW,60,20100104,220000,19.7100000,19.7300000,19.6700000,19.7000000,1164461
GLW,60,20100104,230000,19.7000000,19.7400000,19.6300000,19.7101000,2413941
GLW,60,20100105,000000,19.7199000,19.7500000,19.5800000,19.5900000,1052863
GLW,60,20100105,010000,19.5800000,19.6200000,19.5500000,19.5700000,1217556
GLW,60,20100105,020000,19.5698000,19.5700000,19.5600000,19.5600000,346125
GLW,60,20100105,190000,19.9000000,20.0000000,19.8400000,19.9600000,538336
GLW,60,20100105,200000,19.9500000,20.0600000,19.8700000,19.9900000,2370890
GLW,60,20100105,210000,19.9900000,19.9900000,19.5800000,19.6500000,2088598
GLW,60,20100105,220000,19.6600000,19.6900000,19.6000000,19.6098000,1354240
GLW,60,20100105,230000,19.6098000,19.6200000,19.4950000,19.5099000,1296092
GLW,60,20100106,000000,19.5000000,19.6000000,19.4700000,19.5700000,1502906
GLW,60,20100106,010000,19.5600000,19.6300000,19.5600000,19.6300000,1072137
GLW,60,20100106,020000,19.6200000,19.6300000,19.6200000,19.6300000,261578
GLW,60,20100106,190000,19.5200000,19.7700000,19.5100000,19.6799000,400641
GLW,60,20100106,200000,19.6700000,19.7500000,19.6200000,19.7300000,502554
GLW,60,20100106,210000,19.7400000,19.7600000,19.6000000,19.6600000,1467751
GLW,60,20100106,220000,19.6500000,19.6700000,19.4700000,19.4800000,1555795
GLW,60,20100106,230000,19.4899000,19.5300000,19.4200000,19.4475000,1025177
GLW,60,20100107,000000,19.4450000,19.5100000,19.3500000,19.4500000,1268163
GLW,60,20100107,010000,19.4500000,19.4500000,19.3100000,19.3700000,1388714
GLW,60,20100107,020000,19.3700000,19.3800000,19.3600000,19.3800000,219242
GLW,60,20100107,190000,19.3000000,19.3800000,19.2500000,19.2950000,597018
GLW,60,20100107,200000,19.3300000,19.5400000,19.3100000,19.5000000,498151
GLW,60,20100107,210000,19.5006000,19.5900000,19.4700000,19.4800000,1077041
GLW,60,20100107,220000,19.4800000,19.5200000,19.4000000,19.4800000,799931
GLW,60,20100107,230000,19.4900000,19.5200000,19.4150000,19.4800000,767920
GLW,60,20100108,000000,19.4900000,19.6000000,19.4800000,19.6000000,857303
GLW,60,20100108,010000,19.5900000,19.6000000,19.4900000,19.5900000,861137
GLW,60,20100108,020000,19.5900000,19.5900000,19.5700000,19.5700000,201996
GLW,60,20100108,190000,19.4500000,19.5900000,19.3600000,19.4100000,177606
GLW,60,20100108,200000,19.4100000,19.6300000,19.4100000,19.6200000,972714
GLW,60,20100108,210000,19.6290000,19.7500000,19.6000000,19.7300000,1192438
GLW,60,20100108,220000,19.7300000,19.7600000,19.6800000,19.6900000,917689
GLW,60,20100108,230000,19.6950000,19.8300000,19.6900000,19.8000000,964379
GLW,60,20100109,000000,19.8000000,19.9200000,19.7900000,19.8800000,1611195
GLW,60,20100109,010000,19.8873000,19.9100000,19.8250000,19.8600000,1379237
GLW,60,20100109,020000,19.8700000,19.8900000,19.8700000,19.8900000,327455
GLW,60,20100111,190000,20.6600000,20.8479000,20.4600000,20.5300000,1111229
GLW,60,20100111,200000,20.5300000,20.5600000,20.2201000,20.3800000,2781758
GLW,60,20100111,210000,20.3700000,20.5100000,20.3015000,20.4600000,2025336
GLW,60,20100111,220000,20.4699000,20.5000000,20.3700000,20.4480000,2233201
GLW,60,20100111,230000,20.4500000,20.5700000,20.4100000,20.5300000,1779282
GLW,60,20100112,000000,20.5290000,20.5550000,20.3800000,20.4400000,3133185
GLW,60,20100112,010000,20.4400000,20.5100000,20.4300000,20.4900000,2057706
GLW,60,20100112,020000,20.4900000,20.5000000,20.4900000,20.4900000,204350
GLW,60,20100112,190000,20.2900000,20.3000000,20.0200000,20.1200000,509317
GLW,60,20100112,200000,20.1100000,20.4000000,20.1000000,20.3700000,696241
GLW,60,20100112,210000,20.3650000,20.3750000,20.2000000,20.2419000,1000825
GLW,60,20100112,220000,20.2500000,20.2500000,20.0601000,20.1150000,1181102
GLW,60,20100112,230000,20.1200000,20.2700000,20.0900000,20.2700000,1665352
GLW,60,20100113,000000,20.2650000,20.2800000,20.1700000,20.2700000,888768
GLW,60,20100113,010000,20.2800000,20.2800000,20.1600000,20.1800000,1464295
GLW,60,20100113,020000,20.1700000,20.1700000,20.1700000,20.1700000,563300
GLW,60,20100113,190000,20.3800000,20.5900000,20.3000000,20.4800000,462522
GLW,60,20100113,200000,20.4800000,20.5100000,20.1650000,20.2750000,1243846
GLW,60,20100113,210000,20.2750000,20.3600000,20.2200000,20.2575000,1471106
GLW,60,20100113,220000,20.2600000,20.3300000,20.2300000,20.2584000,1145562
GLW,60,20100113,230000,20.2600000,20.2900000,20.2000000,20.2200000,1033910
GLW,60,20100114,000000,20.2200000,20.2900000,20.2000000,20.2600000,1115230
GLW,60,20100114,010000,20.2500000,20.3300000,20.2400000,20.2900000,1244896
GLW,60,20100114,020000,20.2900000,20.3100000,20.2900000,20.3100000,304880
GLW,60,20100114,190000,20.2900000,20.3700000,20.1500000,20.1865000,906842
GLW,60,20100114,200000,20.1900000,20.2700000,20.0700000,20.1250000,1204677
GLW,60,20100114,210000,20.1400000,20.1800000,20.0600000,20.0700000,1178540
GLW,60,20100114,220000,20.0704000,20.2400000,20.0700000,20.1900000,968460
GLW,60,20100114,230000,20.1900000,20.2000000,20.0700000,20.0900000,1202978
GLW,60,20100115,000000,20.1000000,20.2300000,20.0900000,20.2100000,1357206
GLW,60,20100115,010000,20.2100000,20.2800000,20.1800000,20.2000000,1504792
GLW,60,20100115,020000,20.2100000,20.2100000,20.2000000,20.2000000,178612
GLW,60,20100115,190000,20.2000000,20.2000000,19.8300000,19.9090000,276336
GLW,60,20100115,200000,19.9000000,19.9500000,19.7200000,19.7400000,605407
GLW,60,20100115,210000,19.7491000,19.8100000,19.6800000,19.7000000,1034509
GLW,60,20100115,220000,19.7081000,19.7800000,19.6700000,19.6950000,520357
GLW,60,20100115,230000,19.6901000,19.7000000,19.4900000,19.5700000,1850807
GLW,60,20100116,000000,19.5700000,19.6600000,19.5600000,19.6250000,1412805
GLW,60,20100116,010000,19.6250000,19.7100000,19.6200000,19.6700000,1507428
GLW,60,20100116,020000,19.6800000,19.6800000,19.6600000,19.6600000,426700
GLW,60,20100119,190000,19.3800000,19.6700000,19.3150000,19.6500000,217707
GLW,60,20100119,200000,19.6500000,19.6600000,19.3900000,19.5400000,1375474
GLW,60,20100119,210000,19.5337000,19.5600000,19.4900000,19.5100000,984262
GLW,60,20100119,220000,19.5001000,19.5900000,19.5000000,19.5899000,1565518
GLW,60,20100119,230000,19.5900000,19.6100000,19.5500000,19.5700000,1013660
GLW,60,20100120,000000,19.5700000,19.6200000,19.5100000,19.6100000,1854979
GLW,60,20100120,010000,19.6100000,19.7900000,19.5600000,19.7800000,2754034
GLW,60,20100120,020000,19.7800000,19.7900000,19.7800000,19.7900000,870800
GLW,60,20100120,190000,19.5001000,19.6600000,19.4600000,19.6090000,174020
GLW,60,20100120,200000,19.5800000,19.5800000,19.3400000,19.4600000,456356
GLW,60,20100120,210000,19.4650000,19.6200000,19.3500000,19.5550000,1354253
GLW,60,20100120,220000,19.5500000,19.6800000,19.5500000,19.6400000,1092583
GLW,60,20100120,230000,19.6500000,19.8300000,19.5600000,19.8100000,1813816
GLW,60,20100121,000000,19.8000000,19.8200000,19.7300000,19.7500000,1344181
GLW,60,20100121,010000,19.7500000,19.7700000,19.6800000,19.7600000,1319257
GLW,60,20100121,020000,19.7600000,19.7700000,19.7600000,19.7700000,219366
GLW,60,20100121,190000,19.8500000,20.1200000,19.7700000,20.0725000,250087
GLW,60,20100121,200000,20.0800000,20.2400000,19.7500000,19.9100000,698251
GLW,60,20100121,210000,19.9000000,19.9050000,19.6200000,19.7050000,427489
GLW,60,20100121,220000,19.6900000,19.7900000,19.5100000,19.5600000,542519
GLW,60,20100121,230000,19.5599000,19.8000000,19.5200000,19.7900000,713766
GLW,60,20100122,000000,19.8000000,19.8000000,19.6600000,19.7500000,632182
GLW,60,20100122,010000,19.7499000,19.7500000,19.5900000,19.6000000,1087724
GLW,60,20100122,020000,19.5900000,19.6100000,19.5900000,19.6100000,214810
GLW,60,20100122,190000,19.4500000,19.4800000,19.2700000,19.3200000,341565
GLW,60,20100122,200000,19.3000000,19.3500000,18.8600000,19.0100000,657929
GLW,60,20100122,210000,19.0200000,19.1350000,19.0000000,19.0900000,708511
GLW,60,20100122,220000,19.0901000,19.1200000,19.0300000,19.0600000,625143
GLW,60,20100122,230000,19.0500000,19.0600000,18.9100000,18.9800000,681178
GLW,60,20100123,000000,18.9800000,19.0000000,18.7900000,18.8050000,640256
GLW,60,20100123,010000,18.8100000,18.8150000,18.5000000,18.5600000,857025
GLW,60,20100123,020000,18.5600000,18.5600000,18.5600000,18.5600000,581100
GLW,60,20100125,190000,18.7200000,18.9800000,18.7000000,18.9300000,397530
GLW,60,20100125,200000,18.9300000,18.9800000,18.7300000,18.7425000,1349714
GLW,60,20100125,210000,18.7500000,18.7500000,18.5300000,18.6750000,796996
GLW,60,20100125,220000,18.6800000,18.7500000,18.6100000,18.6899000,1225787
GLW,60,20100125,230000,18.6900000,18.7300000,18.6100000,18.7000000,1637984
GLW,60,20100126,000000,18.7100000,18.8600000,18.6900000,18.8200000,1173392
GLW,60,20100126,010000,18.8300000,18.8675000,18.6850000,18.7000000,1846910
GLW,60,20100126,020000,18.7100000,18.7200000,18.6900000,18.7200000,239600
GLW,60,20100126,190000,18.6000000,18.6800000,18.0900000,18.1061000,626491
GLW,60,20100126,200000,18.1000000,18.3600000,18.0300000,18.0600000,1822757
GLW,60,20100126,210000,18.0500000,18.2800000,18.0410000,18.2400000,2017075
GLW,60,20100126,220000,18.2400000,18.5900000,18.2200000,18.5900000,1833717
GLW,60,20100126,230000,18.5900000,18.6300000,18.4601000,18.6300000,1082464
GLW,60,20100127,000000,18.6201000,18.6500000,18.4100000,18.4800000,2240577
GLW,60,20100127,010000,18.4800000,18.7100000,18.4800000,18.6500000,2675254
GLW,60,20100127,020000,18.6500000,18.6501000,18.6500000,18.6500000,354100
GLW,60,20100127,190000,18.6200000,19.1100000,18.5300000,19.0300000,373173
GLW,60,20100127,200000,19.0200000,19.0400000,18.7100000,18.8900000,541107
GLW,60,20100127,210000,18.8899000,18.9400000,18.8200000,18.8700000,1069940
