<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HD,60,20100101,010000,29.1166000,29.1400000,28.9100000,28.9100000,977577
HD,60,20100101,020000,28.9100000,28.9300000,28.9100000,28.9300000,722600
HD,60,20100104,190000,29.0800000,29.1200000,28.9300000,29.0000000,366392
HD,60,20100104,200000,29.0100000,29.0200000,28.7900000,28.8700000,792675
HD,60,20100104,210000,28.8750000,28.9200000,28.7701000,28.8300000,796964
HD,60,20100104,220000,28.8300000,28.8635000,28.7500000,28.7575000,825706
HD,60,20100104,230000,28.7575000,28.8300000,28.7100000,28.7170000,626922
HD,60,20100105,000000,28.7170000,28.7800000,28.6700000,28.7725000,801567
HD,60,20100105,010000,28.7800000,28.7800000,28.5500000,28.6600000,3022069
HD,60,20100105,020000,28.6700000,28.6700000,28.6600000,28.6700000,552836
HD,60,20100105,190000,28.7300000,28.7900000,28.4600000,28.5000000,549175
HD,60,20100105,200000,28.5000000,28.8400000,28.4600000,28.8400000,1332599
HD,60,20100105,210000,28.8400000,28.9700000,28.8100000,28.8400000,2502016
HD,60,20100105,220000,28.8400000,28.9700000,28.8300000,28.9418000,1210264
HD,60,20100105,230000,28.9400000,28.9900000,28.8500000,28.9000000,1605712
HD,60,20100106,000000,28.9095000,28.9200000,28.8400000,28.8400000,643855
HD,60,20100106,010000,28.8400000,28.9000000,28.8400000,28.8700000,1040497
HD,60,20100106,020000,28.8700000,28.8800000,28.8600000,28.8800000,448400
HD,60,20100106,190000,28.7600000,29.0000000,28.7000000,28.9300000,241512
HD,60,20100106,200000,28.9300000,29.0000000,28.8700000,28.9050000,411742
HD,60,20100106,210000,28.9100000,28.9900000,28.8800000,28.9100000,289741
HD,60,20100106,220000,28.9070000,28.9200000,28.7900000,28.8600000,542043
HD,60,20100106,230000,28.8600000,28.9300000,28.8000000,28.8100000,769023
HD,60,20100107,000000,28.8100000,28.8800000,28.8000000,28.8100000,706016
HD,60,20100107,010000,28.8100000,28.8200000,28.7300000,28.7700000,1193441
HD,60,20100107,020000,28.7800000,28.7800000,28.7700000,28.7800000,452817
HD,60,20100107,190000,28.7900000,29.0600000,28.7400000,28.8500000,564744
HD,60,20100107,200000,28.8600000,29.1300000,28.8200000,29.0750000,850103
HD,60,20100107,210000,29.0650000,29.1100000,28.9000000,28.9000000,857971
HD,60,20100107,220000,28.9075000,29.0000000,28.8750000,28.9700000,868844
HD,60,20100107,230000,28.9700000,29.0100000,28.9600000,29.0000000,487563
HD,60,20100108,000000,29.0000000,29.2200000,29.0000000,29.1400000,1051509
HD,60,20100108,010000,29.1400000,29.2100000,29.0650000,29.1300000,1385161
HD,60,20100108,020000,29.1400000,29.1400000,29.1200000,29.1200000,577400
HD,60,20100108,190000,29.0000000,29.2385000,28.7400000,28.9800000,470626
HD,60,20100108,200000,28.9800000,29.0000000,28.6900000,28.7335000,1279494
HD,60,20100108,210000,28.7300000,28.8600000,28.6900000,28.8500000,1692595
HD,60,20100108,220000,28.8500000,29.1400000,28.8500000,29.1300000,1439782
HD,60,20100108,230000,29.1300000,29.1500000,28.9200000,28.9294000,693238
HD,60,20100109,000000,28.9300000,28.9500000,28.8500000,28.9000000,979391
HD,60,20100109,010000,28.8975000,29.0600000,28.8800000,28.9800000,2140827
HD,60,20100109,020000,28.9700000,28.9800000,28.9700000,28.9800000,934182
HD,60,20100111,190000,28.9800000,29.0200000,28.6500000,28.6700000,459451
HD,60,20100111,200000,28.6700000,28.7400000,28.5200000,28.5800000,819094
HD,60,20100111,210000,28.5900000,28.6000000,28.4800000,28.5400000,842697
HD,60,20100111,220000,28.5400000,28.5500000,28.2800000,28.2900000,1788353
HD,60,20100111,230000,28.2900000,28.3600000,28.2200000,28.2400000,2296864
HD,60,20100112,000000,28.2400000,28.2400000,28.0800000,28.1400000,2686598
HD,60,20100112,010000,28.1300000,28.2600000,28.1200000,28.1500000,4230747
HD,60,20100112,020000,28.1500000,28.1600000,28.1400000,28.1600000,3014460
HD,60,20100112,190000,28.1950000,28.3500000,28.1100000,28.3000000,1007272
HD,60,20100112,200000,28.2900000,28.3400000,28.2100000,28.2400000,1148752
HD,60,20100112,210000,28.2422000,28.2600000,28.0600000,28.1100000,1029531
HD,60,20100112,220000,28.1001000,28.1100000,27.8900000,27.9600000,1198821
HD,60,20100112,230000,27.9700000,28.0300000,27.9100000,28.0300000,1274747
HD,60,20100113,000000,28.0300000,28.0700000,27.9800000,28.0600000,1411463
HD,60,20100113,010000,28.0600000,28.0700000,27.9300000,27.9900000,2268410
HD,60,20100113,020000,27.9900000,27.9900000,27.9800000,27.9800000,298725
HD,60,20100113,190000,28.0000000,28.1600000,28.0000000,28.1110000,441695
HD,60,20100113,200000,28.1100000,28.2250000,28.0320000,28.1000000,783893
HD,60,20100113,210000,28.1000000,28.2400000,28.1000000,28.1600000,860390
HD,60,20100113,220000,28.1500000,28.2200000,28.0800000,28.0800000,1652325
HD,60,20100113,230000,28.0800000,28.0900000,28.0000000,28.0600000,1209915
HD,60,20100114,000000,28.0550000,28.1600000,28.0500000,28.1600000,834510
HD,60,20100114,010000,28.1600000,28.2400000,28.1200000,28.1300000,1969886
HD,60,20100114,020000,28.1300000,28.1300000,28.1200000,28.1300000,354600
HD,60,20100114,190000,28.2175000,28.3100000,28.1600000,28.2550000,369577
HD,60,20100114,200000,28.2501000,28.4400000,28.2100000,28.3500000,1505089
HD,60,20100114,210000,28.3600000,28.3700000,28.2800000,28.3000000,465238
HD,60,20100114,220000,28.2950000,28.3400000,28.2500000,28.2700000,974651
HD,60,20100114,230000,28.2700000,28.3250000,28.2100000,28.2800000,1345732
HD,60,20100115,000000,28.2800000,28.3400000,28.2700000,28.3100000,819351
HD,60,20100115,010000,28.3096000,28.3600000,28.2700000,28.2900000,1571557
HD,60,20100115,020000,28.2900000,28.3000000,28.2800000,28.3000000,354417
HD,60,20100115,190000,28.4000000,28.5700000,28.2545000,28.3900000,627604
HD,60,20100115,200000,28.3600000,28.5400000,28.3050000,28.5330000,1213724
HD,60,20100115,210000,28.5400000,28.6600000,28.5000000,28.6600000,2296085
