<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HPQ,60,20100101,010000,51.8500000,51.8600000,51.4700000,51.4800000,2867565
HPQ,60,20100101,020000,51.4899000,51.5100000,51.4700000,51.5100000,938400
HPQ,60,20100104,190000,51.4600000,52.3800000,51.3800000,52.2800000,628933
HPQ,60,20100104,200000,52.2900000,52.5000000,52.2500000,52.4100000,762010
HPQ,60,20100104,210000,52.3900000,52.4500000,52.2500000,52.3100000,970978
HPQ,60,20100104,220000,52.3150000,52.3500000,52.2200000,52.3500000,760213
HPQ,60,20100104,230000,52.3500000,52.4400000,52.2800000,52.4200000,916720
HPQ,60,20100105,000000,52.4200000,52.5000000,52.3900000,52.4300000,1283044
HPQ,60,20100105,010000,52.4201000,52.4800000,52.3600000,52.4625000,1561857
HPQ,60,20100105,020000,52.4700000,52.4800000,52.4500000,52.4500000,509590
HPQ,60,20100105,190000,52.2100000,52.5000000,52.1000000,52.4000000,665066
HPQ,60,20100105,200000,52.4000000,52.7400000,52.3100000,52.6599000,831216
HPQ,60,20100105,210000,52.6500000,52.6550000,52.4600000,52.5100000,1028884
HPQ,60,20100105,220000,52.5100000,52.6600000,52.4900000,52.5500000,1129513
HPQ,60,20100105,230000,52.5500000,52.6900000,52.4600000,52.5800000,1178852
HPQ,60,20100106,000000,52.5800000,52.6300000,52.4700000,52.5700000,1378812
HPQ,60,20100106,010000,52.5800000,52.7250000,52.5600000,52.6500000,1461358
HPQ,60,20100106,020000,52.6600000,52.6700000,52.6500000,52.6700000,337900
HPQ,60,20100106,190000,52.4900000,52.6000000,52.2000000,52.3650000,472305
HPQ,60,20100106,200000,52.3800000,52.6600000,52.3600000,52.6200000,751843
HPQ,60,20100106,210000,52.6200000,52.7200000,52.5000000,52.5300000,792001
HPQ,60,20100106,220000,52.5300000,52.5700000,52.3608000,52.5320000,991656
HPQ,60,20100106,230000,52.5400000,52.6300000,52.3000000,52.3199000,1007006
HPQ,60,20100107,000000,52.3200000,52.4700000,52.3150000,52.4101000,818012
HPQ,60,20100107,010000,52.3909000,52.4300000,52.0500000,52.1750000,1320937
HPQ,60,20100107,020000,52.1800000,52.1800000,52.1700000,52.1800000,403409
HPQ,60,20100107,190000,52.0500000,52.5900000,52.0300000,52.0400000,491864
HPQ,60,20100107,200000,52.0600000,52.4900000,52.0300000,52.4400000,535059
HPQ,60,20100107,210000,52.4400000,52.5300000,52.1000000,52.1600000,923680
HPQ,60,20100107,220000,52.1600000,52.4100000,52.1450000,52.3000000,893469
HPQ,60,20100107,230000,52.2999000,52.3900000,52.2200000,52.2450000,631093
HPQ,60,20100108,000000,52.2450000,52.2900000,52.0600000,52.1000000,961755
HPQ,60,20100108,010000,52.1100000,52.2900000,52.0000000,52.2000000,904941
HPQ,60,20100108,020000,52.1900000,52.2000000,52.1900000,52.2000000,419500
HPQ,60,20100108,190000,52.1000000,52.5400000,52.0900000,52.4700000,418588
HPQ,60,20100108,200000,52.4900000,52.5800000,52.1826000,52.4320000,656613
HPQ,60,20100108,210000,52.4313000,52.5800000,52.3600000,52.5550000,684795
HPQ,60,20100108,220000,52.5600000,52.5700000,52.3800000,52.4000000,730170
HPQ,60,20100108,230000,52.3800000,52.4900000,52.3300000,52.3705000,741880
HPQ,60,20100109,000000,52.3700000,52.4900000,52.3300000,52.4400000,800903
HPQ,60,20100109,010000,52.4400000,52.6400000,52.3900000,52.5800000,1480873
HPQ,60,20100109,020000,52.5800000,52.5900000,52.5800000,52.5900000,505059
HPQ,60,20100111,190000,52.5700000,52.7200000,52.0100000,52.0300000,473315
HPQ,60,20100111,200000,52.0300000,52.3100000,51.9400000,52.2501000,521026
HPQ,60,20100111,210000,52.2500000,52.2600000,52.0800000,52.2520000,539486
HPQ,60,20100111,220000,52.2600000,52.2800000,52.0800000,52.0800000,562588
HPQ,60,20100111,230000,52.0900000,52.2200000,52.0100000,52.1800000,1262285
HPQ,60,20100112,000000,52.1800000,52.4000000,52.1700000,52.3800000,976907
HPQ,60,20100112,010000,52.3873000,52.5000000,52.3650000,52.4300000,1278535
HPQ,60,20100112,020000,52.4400000,52.4400000,52.4300000,52.4300000,266974
HPQ,60,20100112,190000,52.0400000,52.5300000,52.0100000,52.4800000,302596
HPQ,60,20100112,200000,52.4900000,52.5500000,52.3600000,52.5500000,230585
HPQ,60,20100112,210000,52.5200000,52.5600000,52.1550000,52.2400000,721271
HPQ,60,20100112,220000,52.2400000,52.2405000,51.8400000,51.9600000,888340
HPQ,60,20100112,230000,51.9600000,52.0400000,51.8200000,51.9000000,974988
HPQ,60,20100113,000000,51.9000000,51.9500000,51.7900000,51.9200000,1073870
HPQ,60,20100113,010000,51.9200000,51.9500000,51.7900000,51.9400000,1286089
HPQ,60,20100113,020000,51.9300000,51.9700000,51.9300000,51.9700000,479000
HPQ,60,20100113,190000,52.0500000,52.3400000,52.0300000,52.0671000,259474
HPQ,60,20100113,200000,52.0671000,52.0798000,51.6900000,51.7900000,572276
HPQ,60,20100113,210000,51.7900000,51.8500000,51.6500000,51.6600000,830698
HPQ,60,20100113,220000,51.6700000,52.0500000,51.6600000,51.9700000,1117092
HPQ,60,20100113,230000,51.9600000,51.9700000,51.7900000,51.8700000,970417
HPQ,60,20100114,000000,51.8700000,52.2000000,51.8600000,52.1700000,860718
