<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IBM,60,20100101,010000,131.7800000,131.9900000,130.8300000,130.8700000,631058
IBM,60,20100101,020000,130.8500000,130.9000000,130.8100000,130.9000000,420000
IBM,60,20100104,190000,130.9100000,132.7000000,130.8500000,132.6900000,353483
IBM,60,20100104,200000,132.7300000,132.9700000,132.5800000,132.6400000,416803
IBM,60,20100104,210000,132.6300000,132.7600000,132.2200000,132.7200000,540504
IBM,60,20100104,220000,132.7200000,132.7300000,132.2400000,132.4100000,543423
IBM,60,20100104,230000,132.3900000,132.6900000,132.2500000,132.6390000,551627
IBM,60,20100105,000000,132.6100000,132.6800000,132.4800000,132.4900000,453907
IBM,60,20100105,010000,132.4830000,132.5825000,132.3400000,132.4600000,542421
IBM,60,20100105,020000,132.4600000,132.4600000,132.4500000,132.4500000,366900
IBM,60,20100105,190000,131.6000000,131.8500000,130.5800000,130.8900000,316800
IBM,60,20100105,200000,130.8750000,131.5080000,130.8100000,131.3200000,485497
IBM,60,20100105,210000,131.3215000,131.3700000,130.6000000,130.6195000,466623
IBM,60,20100105,220000,130.6000000,130.6300000,130.2800000,130.5800000,679620
IBM,60,20100105,230000,130.5700000,130.6300000,130.2500000,130.3400000,448613
IBM,60,20100106,000000,130.3400000,130.5800000,130.1000000,130.5200000,427649
IBM,60,20100106,010000,130.5271000,130.9500000,130.5100000,130.7400000,660144
IBM,60,20100106,020000,130.7700000,130.8500000,130.7700000,130.8500000,232900
IBM,60,20100106,190000,130.6600000,131.2200000,130.4900000,130.9700000,240713
IBM,60,20100106,200000,130.9900000,131.4900000,130.9400000,131.1700000,303944
IBM,60,20100106,210000,131.1800000,131.3000000,130.3200000,130.4000000,335695
IBM,60,20100106,220000,130.4000000,130.4200000,129.9800000,130.2700000,680417
IBM,60,20100106,230000,130.2600000,130.5200000,130.0100000,130.1200000,421214
IBM,60,20100107,000000,130.1122000,130.4346000,130.0400000,130.3000000,361931
IBM,60,20100107,010000,130.3000000,130.3500000,129.8700000,130.0200000,568228
IBM,60,20100107,020000,130.0100000,130.0200000,130.0000000,130.0000000,253908
IBM,60,20100107,190000,129.9000000,129.9000000,129.2000000,129.2000000,297645
IBM,60,20100107,200000,129.2290000,130.2500000,128.9100000,130.1220000,573392
IBM,60,20100107,210000,130.1300000,130.2000000,129.7000000,129.8400000,402413
IBM,60,20100107,220000,129.8400000,129.9600000,129.6500000,129.7500000,521245
IBM,60,20100107,230000,129.7405000,129.7700000,129.3600000,129.3800000,398829
IBM,60,20100108,000000,129.3800000,129.7800000,129.3600000,129.6100000,360079
IBM,60,20100108,010000,129.6100000,129.6200000,129.2700000,129.4900000,563707
IBM,60,20100108,020000,129.5000000,129.5500000,129.5000000,129.5500000,172400
IBM,60,20100108,190000,129.1900000,129.8500000,129.0600000,129.5900000,120738
IBM,60,20100108,200000,129.5900000,130.0800000,129.4100000,130.0800000,321130
IBM,60,20100108,210000,130.1000000,130.4200000,129.9002000,130.4100000,332015
IBM,60,20100108,220000,130.4000000,130.4200000,130.1000000,130.2100000,271555
IBM,60,20100108,230000,130.1601000,130.5500000,130.0500000,130.4800000,381755
IBM,60,20100109,000000,130.4700000,130.6400000,130.3600000,130.4120000,379185
IBM,60,20100109,010000,130.4120000,130.9100000,130.3300000,130.8200000,535995
IBM,60,20100109,020000,130.7900000,130.8500000,130.7900000,130.8500000,282100
IBM,60,20100111,190000,130.9900000,130.9900000,129.2000000,129.3000000,310607
IBM,60,20100111,200000,129.3100000,129.5300000,128.6700000,129.4000000,394427
IBM,60,20100111,210000,129.3900000,129.5200000,129.1000000,129.4999000,270728
IBM,60,20100111,220000,129.4900000,129.7000000,129.2500000,129.4300000,516490
IBM,60,20100111,230000,129.4220000,129.4900000,129.0500000,129.2260000,391558
IBM,60,20100112,000000,129.2120000,129.4200000,129.1140000,129.1800000,393913
IBM,60,20100112,010000,129.1800000,129.5700000,129.1600000,129.4900000,545140
IBM,60,20100112,020000,129.5000000,129.5000000,129.4600000,129.4800000,322800
IBM,60,20100112,190000,129.1000000,130.7600000,129.0100000,130.5800000,284580
IBM,60,20100112,200000,130.5905000,130.7600000,130.2100000,130.7000000,263997
IBM,60,20100112,210000,130.7100000,130.9500000,130.3800000,130.8200000,844992
IBM,60,20100112,220000,130.8140000,131.3300000,129.7775000,130.0800000,1110228
IBM,60,20100112,230000,130.0800000,130.3300000,129.9000000,130.2600000,394167
IBM,60,20100113,000000,130.2601000,130.8000000,130.1700000,130.7999000,425887
IBM,60,20100113,010000,130.7800000,130.7800000,130.2200000,130.4860000,695571
IBM,60,20100113,020000,130.5300000,130.5400000,130.5000000,130.5100000,196300
IBM,60,20100113,190000,130.7000000,131.1200000,130.1200000,130.3815000,261367
IBM,60,20100113,200000,130.3800000,130.4200000,129.1912000,129.5400000,491570
IBM,60,20100113,210000,129.5100000,130.4500000,129.5100000,130.2199000,301148
IBM,60,20100113,220000,130.2199000,130.9100000,130.2100000,130.6400000,362969
IBM,60,20100113,230000,130.6400000,130.8900000,130.5900000,130.7800000,347064
IBM,60,20100114,000000,130.7600000,130.9700000,130.4300000,130.6000000,525349
IBM,60,20100114,010000,130.6200000,130.6800000,130.1500000,130.3100000,692745
