<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INTC,60,20100802,190000,20.9300000,20.9850000,20.7300000,20.9702000,7965611
INTC,60,20100802,200000,20.9800000,21.1500000,20.9700000,21.1095000,12481310
INTC,60,20100802,210000,21.1020000,21.2500000,21.0950000,21.2301000,6382779
INTC,60,20100802,220000,21.2300000,21.2400000,21.1200000,21.1650000,3485276
INTC,60,20100802,230000,21.1700000,21.2500000,21.1600000,21.2200000,3312289
INTC,60,20100803,000000,21.2290000,21.2800000,21.1700000,21.2500000,4264733
INTC,60,20100803,010000,21.2599000,21.2700000,21.1200000,21.1300000,8087011
INTC,60,20100803,020000,21.1300000,21.1500000,21.1300000,21.1500000,3183555
INTC,60,20100803,190000,21.0100000,21.0300000,20.7500000,20.8150000,10013325
INTC,60,20100803,200000,20.8170000,20.8200000,20.7100000,20.8000000,10003938
INTC,60,20100803,210000,20.8000000,20.8800000,20.7700000,20.8500000,7987443
INTC,60,20100803,220000,20.8550000,20.8600000,20.7500000,20.7700000,5670484
INTC,60,20100803,230000,20.7700000,20.8000000,20.7400000,20.7600000,7681164
INTC,60,20100804,000000,20.7680000,20.8000000,20.7500000,20.7500000,4497530
INTC,60,20100804,010000,20.7600000,20.8500000,20.7500000,20.8500000,10432166
INTC,60,20100804,020000,20.8400000,20.8700000,20.8400000,20.8700000,2678513
INTC,60,20100804,190000,20.8100000,20.8600000,20.6200000,20.6400000,7844101
INTC,60,20100804,200000,20.6400000,20.8200000,20.4500000,20.6250000,15369427
INTC,60,20100804,210000,20.6275000,20.7200000,20.6200000,20.6801000,10850733
INTC,60,20100804,220000,20.6850000,20.7900000,20.6300000,20.7250000,14834370
INTC,60,20100804,230000,20.7250000,20.7500000,20.6400000,20.7150000,6336014
INTC,60,20100805,000000,20.7250000,20.7700000,20.6600000,20.7000000,9489295
INTC,60,20100805,010000,20.7100000,20.7600000,20.6700000,20.7300000,14093052
INTC,60,20100805,020000,20.7200000,20.7500000,20.7200000,20.7300000,1085302
