<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IP,60,20130304,090000,44.0800000,44.2400000,43.9600000,44.1100000,370558
IP,60,20130304,100000,44.1100000,44.2800000,44.0000000,44.1501000,312171
IP,60,20130304,110000,44.1600000,44.2400000,44.1000000,44.1550000,230814
IP,60,20130304,120000,44.1700000,44.1900000,43.9500000,44.1000000,381192
IP,60,20130304,130000,44.1050000,44.1700000,43.9400000,44.0400000,534877
IP,60,20130304,140000,44.0400000,44.3900000,44.0300000,44.3570000,355747
IP,60,20130304,150000,44.3600000,44.5500000,44.3000000,44.5400000,629295
IP,60,20130304,160000,44.5300000,44.5400000,44.5300000,44.5400000,98453
IP,60,20130305,090000,44.8400000,45.0000000,44.7500000,44.9500000,352419
IP,60,20130305,100000,44.9500000,45.3700000,44.9100000,45.3001000,938183
IP,60,20130305,110000,45.3050000,45.3100000,44.9650000,45.1600000,463677
IP,60,20130305,120000,45.1600000,45.2700000,45.1100000,45.1600000,394872
IP,60,20130305,130000,45.1500000,45.4000000,45.1145000,45.1545000,588164
IP,60,20130305,140000,45.1570000,45.2496000,45.0600000,45.2300000,387795
IP,60,20130305,150000,45.2300000,45.3600000,45.1600000,45.2500000,836232
IP,60,20130305,160000,45.2600000,45.2700000,45.2600000,45.2600000,3500
IP,60,20130306,090000,45.6000000,46.1500000,45.5500000,46.0300000,585834
IP,60,20130306,100000,46.0200000,46.0700000,45.7800000,45.9100000,620911
IP,60,20130306,110000,45.9000000,46.1300000,45.9000000,46.0400000,496388
IP,60,20130306,120000,46.0400000,46.0900000,45.9400000,45.9600000,534262
IP,60,20130306,130000,45.9564000,46.1299000,45.9300000,46.0400000,425809
IP,60,20130306,140000,46.0400000,46.0900000,45.9800000,46.0350000,528916
IP,60,20130306,150000,46.0200000,46.0550000,45.9800000,46.0300000,1014066
IP,60,20130306,160000,46.0500000,46.0500000,46.0400000,46.0500000,1100
IP,60,20130307,090000,46.1400000,46.1900000,45.9700000,46.1100000,341962
IP,60,20130307,100000,46.1100000,46.2000000,45.9800000,45.9900000,559960
IP,60,20130307,110000,45.9801000,46.1800000,45.9600000,46.0775000,307386
IP,60,20130307,120000,46.0800000,46.1000000,45.9700000,46.0000000,243610
IP,60,20130307,130000,46.0000000,46.2000000,45.9800000,46.2000000,264313
IP,60,20130307,140000,46.1900000,46.2000000,46.0800000,46.1100000,335063
IP,60,20130307,150000,46.1200000,46.2800000,46.1000000,46.2400000,621408
IP,60,20130307,160000,46.2400000,46.2400000,46.2400000,46.2400000,2074
IP,60,20130308,090000,46.4500000,46.7410000,46.4300000,46.6300000,387675
IP,60,20130308,100000,46.6300000,46.6400000,46.3400000,46.5950000,642462
IP,60,20130308,110000,46.5900000,46.7100000,46.5400000,46.7000000,367933
IP,60,20130308,120000,46.7100000,46.7950000,46.6600000,46.7900000,406329
IP,60,20130308,130000,46.7900000,46.8900000,46.7300000,46.7800000,432983
IP,60,20130308,140000,46.7800000,46.7900000,46.6221000,46.7100000,225471
IP,60,20130308,150000,46.7200000,46.7975000,46.6400000,46.7900000,658238
IP,60,20130308,160000,46.7900000,46.7900000,46.7800000,46.7800000,131964
IP,60,20130311,090000,46.5400000,46.6700000,46.3500000,46.5450000,270472
IP,60,20130311,100000,46.5550000,46.7650000,46.4450000,46.6000000,426377
IP,60,20130311,110000,46.6000000,46.8500000,46.5900000,46.8500000,351591
IP,60,20130311,120000,46.8500000,46.9700000,46.8450000,46.9600000,386634
IP,60,20130311,130000,46.9600000,47.0800000,46.9500000,47.0600000,427406
IP,60,20130311,140000,47.0500000,47.2471000,47.0299000,47.1801000,534620
IP,60,20130311,150000,47.1850000,47.1880000,46.8800000,47.0100000,1594380
IP,60,20130311,160000,47.0100000,47.0200000,47.0000000,47.0000000,243654
IP,60,20130312,090000,46.9500000,47.0950000,46.7400000,47.0500000,343107
IP,60,20130312,100000,47.0400000,47.2000000,46.8850000,46.9700000,448288
IP,60,20130312,110000,46.9500000,46.9700000,46.5300000,46.7480000,796147
IP,60,20130312,120000,46.7400000,46.7450000,46.6150000,46.6700000,256044
IP,60,20130312,130000,46.6700000,46.7000000,46.5400000,46.5500000,257083
IP,60,20130312,140000,46.5501000,46.5950000,46.3642000,46.3700000,458734
IP,60,20130312,150000,46.3680000,46.3800000,46.2200000,46.2300000,1358548
IP,60,20130312,160000,46.2300000,46.2400000,46.2300000,46.2300000,170946
IP,60,20130313,090000,46.2900000,46.3000000,45.9100000,46.0800000,408279
IP,60,20130313,100000,46.1200000,46.2250000,45.8400000,45.8750000,765245
IP,60,20130313,110000,45.8700000,46.0400000,45.7400000,45.7701000,502965
IP,60,20130313,120000,45.7701000,46.0100000,45.7500000,45.9800000,621331
IP,60,20130313,130000,45.9810000,45.9900000,45.8400000,45.8507000,371821
IP,60,20130313,140000,45.8600000,45.9500000,45.8200000,45.8275000,453908
IP,60,20130313,150000,45.8275000,45.9100000,45.6500000,45.7300000,1123147
IP,60,20130313,160000,45.7400000,45.7400000,45.7300000,45.7400000,168373
IP,60,20130314,090000,45.6800000,46.0500000,45.6800000,45.9200000,303726
IP,60,20130314,100000,45.9300000,46.0100000,45.7800000,45.8700000,342891
IP,60,20130314,110000,45.8700000,45.9100000,45.7700000,45.8200000,312764
IP,60,20130314,120000,45.8200000,45.9700000,45.8000000,45.9200000,322518
IP,60,20130314,130000,45.9300000,45.9800000,45.8200000,45.8700000,327983
IP,60,20130314,140000,45.8650000,45.9650000,45.8600000,45.9400000,264206
IP,60,20130314,150000,45.9400000,46.0300000,45.8800000,45.9000000,710353
IP,60,20130314,160000,45.8900000,45.9000000,45.8900000,45.9000000,2424
IP,60,20130315,170000,45.8200000,45.9300000,45.6600000,45.6900000,16573
IP,60,20130315,180000,45.7000000,45.7000000,45.6100000,45.6900000,24728
IP,60,20130315,190000,45.7100000,45.7900000,45.5900000,45.6900000,29179
IP,60,20130315,200000,45.6900000,45.7300000,45.6400000,45.6900000,18482
IP,60,20130315,210000,45.7000000,45.7100000,45.6400000,45.6500000,16131
IP,60,20130315,220000,45.6450000,45.6850000,45.5600000,45.6300000,51023
IP,60,20130315,230000,45.6200000,45.7000000,45.6000000,45.6500000,78995
IP,60,20130318,170000,44.9100000,45.3300000,44.8000000,45.3200000,29889
IP,60,20130318,180000,45.3200000,45.5200000,45.3000000,45.4600000,58175
IP,60,20130318,190000,45.4600000,45.5400000,45.4100000,45.4600000,31306
IP,60,20130318,200000,45.4800000,45.5600000,45.4000000,45.4500000,34184
