<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JNJ,60,20100101,010000,64.8300000,64.8500000,64.3400000,64.3500000,1074914
JNJ,60,20100101,020000,64.3500000,64.4100000,64.3400000,64.4100000,1102900
JNJ,60,20100104,190000,64.6400000,64.8700000,64.4600000,64.7300000,430736
JNJ,60,20100104,200000,64.7300000,64.9900000,64.7100000,64.8500000,562618
JNJ,60,20100104,210000,64.8600000,64.8700000,64.7000000,64.7600000,698126
JNJ,60,20100104,220000,64.7600000,64.8500000,64.6700000,64.8100000,764629
JNJ,60,20100104,230000,64.8100000,64.9000000,64.6900000,64.7099000,1102875
JNJ,60,20100105,000000,64.7099000,64.8800000,64.6900000,64.7200000,722062
JNJ,60,20100105,010000,64.7200000,64.8700000,64.6300000,64.7000000,1356859
JNJ,60,20100105,020000,64.7000000,64.7100000,64.6800000,64.6800000,478100
JNJ,60,20100105,190000,64.4700000,64.5900000,64.3000000,64.3300000,372473
JNJ,60,20100105,200000,64.3400000,64.4700000,64.2700000,64.3500000,542578
JNJ,60,20100105,210000,64.3500000,64.3900000,64.2100000,64.2100000,815469
JNJ,60,20100105,220000,64.2100000,64.2200000,64.0200000,64.0375000,702097
JNJ,60,20100105,230000,64.0400000,64.0700000,63.8500000,63.9000000,987170
JNJ,60,20100106,000000,63.9000000,64.0000000,63.8200000,63.9200000,689371
JNJ,60,20100106,010000,63.9200000,64.1000000,63.9000000,63.9500000,1361590
JNJ,60,20100106,020000,63.9400000,63.9400000,63.9300000,63.9300000,714100
JNJ,60,20100106,190000,63.8800000,64.1800000,63.8400000,64.0225000,337216
JNJ,60,20100106,200000,64.0300000,64.1500000,63.9500000,64.1300000,646362
JNJ,60,20100106,210000,64.1200000,64.2900000,64.0500000,64.2800000,826127
JNJ,60,20100106,220000,64.2800000,64.3500000,64.2100000,64.2498000,1128445
JNJ,60,20100106,230000,64.2500000,64.4450000,64.2450000,64.4400000,1184353
JNJ,60,20100107,000000,64.4400000,64.5200000,64.3900000,64.4700000,1136004
JNJ,60,20100107,010000,64.4800000,64.5400000,64.3700000,64.4300000,1456311
JNJ,60,20100107,020000,64.4300000,64.4500000,64.4300000,64.4500000,1085900
JNJ,60,20100107,190000,64.2900000,64.3500000,63.9700000,63.9700000,344135
JNJ,60,20100107,200000,63.9950000,64.0400000,63.9000000,63.9200000,674489
JNJ,60,20100107,210000,63.9100000,64.0000000,63.7400000,63.8400000,934434
JNJ,60,20100107,220000,63.8400000,63.9300000,63.7500000,63.7899000,740377
JNJ,60,20100107,230000,63.7900000,63.9300000,63.7600000,63.8500000,904522
JNJ,60,20100108,000000,63.8500000,63.9200000,63.7500000,63.8300000,1256360
JNJ,60,20100108,010000,63.8210000,63.9900000,63.7600000,63.9700000,1021342
JNJ,60,20100108,020000,63.9800000,63.9900000,63.9800000,63.9900000,718132
JNJ,60,20100108,190000,63.9200000,63.9200000,63.6400000,63.8800000,174980
JNJ,60,20100108,200000,63.8700000,63.9900000,63.7700000,63.9800000,673896
JNJ,60,20100108,210000,63.9900000,64.0900000,63.9300000,64.0200000,620432
JNJ,60,20100108,220000,64.0200000,64.0800000,63.9000000,63.9800000,512770
JNJ,60,20100108,230000,63.9800000,64.0500000,63.8400000,63.8700000,456595
JNJ,60,20100109,000000,63.8700000,63.9700000,63.8300000,63.9300000,644627
JNJ,60,20100109,010000,63.9300000,64.2500000,63.8800000,64.2000000,964648
JNJ,60,20100109,020000,64.2100000,64.2100000,64.2100000,64.2100000,456500
JNJ,60,20100111,190000,64.4900000,64.5000000,64.1200000,64.2600000,303011
JNJ,60,20100111,200000,64.2500000,64.2600000,64.0100000,64.2100000,553433
JNJ,60,20100111,210000,64.2100000,64.3100000,64.1000000,64.1800000,507633
JNJ,60,20100111,220000,64.1900000,64.3200000,64.1700000,64.2500000,533466
JNJ,60,20100111,230000,64.2600000,64.3400000,64.1700000,64.3000000,712920
JNJ,60,20100112,000000,64.3000000,64.3400000,64.1700000,64.2500000,680836
JNJ,60,20100112,010000,64.2500000,64.3400000,64.2000000,64.2100000,948403
JNJ,60,20100112,020000,64.2300000,64.2300000,64.2100000,64.2200000,277479
JNJ,60,20100112,190000,64.1400000,64.6500000,64.0200000,64.5600000,1235831
JNJ,60,20100112,200000,64.5600000,64.7100000,64.4500000,64.6100000,572974
JNJ,60,20100112,210000,64.5400000,64.6900000,64.3400000,64.5800000,773198
JNJ,60,20100112,220000,64.5850000,64.6200000,64.3500000,64.4100000,570960
JNJ,60,20100112,230000,64.4000000,64.5100000,64.3475000,64.3800000,454459
JNJ,60,20100113,000000,64.3827000,64.5100000,64.2500000,64.4900000,1007698
JNJ,60,20100113,010000,64.4800000,64.5700000,64.4000000,64.5700000,727956
JNJ,60,20100113,020000,64.5800000,64.6400000,64.5600000,64.5600000,510239
JNJ,60,20100113,190000,64.5500000,64.7300000,64.5500000,64.7200000,324569
JNJ,60,20100113,200000,64.7200000,64.9600000,64.7100000,64.8800000,618534
JNJ,60,20100113,210000,64.9119000,64.9900000,64.8500000,64.9700000,564881
JNJ,60,20100113,220000,64.9710000,65.0300000,64.9500000,64.9850000,514140
JNJ,60,20100113,230000,64.9900000,65.0600000,64.9700000,65.0000000,708324
JNJ,60,20100114,000000,65.0000000,65.1750000,65.0000000,65.1400000,699542
JNJ,60,20100114,010000,65.1300000,65.2300000,64.9900000,65.0100000,1162706
JNJ,60,20100114,020000,65.0200000,65.0300000,64.9700000,64.9700000,1830668
JNJ,60,20100114,190000,65.2650000,65.2650000,64.7950000,65.0900000,344262
JNJ,60,20100114,200000,65.0900000,65.1800000,65.0100000,65.0600000,374366
JNJ,60,20100114,210000,65.0600000,65.1000000,64.9400000,65.0400000,474472
JNJ,60,20100114,220000,65.0400000,65.1500000,65.0000000,65.0500000,648048
JNJ,60,20100114,230000,65.0500000,65.1400000,65.0000000,65.0273000,567238
JNJ,60,20100115,000000,65.0273000,65.1466000,64.9600000,65.0900000,656770
JNJ,60,20100115,010000,65.0900000,65.2300000,65.0300000,65.0900000,941240
JNJ,60,20100115,020000,65.0900000,65.1000000,65.0900000,65.1000000,340127
JNJ,60,20100115,190000,64.9700000,65.2000000,64.9200000,64.9500000,339203
JNJ,60,20100115,200000,64.9500000,64.9500000,64.0400000,64.2119000,1449495
JNJ,60,20100115,210000,64.2100000,64.4200000,64.1750000,64.3300000,1098982
JNJ,60,20100115,220000,64.3290000,64.4000000,64.0400000,64.0700000,811625
JNJ,60,20100115,230000,64.0700000,64.1500000,63.9800000,64.1150000,1176892
JNJ,60,20100116,000000,64.1199000,64.2600000,64.1100000,64.1900000,908185
JNJ,60,20100116,010000,64.1900000,64.5250000,64.1800000,64.5100000,1141405
JNJ,60,20100116,020000,64.5100000,64.5600000,64.5000000,64.5600000,2887700
JNJ,60,20100119,190000,64.2700000,65.3600000,64.2301000,65.2300000,524534
JNJ,60,20100119,200000,65.2290000,65.5300000,65.0900000,65.4450000,827243
JNJ,60,20100119,210000,65.4400000,65.7295000,65.4400000,65.5800000,1059047
JNJ,60,20100119,220000,65.5900000,65.7500000,65.5700000,65.5800000,793130
JNJ,60,20100119,230000,65.5800000,65.5800000,65.3300000,65.4800000,1112441
