<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JPM,60,20100101,010000,42.0800000,42.1000000,41.6700000,41.6800000,2830258
JPM,60,20100101,020000,41.6900000,41.6900000,41.6700000,41.6700000,2058200
JPM,60,20100104,190000,41.7900000,42.1900000,41.7600000,42.0600000,1130794
JPM,60,20100104,200000,42.0500000,42.4700000,42.0000000,42.4399000,2553779
JPM,60,20100104,210000,42.4400000,42.8700000,42.4100000,42.8510000,4078082
JPM,60,20100104,220000,42.8600000,42.9900000,42.6000000,42.9200000,3443079
JPM,60,20100104,230000,42.9200000,42.9400000,42.7800000,42.8500000,3074558
JPM,60,20100105,000000,42.8500000,42.9500000,42.8200000,42.9100000,2830378
JPM,60,20100105,010000,42.9118000,42.9900000,42.8100000,42.8500000,4130750
JPM,60,20100105,020000,42.8500000,42.8600000,42.8500000,42.8500000,1436535
JPM,60,20100105,190000,42.7900000,43.3800000,42.7900000,43.3000000,1838771
JPM,60,20100105,200000,43.3000000,43.4900000,43.2200000,43.3700000,3127965
JPM,60,20100105,210000,43.3600000,43.4900000,43.2500000,43.4800000,3417923
JPM,60,20100105,220000,43.4800000,43.7200000,43.4200000,43.5600000,4083556
JPM,60,20100105,230000,43.5602000,43.6300000,43.2700000,43.4850000,3161348
JPM,60,20100106,000000,43.4800000,43.6800000,43.2900000,43.5750000,2381243
JPM,60,20100106,010000,43.5700000,43.8400000,43.5100000,43.6900000,3981954
JPM,60,20100106,020000,43.6900000,43.7100000,43.6800000,43.6800000,1636490
JPM,60,20100106,190000,43.4400000,43.6800000,43.3100000,43.5900000,2307232
JPM,60,20100106,200000,43.5900000,43.7600000,43.5700000,43.7500000,1341243
JPM,60,20100106,210000,43.7400000,44.0400000,43.6400000,43.8600000,2034609
JPM,60,20100106,220000,43.8699000,43.9400000,43.7500000,43.8350000,2121668
JPM,60,20100106,230000,43.8350000,44.0200000,43.8100000,43.9500000,2146540
JPM,60,20100107,000000,43.9600000,44.0600000,43.9300000,43.9900000,2059037
JPM,60,20100107,010000,43.9900000,44.0900000,43.8400000,43.9100000,2790577
JPM,60,20100107,020000,43.9000000,43.9200000,43.9000000,43.9200000,556328
JPM,60,20100107,190000,43.7900000,43.9200000,43.6200000,43.7200000,962642
JPM,60,20100107,200000,43.7200000,44.0900000,43.7200000,44.0600000,2303124
JPM,60,20100107,210000,44.0700000,44.1900000,43.9900000,44.0900000,2032529
JPM,60,20100107,220000,44.1000000,44.3000000,44.0200000,44.2420000,3602646
JPM,60,20100107,230000,44.2500000,44.5800000,44.1900000,44.5400000,3333524
JPM,60,20100108,000000,44.5305000,45.1000000,44.5200000,45.0399000,6734869
JPM,60,20100108,010000,45.0400000,45.1200000,44.7200000,44.7900000,6524579
JPM,60,20100108,020000,44.7900000,44.7900000,44.7800000,44.7900000,2466700
JPM,60,20100108,190000,44.3600000,44.6200000,44.0900000,44.3600000,2112045
JPM,60,20100108,200000,44.3600000,44.6650000,44.3500000,44.6200000,2921993
JPM,60,20100108,210000,44.6200000,44.6500000,44.2400000,44.4600000,2329588
JPM,60,20100108,220000,44.4500000,44.5250000,44.3300000,44.3300000,2011178
JPM,60,20100108,230000,44.3300000,44.4700000,44.1300000,44.1700000,2158671
JPM,60,20100109,000000,44.1700000,44.4900000,44.1500000,44.3999000,2908092
JPM,60,20100109,010000,44.4000000,44.6800000,44.3000000,44.6700000,3223629
JPM,60,20100109,020000,44.6600000,44.6800000,44.6600000,44.6800000,893715
JPM,60,20100111,190000,45.1100000,45.1900000,44.6800000,44.6900000,1842280
