<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KO,60,20100101,010000,57.3400000,57.4000000,56.9900000,56.9900000,683650
KO,60,20100101,020000,56.9900000,57.0000000,56.9300000,57.0000000,839019
KO,60,20100104,190000,57.1700000,57.2200000,56.9000000,57.0200000,209875
KO,60,20100104,200000,57.0100000,57.2200000,56.9600000,57.0900000,396818
KO,60,20100104,210000,57.0850000,57.2200000,57.0800000,57.1500000,489770
KO,60,20100104,220000,57.1500000,57.2050000,57.1000000,57.1600000,461068
KO,60,20100104,230000,57.1500000,57.2000000,57.1100000,57.1150000,582125
KO,60,20100105,000000,57.1100000,57.2000000,57.1100000,57.1725000,647008
KO,60,20100105,010000,57.1800000,57.1800000,56.9800000,57.0600000,1095092
KO,60,20100105,020000,57.0600000,57.0600000,57.0400000,57.0400000,451400
KO,60,20100105,190000,56.8600000,56.9900000,56.4000000,56.4050000,335004
KO,60,20100105,200000,56.4300000,56.5800000,56.3500000,56.5000000,767814
KO,60,20100105,210000,56.5000000,56.5600000,56.3200000,56.3600000,1174595
KO,60,20100105,220000,56.3600000,56.4200000,56.2700000,56.2900000,1044896
KO,60,20100105,230000,56.2900000,56.3300000,56.2400000,56.2900000,740195
KO,60,20100106,000000,56.2900000,56.3000000,56.1500000,56.1900000,890534
KO,60,20100106,010000,56.1800000,56.3800000,56.1500000,56.3600000,1729980
KO,60,20100106,020000,56.3600000,56.3600000,56.3500000,56.3500000,535339
KO,60,20100106,190000,56.3200000,56.4000000,56.1900000,56.2200000,322605
KO,60,20100106,200000,56.2000000,56.3450000,56.1300000,56.3200000,790101
KO,60,20100106,210000,56.3150000,56.3300000,56.0300000,56.0400000,692383
KO,60,20100106,220000,56.0301000,56.2300000,56.0000000,56.0000000,967847
KO,60,20100106,230000,56.0000000,56.1800000,55.9800000,56.1800000,1173073
KO,60,20100107,000000,56.1800000,56.4000000,56.1500000,56.3700000,892417
KO,60,20100107,010000,56.3700000,56.3700000,56.2400000,56.3200000,641255
KO,60,20100107,020000,56.3100000,56.3300000,56.2800000,56.3300000,369600
KO,60,20100107,190000,56.3000000,56.3000000,55.7500000,55.8100000,382252
KO,60,20100107,200000,55.8200000,56.3600000,55.8100000,56.2500000,460692
KO,60,20100107,210000,56.2500000,56.2600000,56.0100000,56.1299000,421695
KO,60,20100107,220000,56.1200000,56.1250000,55.9000000,55.9400000,530638
KO,60,20100107,230000,55.9500000,56.1300000,55.9300000,56.0400000,393740
KO,60,20100108,000000,56.0400000,56.1400000,55.9880000,56.1200000,415347
KO,60,20100108,010000,56.1400000,56.2300000,56.0200000,56.1600000,483904
KO,60,20100108,020000,56.1500000,56.1900000,56.1500000,56.1900000,287800
KO,60,20100108,190000,55.4500000,55.4700000,54.7500000,54.8200000,602332
KO,60,20100108,200000,54.8100000,55.0000000,54.8100000,54.9482000,1262493
KO,60,20100108,210000,54.9418000,55.3400000,54.9400000,55.1300000,1497716
KO,60,20100108,220000,55.1300000,55.2083000,55.0700000,55.1200000,824094
KO,60,20100108,230000,55.1000000,55.1250000,54.8500000,54.9100000,726222
KO,60,20100109,000000,54.9200000,54.9900000,54.8387000,54.8510000,1036669
KO,60,20100109,010000,54.8500000,55.1500000,54.8300000,55.1400000,1771626
KO,60,20100109,020000,55.1400000,55.1500000,55.1400000,55.1500000,723000
KO,60,20100111,190000,55.1500000,55.1500000,54.8900000,54.9500000,367635
KO,60,20100111,200000,54.9500000,55.5900000,54.8000000,55.5800000,952966
KO,60,20100111,210000,55.5800000,55.8700000,55.5100000,55.8700000,1290005
KO,60,20100111,220000,55.8700000,56.0625000,55.8600000,55.9495000,1162469
KO,60,20100111,230000,55.9450000,56.1900000,55.7400000,56.1099000,1262651
KO,60,20100112,000000,56.1000000,56.2800000,56.0050000,56.0300000,1021677
KO,60,20100112,010000,56.0300000,56.4473000,56.0100000,56.3000000,2246930
KO,60,20100112,020000,56.3000000,56.3000000,56.2700000,56.2700000,1049732
KO,60,20100112,030000,56.2700000,56.2700000,56.2700000,56.2700000,1007600
KO,60,20100112,190000,56.0700000,56.7600000,56.0700000,56.6600000,319890
KO,60,20100112,200000,56.6399000,56.9400000,56.4300000,56.9000000,425380
KO,60,20100112,210000,56.8500000,57.0000000,56.7500000,56.8400000,609432
KO,60,20100112,220000,56.8399000,56.9800000,56.7500000,56.8400000,712888
KO,60,20100112,230000,56.8200000,56.8500000,56.7100000,56.8200000,508731
KO,60,20100113,000000,56.8200000,56.8200000,56.6700000,56.7500000,688820
KO,60,20100113,010000,56.7500000,56.9200000,56.7200000,56.9100000,1141285
KO,60,20100113,020000,56.9100000,56.9100000,56.8800000,56.8800000,458769
KO,60,20100113,190000,56.8200000,57.4300000,56.8200000,57.2750000,362109
KO,60,20100113,200000,57.2600000,57.3800000,56.9800000,57.0900000,337756
KO,60,20100113,210000,57.1000000,57.1700000,56.9322000,57.0800000,430830
KO,60,20100113,220000,57.0700000,57.2300000,56.9100000,57.1910000,631215
KO,60,20100113,230000,57.1950000,57.3000000,57.0400000,57.0600000,499827
KO,60,20100114,000000,57.0600000,57.1700000,57.0100000,57.1400000,397967
KO,60,20100114,010000,57.1500000,57.2000000,56.9600000,57.0300000,645737
KO,60,20100114,020000,57.0400000,57.0400000,57.0200000,57.0300000,345800
KO,60,20100114,190000,56.9240000,57.0900000,56.7700000,57.0800000,166817
KO,60,20100114,200000,57.0800000,57.1700000,56.9100000,56.9400000,268363
KO,60,20100114,210000,56.9300000,57.0800000,56.8900000,56.9800000,506252
KO,60,20100114,220000,56.9800000,57.0700000,56.9500000,57.0200000,385002
KO,60,20100114,230000,57.0200000,57.0700000,56.9400000,57.0300000,433310
KO,60,20100115,000000,57.0295000,57.2100000,57.0100000,57.1825000,627674
KO,60,20100115,010000,57.1801000,57.2500000,57.0700000,57.1400000,749376
KO,60,20100115,020000,57.1500000,57.1500000,57.1300000,57.1300000,657400
KO,60,20100115,190000,56.9000000,57.3400000,56.8100000,56.8900000,2581660
KO,60,20100115,200000,56.9000000,56.9100000,56.3200000,56.3690000,386495
KO,60,20100115,210000,56.3800000,56.5100000,56.2500000,56.3000000,487837
KO,60,20100115,220000,56.3000000,56.4200000,56.1300000,56.1600000,726236
KO,60,20100115,230000,56.1600000,56.2800000,56.1000000,56.1800000,976478
KO,60,20100116,000000,56.1850000,56.2300000,56.0400000,56.1200000,862449
KO,60,20100116,010000,56.1200000,56.3300000,56.1100000,56.3100000,1236230
KO,60,20100116,020000,56.2900000,56.2900000,56.2900000,56.2900000,1223800
KO,60,20100119,190000,56.2900000,56.3700000,56.0700000,56.1500000,142005
KO,60,20100119,200000,56.1427000,56.2800000,55.9200000,56.2600000,444573
KO,60,20100119,210000,56.2700000,56.3100000,56.1400000,56.2200000,331298
