<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MCD,60,20100101,010000,63.0300000,63.0300000,62.4000000,62.4000000,815345
MCD,60,20100101,020000,62.4000000,62.4400000,62.4000000,62.4400000,622000
MCD,60,20100104,190000,62.5500000,62.6400000,62.3100000,62.4200000,253597
MCD,60,20100104,200000,62.4400000,62.7400000,62.4100000,62.6200000,563895
MCD,60,20100104,210000,62.6000000,62.9000000,62.6000000,62.8600000,451882
MCD,60,20100104,220000,62.8600000,62.9800000,62.8200000,62.9500000,482309
MCD,60,20100104,230000,62.9590000,63.0700000,62.8200000,62.9100000,488530
MCD,60,20100105,000000,62.9100000,62.9800000,62.8500000,62.8600000,523159
MCD,60,20100105,010000,62.8500000,62.9700000,62.7400000,62.7900000,680616
MCD,60,20100105,020000,62.7800000,62.7800000,62.7800000,62.7800000,236000
MCD,60,20100105,190000,62.6800000,62.7500000,62.3000000,62.3100000,185938
MCD,60,20100105,200000,62.3090000,62.5700000,62.2190000,62.5050000,435452
MCD,60,20100105,210000,62.5000000,62.5500000,62.4000000,62.4900000,467406
MCD,60,20100105,220000,62.4800000,62.5100000,62.3800000,62.4301000,386036
MCD,60,20100105,230000,62.4300000,62.4400000,62.1900000,62.2600000,562837
MCD,60,20100106,000000,62.2600000,62.3400000,62.2400000,62.3000000,794651
MCD,60,20100106,010000,62.3000000,62.3700000,62.2600000,62.3100000,992634
MCD,60,20100106,020000,62.3200000,62.3200000,62.2900000,62.3000000,434000
MCD,60,20100106,190000,62.2500000,62.4100000,62.0200000,62.2100000,140517
MCD,60,20100106,200000,62.2200000,62.3300000,61.8500000,61.9700000,448529
MCD,60,20100106,210000,61.9681000,62.0800000,61.8000000,61.8001000,591464
MCD,60,20100106,220000,61.8100000,61.8200000,61.3300000,61.4100000,1019135
MCD,60,20100106,230000,61.4200000,61.4400000,61.0600000,61.1490000,1124291
MCD,60,20100107,000000,61.1500000,61.5700000,61.1500000,61.2900000,1361599
MCD,60,20100107,010000,61.2973000,61.5400000,61.2300000,61.4700000,1559233
MCD,60,20100107,020000,61.4600000,61.4600000,61.4500000,61.4500000,400900
MCD,60,20100107,190000,61.3000000,61.5200000,61.1100000,61.3200000,156849
MCD,60,20100107,200000,61.3500000,62.0800000,61.3200000,61.8600000,528880
MCD,60,20100107,210000,61.8620000,62.2000000,61.8000000,62.0500000,610902
MCD,60,20100107,220000,62.0500000,62.3400000,61.9500000,62.1100000,753514
MCD,60,20100107,230000,62.1000000,62.3200000,61.9700000,61.9700000,904398
MCD,60,20100108,000000,61.9700000,62.1000000,61.9200000,62.0110000,738828
MCD,60,20100108,010000,62.0200000,62.0207000,61.8200000,61.9300000,737231
MCD,60,20100108,020000,61.9200000,61.9300000,61.9000000,61.9000000,196100
MCD,60,20100108,190000,62.3500000,62.4100000,61.7600000,61.9400000,204969
MCD,60,20100108,200000,61.9365000,62.0500000,61.7000000,61.7900000,408513
MCD,60,20100108,210000,61.7885000,62.0800000,61.6000000,62.0300000,531648
MCD,60,20100108,220000,62.0395000,62.0795000,61.9500000,62.0200000,593244
MCD,60,20100108,230000,62.0100000,62.0200000,61.7550000,61.7900000,439872
MCD,60,20100109,000000,61.8000000,61.9500000,61.7700000,61.8200000,480986
MCD,60,20100109,010000,61.8200000,62.0000000,61.7400000,61.7900000,840098
MCD,60,20100109,020000,61.8200000,61.8400000,61.8200000,61.8400000,343500
MCD,60,20100111,190000,62.1400000,62.2240000,61.8500000,61.9600000,263064
MCD,60,20100111,200000,61.9800000,62.2600000,61.9800000,62.1950000,287582
MCD,60,20100111,210000,62.2100000,62.2560000,62.1000000,62.1400000,465283
MCD,60,20100111,220000,62.1350000,62.2100000,62.0600000,62.1800000,550142
MCD,60,20100111,230000,62.1750000,62.1900000,62.0900000,62.1099000,467473
MCD,60,20100112,000000,62.1100000,62.2700000,62.0900000,62.2500000,556294
MCD,60,20100112,010000,62.2400000,62.4300000,62.1900000,62.2900000,1063140
MCD,60,20100112,020000,62.3000000,62.3200000,62.2900000,62.3200000,281700
