<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MMM,60,20100101,010000,83.1800000,83.2200000,82.6100000,82.6100000,453484
MMM,60,20100101,020000,82.6000000,82.6700000,82.6000000,82.6700000,217800
MMM,60,20100104,190000,83.0000000,83.4100000,82.6700000,83.1000000,94464
MMM,60,20100104,200000,83.1100000,83.2300000,82.9100000,83.1360000,235157
MMM,60,20100104,210000,83.1600000,83.4500000,83.1035000,83.2800000,167648
MMM,60,20100104,220000,83.2600000,83.2700000,82.9600000,82.9900000,249236
MMM,60,20100104,230000,82.9900000,83.1250000,82.9000000,82.9400000,191950
MMM,60,20100105,000000,82.9500000,83.1500000,82.9500000,83.0000000,228517
MMM,60,20100105,010000,83.0000000,83.1400000,82.9160000,82.9800000,426813
MMM,60,20100105,020000,82.9900000,83.0200000,82.9800000,83.0200000,153200
MMM,60,20100105,190000,83.0000000,83.0500000,82.1915000,82.2300000,70554
MMM,60,20100105,200000,82.1800000,82.7000000,82.1200000,82.4600000,179830
MMM,60,20100105,210000,82.4475000,82.5599000,82.3100000,82.4700000,164230
MMM,60,20100105,220000,82.4800000,82.4800000,82.2500000,82.2800000,139131
MMM,60,20100105,230000,82.2900000,82.3400000,81.9000000,81.9300000,258039
MMM,60,20100106,000000,81.9300000,82.2700000,81.7000000,82.2400000,275333
MMM,60,20100106,010000,82.2400000,82.5900000,82.2100000,82.4500000,352032
MMM,60,20100106,020000,82.4600000,82.5000000,82.4600000,82.5000000,161700
MMM,60,20100106,190000,83.6800000,84.3500000,83.6500000,84.1200000,281379
MMM,60,20100106,200000,84.0900000,84.5999000,83.9700000,84.3800000,378769
MMM,60,20100106,210000,84.3746000,84.5900000,84.3520000,84.4100000,259090
MMM,60,20100106,220000,84.4100000,84.4400000,83.8700000,83.9693000,461545
MMM,60,20100106,230000,83.9700000,84.0200000,83.8100000,83.9100000,396768
MMM,60,20100107,000000,83.9100000,84.0300000,83.8100000,83.8900000,353809
MMM,60,20100107,010000,83.8900000,84.0100000,83.5100000,83.7200000,621488
MMM,60,20100107,020000,83.7300000,83.7400000,83.7200000,83.7300000,800
MMM,60,20100107,190000,83.2900000,83.3000000,82.1200000,82.1200000,185524
MMM,60,20100107,200000,82.1300000,83.2400000,82.1300000,82.9000000,428866
MMM,60,20100107,210000,82.8900000,83.0400000,82.7900000,82.8950000,320801
MMM,60,20100107,220000,82.8900000,83.0400000,82.8600000,82.9800000,258414
MMM,60,20100107,230000,82.9978000,83.2000000,82.9500000,83.1200000,209250
MMM,60,20100108,000000,83.1175000,83.4900000,83.0000000,83.4300000,349476
MMM,60,20100108,010000,83.4201000,83.7600000,83.1300000,83.7100000,503906
MMM,60,20100108,020000,83.7300000,83.7300000,83.7300000,83.7300000,181200
MMM,60,20100108,190000,83.5100000,83.8900000,83.3000000,83.7950000,153236
MMM,60,20100108,200000,83.8000000,84.1700000,83.6900000,84.1620000,229920
MMM,60,20100108,210000,84.1900000,84.1900000,83.9800000,84.0600000,222692
MMM,60,20100108,220000,84.0600000,84.1900000,83.9550000,84.0000000,166960
MMM,60,20100108,230000,84.0000000,84.0400000,83.9300000,83.9900000,416291
MMM,60,20100109,000000,83.9800000,84.0700000,83.8600000,84.0075000,264248
MMM,60,20100109,010000,84.0100000,84.3100000,83.9700000,84.2800000,298530
MMM,60,20100109,020000,84.2800000,84.3200000,84.2800000,84.3200000,504000
MMM,60,20100111,190000,84.3300000,84.5400000,84.1500000,84.2100000,92881
MMM,60,20100111,200000,84.2100000,84.2400000,83.6800000,83.9000000,148789
