<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MO,60,20100101,010000,19.7125000,19.7200000,19.6300000,19.6300000,899796
MO,60,20100101,020000,19.6300000,19.6400000,19.6300000,19.6300000,878275
MO,60,20100104,190000,19.7000000,19.7270000,19.5800000,19.6500000,764390
MO,60,20100104,200000,19.6700000,19.8200000,19.6600000,19.8100000,1082908
MO,60,20100104,210000,19.8100000,19.8700000,19.7800000,19.8300000,937341
MO,60,20100104,220000,19.8200000,19.8400000,19.8000000,19.8100000,837351
MO,60,20100104,230000,19.8100000,19.8400000,19.7800000,19.7820000,998598
MO,60,20100105,000000,19.7900000,19.8300000,19.7800000,19.7978000,736527
MO,60,20100105,010000,19.7978000,19.8000000,19.7500000,19.7700000,1243027
MO,60,20100105,020000,19.7800000,19.7900000,19.7700000,19.7900000,365753
MO,60,20100105,190000,19.8200000,19.8500000,19.7200000,19.7270000,207856
MO,60,20100105,200000,19.7200000,19.7800000,19.7000000,19.7200000,431900
MO,60,20100105,210000,19.7200000,19.7400000,19.6700000,19.6700000,1306658
MO,60,20100105,220000,19.6800000,19.7400000,19.6700000,19.7300000,1055402
MO,60,20100105,230000,19.7300000,19.7500000,19.7100000,19.7183000,1279201
MO,60,20100106,000000,19.7200000,19.7400000,19.7000000,19.7300000,788248
MO,60,20100106,010000,19.7400000,19.8100000,19.7100000,19.8100000,1648321
MO,60,20100106,020000,19.8100000,19.8100000,19.8000000,19.8000000,406165
MO,60,20100106,190000,19.8500000,19.8900000,19.8000000,19.8798000,541818
MO,60,20100106,200000,19.8775000,19.9900000,19.8600000,19.9900000,1186497
MO,60,20100106,210000,19.9900000,20.0000000,19.9000000,19.9000000,1777784
MO,60,20100106,220000,19.9060000,19.9500000,19.8700000,19.9300000,1941179
MO,60,20100106,230000,19.9383000,20.0000000,19.8900000,19.9898000,2112182
MO,60,20100107,000000,19.9800000,20.0900000,19.9800000,20.0700000,1827115
MO,60,20100107,010000,20.0600000,20.1100000,20.0400000,20.0796000,2901477
MO,60,20100107,020000,20.0700000,20.0900000,20.0700000,20.0900000,974095
MO,60,20100107,190000,20.1100000,20.1100000,19.9500000,20.0395000,477953
MO,60,20100107,200000,20.0300000,20.1400000,19.9700000,20.0083000,1337234
MO,60,20100107,210000,20.0100000,20.0722000,19.9500000,19.9900000,1772035
MO,60,20100107,220000,19.9850000,20.0100000,19.9500000,19.9800000,1031584
MO,60,20100107,230000,19.9889000,20.0400000,19.9800000,20.0300000,881721
MO,60,20100108,000000,20.0400000,20.1000000,20.0300000,20.0899000,1310216
