<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MRK,60,20100101,010000,36.8200000,36.8500000,36.5000000,36.5000000,1223736
MRK,60,20100101,020000,36.5000000,36.5400000,36.5000000,36.5400000,1292400
MRK,60,20100104,190000,36.8000000,37.0750000,36.5550000,36.9200000,398584
MRK,60,20100104,200000,36.9200000,37.2100000,36.8200000,37.1800000,1149177
MRK,60,20100104,210000,37.1800000,37.2500000,37.0300000,37.0400000,882779
MRK,60,20100104,220000,37.0300000,37.0400000,36.9400000,37.0000000,1007909
MRK,60,20100104,230000,37.0000000,37.0500000,36.9600000,37.0000000,1282391
MRK,60,20100105,000000,36.9900000,37.0500000,36.9800000,36.9990000,1297867
MRK,60,20100105,010000,36.9990000,37.1100000,36.9900000,37.0300000,1373981
MRK,60,20100105,020000,37.0300000,37.0300000,37.0200000,37.0200000,8311
MRK,60,20100105,190000,37.2400000,37.3500000,36.9400000,37.0000000,1074292
MRK,60,20100105,200000,36.9900000,37.3500000,36.9500000,37.3450000,980279
MRK,60,20100105,210000,37.3401000,37.4500000,37.1000000,37.2700000,1399130
MRK,60,20100105,220000,37.2700000,37.4000000,37.2300000,37.2975000,945542
MRK,60,20100105,230000,37.3000000,37.3300000,37.1600000,37.2800000,1021644
MRK,60,20100106,000000,37.2800000,37.3200000,37.1600000,37.1900000,1361429
MRK,60,20100106,010000,37.2000000,37.2300000,37.1300000,37.1700000,1335392
MRK,60,20100106,020000,37.1600000,37.1700000,37.1600000,37.1600000,559400
MRK,60,20100106,190000,37.0000000,37.1900000,36.9400000,37.0900000,443161
MRK,60,20100106,200000,37.0889000,37.1600000,36.9000000,37.0295000,673452
MRK,60,20100106,210000,37.0200000,37.1700000,36.9800000,37.0800000,917252
MRK,60,20100106,220000,37.0801000,37.2800000,37.0500000,37.2800000,955738
MRK,60,20100106,230000,37.2800000,37.4200000,37.2500000,37.3800000,1562813
MRK,60,20100107,000000,37.3900000,37.6700000,37.3000000,37.6200000,1811795
MRK,60,20100107,010000,37.6200000,37.7300000,37.5200000,37.6900000,1841126
MRK,60,20100107,020000,37.7000000,37.7000000,37.6600000,37.6600000,914700
MRK,60,20100107,190000,37.5200000,37.8900000,37.4000000,37.8000000,441838
MRK,60,20100107,200000,37.8099000,37.8969000,37.6600000,37.8700000,814863
MRK,60,20100107,210000,37.8850000,37.9000000,37.6600000,37.8100000,1038567
MRK,60,20100107,220000,37.8129000,37.8400000,37.6400000,37.6700000,1380141
MRK,60,20100107,230000,37.6800000,37.7380000,37.6250000,37.6600000,1064712
MRK,60,20100108,000000,37.6600000,37.7500000,37.6600000,37.7200000,1134693
MRK,60,20100108,010000,37.7250000,37.7300000,37.6300000,37.6900000,677446
MRK,60,20100108,020000,37.7000000,37.7200000,37.7000000,37.7200000,384400
MRK,60,20100108,190000,37.7300000,37.8900000,37.5600000,37.8450000,310077
MRK,60,20100108,200000,37.8300000,37.8800000,37.6300000,37.7400000,680292
MRK,60,20100108,210000,37.7400000,37.8200000,37.7100000,37.7500000,1093216
MRK,60,20100108,220000,37.7400000,37.7995000,37.6600000,37.7100000,1018104
MRK,60,20100108,230000,37.7101000,37.7850000,37.5800000,37.5900000,813675
MRK,60,20100109,000000,37.5900000,37.6900000,37.4300000,37.4700000,1082805
MRK,60,20100109,010000,37.4700000,37.7200000,37.4600000,37.6800000,1135736
MRK,60,20100109,020000,37.6900000,37.7000000,37.6900000,37.7000000,644705
MRK,60,20100111,190000,37.8100000,37.8100000,37.5000000,37.5900000,323094
MRK,60,20100111,200000,37.5995000,37.9200000,37.5995000,37.8600000,607365
MRK,60,20100111,210000,37.8600000,37.9200000,37.7200000,37.7829000,503370
MRK,60,20100111,220000,37.8000000,37.8200000,37.7200000,37.7900000,790604
MRK,60,20100111,230000,37.7900000,37.8366000,37.7500000,37.7699000,1019511
