<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MSFT,60,20100101,010000,30.7800000,30.8000000,30.5000000,30.5000000,4438292
MSFT,60,20100101,020000,30.5000000,30.5400000,30.4900000,30.5000000,37695
MSFT,60,20100104,190000,30.6700000,30.9700000,30.6200000,30.8950000,1526325
MSFT,60,20100104,200000,30.8900000,31.0000000,30.8800000,30.9630000,2012686
MSFT,60,20100104,210000,30.9600000,31.0700000,30.9500000,31.0400000,2574693
MSFT,60,20100104,220000,31.0440000,31.0800000,31.0100000,31.0200000,2417326
MSFT,60,20100104,230000,31.0200000,31.0400000,30.9500000,30.9525000,3049644
MSFT,60,20100105,000000,30.9525000,31.0850000,30.9500000,31.0750000,2763071
MSFT,60,20100105,010000,31.0730000,31.1000000,30.9300000,30.9400000,3951779
MSFT,60,20100105,020000,30.9500000,30.9500000,30.9400000,30.9400000,101353
MSFT,60,20100105,190000,30.9000000,31.0700000,30.8600000,30.9900000,2854466
MSFT,60,20100105,200000,30.9600000,31.1000000,30.9400000,31.0100000,2683229
MSFT,60,20100105,210000,31.0100000,31.0800000,30.9200000,30.9400000,3352903
MSFT,60,20100105,220000,30.9300000,30.9900000,30.7500000,30.8100000,5024041
MSFT,60,20100105,230000,30.8100000,30.8300000,30.6900000,30.7500000,3377374
MSFT,60,20100106,000000,30.7500000,30.9200000,30.6430000,30.9102000,3739387
MSFT,60,20100106,010000,30.9200000,31.0000000,30.8702000,30.9400000,3888932
MSFT,60,20100106,020000,30.9400000,30.9500000,30.9400000,30.9400000,40131
MSFT,60,20100106,190000,30.9700000,31.0800000,30.8800000,30.9975000,1736048
MSFT,60,20100106,200000,30.9900000,31.0400000,30.9200000,30.9575000,2921808
MSFT,60,20100106,210000,30.9600000,31.0000000,30.6800000,30.6800000,3388898
MSFT,60,20100106,220000,30.6800000,30.8611000,30.5275000,30.6200000,5558927
MSFT,60,20100106,230000,30.6200000,30.7100000,30.5300000,30.5302000,4617064
MSFT,60,20100107,000000,30.5400000,30.8300000,30.5375000,30.7500000,5351816
MSFT,60,20100107,010000,30.7600000,30.8000000,30.6500000,30.7799000,5676091
MSFT,60,20100107,020000,30.7700000,30.7800000,30.7500000,30.7700000,39889
MSFT,60,20100107,190000,30.6100000,30.7000000,30.4000000,30.4200000,1566984
MSFT,60,20100107,200000,30.4300000,30.5800000,30.4150000,30.4700000,2295037
MSFT,60,20100107,210000,30.4700000,30.5100000,30.1900000,30.2100000,4554209
MSFT,60,20100107,220000,30.2100000,30.3500000,30.1900000,30.2600000,4495546
MSFT,60,20100107,230000,30.2571000,30.4400000,30.2571000,30.3900000,4175483
MSFT,60,20100108,000000,30.3820000,30.4000000,30.2600000,30.3100000,4038797
MSFT,60,20100108,010000,30.3050000,30.4700000,30.2150000,30.4600000,4182542
MSFT,60,20100108,020000,30.4600000,30.4600000,30.4500000,30.4600000,170037
MSFT,60,20100108,190000,30.2800000,30.5500000,30.2500000,30.5250000,1701843
