<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PFE,60,20100101,010000,18.3350000,18.3500000,18.2000000,18.2000000,4208218
PFE,60,20100101,020000,18.2000000,18.2100000,18.1900000,18.1900000,4219987
PFE,60,20100104,190000,18.2400000,18.6100000,18.2400000,18.6099000,2082071
PFE,60,20100104,200000,18.6100000,18.7500000,18.5800000,18.6900000,2525701
PFE,60,20100104,210000,18.6900000,18.8125000,18.6450000,18.7595000,4455209
PFE,60,20100104,220000,18.7600000,18.8300000,18.7200000,18.8050000,5292451
PFE,60,20100104,230000,18.8100000,18.8200000,18.7400000,18.8200000,4272141
PFE,60,20100105,000000,18.8200000,18.8800000,18.7900000,18.8200000,5297691
PFE,60,20100105,010000,18.8200000,18.9400000,18.8100000,18.9300000,7687677
PFE,60,20100105,020000,18.9202000,18.9300000,18.9200000,18.9300000,2467429
PFE,60,20100105,190000,18.8600000,18.8900000,18.7600000,18.7650000,1634355
PFE,60,20100105,200000,18.7600000,18.8100000,18.7200000,18.7800000,2820077
PFE,60,20100105,210000,18.7799000,18.7800000,18.6400000,18.6414000,4144822
PFE,60,20100105,220000,18.6400000,18.7200000,18.5700000,18.6200000,3673116
PFE,60,20100105,230000,18.6200000,18.6300000,18.5500000,18.5900000,3260483
PFE,60,20100106,000000,18.6000000,18.6500000,18.5700000,18.5975000,3785792
PFE,60,20100106,010000,18.5900000,18.6700000,18.5800000,18.6500000,5619372
PFE,60,20100106,020000,18.6500000,18.6600000,18.6500000,18.6600000,1586827
PFE,60,20100106,190000,18.6800000,18.8000000,18.6600000,18.7000000,940018
PFE,60,20100106,200000,18.6900000,18.7500000,18.5500000,18.6400000,2055072
PFE,60,20100106,210000,18.6300000,18.7000000,18.5800000,18.6100000,2756577
PFE,60,20100106,220000,18.6100000,18.6300000,18.5500000,18.5700000,4862546
PFE,60,20100106,230000,18.5800000,18.6100000,18.5100000,18.5400000,4204379
PFE,60,20100107,000000,18.5400000,18.6000000,18.5100000,18.5998000,3167429
PFE,60,20100107,010000,18.5900000,18.6100000,18.5400000,18.5900000,4331381
PFE,60,20100107,020000,18.5900000,18.6000000,18.5900000,18.6000000,1541717
PFE,60,20100107,190000,18.5900000,18.6700000,18.5000000,18.5200000,944135
PFE,60,20100107,200000,18.5200000,18.6100000,18.4600000,18.5900000,2644371
PFE,60,20100107,210000,18.6000000,18.6100000,18.5000000,18.5400000,3398351
PFE,60,20100107,220000,18.5376000,18.5700000,18.5100000,18.5300000,2888265
PFE,60,20100107,230000,18.5300000,18.6100000,18.5200000,18.5800000,3379180
PFE,60,20100108,000000,18.5900000,18.6700000,18.5800000,18.6100000,3324217
PFE,60,20100108,010000,18.6125000,18.6200000,18.4900000,18.5000000,3758266
PFE,60,20100108,020000,18.5100000,18.5300000,18.5000000,18.5300000,1211100
PFE,60,20100108,190000,18.5700000,18.6600000,18.5200000,18.6425000,821855
PFE,60,20100108,200000,18.6500000,18.7000000,18.6200000,18.6800000,2895861
PFE,60,20100108,210000,18.6900000,18.7100000,18.6500000,18.6527000,2892919
PFE,60,20100108,220000,18.6500000,18.6700000,18.6000000,18.6000000,1763945
PFE,60,20100108,230000,18.6000000,18.6900000,18.5800000,18.5850000,2620012
PFE,60,20100109,000000,18.5800000,18.6100000,18.5600000,18.6100000,2911685
PFE,60,20100109,010000,18.6000000,18.6900000,18.5700000,18.6800000,2924914
PFE,60,20100109,020000,18.6700000,18.6800000,18.6700000,18.6800000,953535
PFE,60,20100111,190000,18.7900000,18.8000000,18.6700000,18.7996000,1012753
PFE,60,20100111,200000,18.8000000,18.8800000,18.7600000,18.8200000,1729144
PFE,60,20100111,210000,18.8200000,18.8700000,18.7500000,18.8500000,1764265
PFE,60,20100111,220000,18.8500000,18.9500000,18.8450000,18.9100000,3468472
PFE,60,20100111,230000,18.9100000,18.9300000,18.8600000,18.9100000,3474209
PFE,60,20100112,000000,18.9200000,18.9200000,18.8000000,18.8195000,3115160
PFE,60,20100112,010000,18.8100000,18.8600000,18.8000000,18.8400000,3076964
PFE,60,20100112,020000,18.8500000,18.8500000,18.8300000,18.8300000,2547179
PFE,60,20100112,190000,18.8200000,18.9500000,18.7900000,18.9300000,751306
PFE,60,20100112,200000,18.9300000,18.9800000,18.8200000,18.9700000,1045507
PFE,60,20100112,210000,18.9700000,18.9700000,18.8800000,18.9100000,3478733
PFE,60,20100112,220000,18.9090000,18.9200000,18.8200000,18.8500000,2182936
PFE,60,20100112,230000,18.8400000,18.8500000,18.6800000,18.7700000,4249377
PFE,60,20100113,000000,18.7700000,18.7700000,18.6600000,18.7600000,2328530
PFE,60,20100113,010000,18.7500000,18.7800000,18.6400000,18.7800000,3970817
PFE,60,20100113,020000,18.7800000,18.7800000,18.7700000,18.7700000,1661255
PFE,60,20100113,190000,18.8900000,18.9900000,18.8900000,18.9600000,1284714
PFE,60,20100113,200000,18.9600000,19.1200000,18.9200000,18.9900000,2665519
PFE,60,20100113,210000,18.9900000,19.1000000,18.9600000,19.0200000,2399262
PFE,60,20100113,220000,19.0200000,19.1600000,19.0200000,19.1100000,2478901
PFE,60,20100113,230000,19.1100000,19.1900000,19.1000000,19.1800000,3304370
PFE,60,20100114,000000,19.1800000,19.2900000,19.1500000,19.2400000,9634267
PFE,60,20100114,010000,19.2400000,19.3000000,19.2000000,19.2250000,7074789
PFE,60,20100114,020000,19.2300000,19.2300000,19.2100000,19.2100000,4823253
PFE,60,20100114,190000,19.2400000,19.3000000,19.1700000,19.2300000,1412209
PFE,60,20100114,200000,19.2400000,19.3200000,19.2000000,19.2425000,2683245
PFE,60,20100114,210000,19.2500000,19.4000000,19.2200000,19.2800000,3998481
PFE,60,20100114,220000,19.2800000,19.3401000,19.2600000,19.3400000,4168821
PFE,60,20100114,230000,19.3450000,19.4300000,19.3000000,19.4008000,2590417
PFE,60,20100115,000000,19.4095000,19.4600000,19.3600000,19.4200000,5012645
PFE,60,20100115,010000,19.4200000,19.5000000,19.4000000,19.4000000,5582984
PFE,60,20100115,020000,19.4500000,19.4500000,19.3800000,19.3800000,3659314
PFE,60,20100115,190000,19.3900000,19.6700000,19.3800000,19.5100000,2040962
PFE,60,20100115,200000,19.5100000,19.5100000,19.2600000,19.2900000,5955208
PFE,60,20100115,210000,19.3000000,19.3800000,19.2800000,19.3500000,3075462
PFE,60,20100115,220000,19.3500000,19.3600000,19.2600000,19.2900000,4991325
PFE,60,20100115,230000,19.2920000,19.3900000,19.2900000,19.3400000,4042866
PFE,60,20100116,000000,19.3400000,19.4400000,19.3400000,19.4200000,4412699
PFE,60,20100116,010000,19.4100000,19.5200000,19.3900000,19.4700000,4326640
PFE,60,20100116,020000,19.4700000,19.4900000,19.4700000,19.4900000,3762231
PFE,60,20100119,190000,19.5301000,20.0500000,19.5300000,19.9600000,2365752
PFE,60,20100119,200000,19.9700000,19.9700000,19.7300000,19.9070000,4815305
PFE,60,20100119,210000,19.9070000,19.9600000,19.8500000,19.9300000,4146991
PFE,60,20100119,220000,19.9300000,19.9500000,19.8800000,19.8850000,3366346
PFE,60,20100119,230000,19.8900000,19.9500000,19.8600000,19.9250000,7681789
PFE,60,20100120,000000,19.9300000,19.9700000,19.8800000,19.9400000,8788184
PFE,60,20100120,010000,19.9310000,20.0200000,19.8900000,20.0200000,11614473
PFE,60,20100120,020000,20.0000000,20.0100000,20.0000000,20.0000000,1520000
PFE,60,20100120,190000,20.0185000,20.3600000,20.0100000,20.0300000,2669312
PFE,60,20100120,200000,20.0300000,20.0425000,19.9000000,19.9000000,3928045
PFE,60,20100120,210000,19.9000000,19.9900000,19.8700000,19.9200000,4692096
PFE,60,20100120,220000,19.9200000,20.0100000,19.9000000,19.9300000,6631278
PFE,60,20100120,230000,19.9250000,20.0000000,19.9100000,19.9900000,4862263
PFE,60,20100121,000000,19.9900000,20.0900000,19.9850000,20.0000000,7206935
PFE,60,20100121,010000,20.0073000,20.0300000,19.9350000,19.9500000,5300624
PFE,60,20100121,020000,19.9400000,19.9500000,19.9400000,19.9400000,1043500
PFE,60,20100121,190000,20.0900000,20.1400000,19.7400000,19.7410000,1034286
PFE,60,20100121,200000,19.7500000,19.8000000,19.2800000,19.4090000,2375920
PFE,60,20100121,210000,19.4100000,19.4100000,19.2400000,19.3010000,2823352
PFE,60,20100121,220000,19.3100000,19.3700000,19.2400000,19.2690000,2496299
PFE,60,20100121,230000,19.2700000,19.3100000,19.2200000,19.2900000,2935821
PFE,60,20100122,000000,19.2900000,19.3700000,19.2500000,19.2801000,3463735
PFE,60,20100122,010000,19.2850000,19.2900000,19.1750000,19.2300000,5667422
PFE,60,20100122,020000,19.2200000,19.2400000,19.2100000,19.2400000,2156419
PFE,60,20100122,190000,19.2500000,19.3800000,19.2000000,19.3200000,1538514
PFE,60,20100122,200000,19.2900000,19.4500000,19.1300000,19.4400000,1355219
PFE,60,20100122,210000,19.4450000,19.4900000,19.3000000,19.3600000,2219353
PFE,60,20100122,220000,19.3600000,19.3700000,19.1600000,19.2273000,1928809
PFE,60,20100122,230000,19.2220000,19.2400000,19.1000000,19.1650000,2035922
PFE,60,20100123,000000,19.1700000,19.2100000,19.0600000,19.0900000,2339961
PFE,60,20100123,010000,19.0800000,19.1100000,18.9000000,18.9400000,3947879
PFE,60,20100123,020000,18.9400000,18.9600000,18.9400000,18.9600000,5769759
PFE,60,20100125,190000,19.2100000,19.2500000,19.0600000,19.1100000,738092
PFE,60,20100125,200000,19.1100000,19.1100000,18.8500000,18.9400000,2220396
PFE,60,20100125,210000,18.9400000,19.0800000,18.8717000,19.0300000,3678753
PFE,60,20100125,220000,19.0301000,19.0700000,18.9600000,19.0499000,2773368
PFE,60,20100125,230000,19.0500000,19.0800000,18.9500000,18.9550000,2193806
PFE,60,20100126,000000,18.9500000,19.0000000,18.9300000,18.9875000,3371178
