<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRV,60,20130304,090000,80.6000000,80.6200000,80.3000000,80.4500000,158464
TRV,60,20130304,100000,80.4700000,80.5200000,80.1700000,80.4700000,160289
TRV,60,20130304,110000,80.4700000,80.5100000,80.2500000,80.2500000,198652
TRV,60,20130304,120000,80.2700000,80.2900000,79.9900000,80.2100000,120416
TRV,60,20130304,130000,80.2200000,80.4900000,80.1999000,80.4300000,125766
TRV,60,20130304,140000,80.4300000,80.5800000,80.2900000,80.5290000,168579
TRV,60,20130304,150000,80.5290000,80.5600000,80.3650000,80.5200000,363806
TRV,60,20130304,160000,80.5300000,80.5400000,80.5100000,80.5200000,145635
TRV,60,20130305,090000,80.8600000,81.0200000,80.5625000,80.7300000,126814
TRV,60,20130305,100000,80.7500000,81.1600000,80.6900000,81.1300000,249413
TRV,60,20130305,110000,81.1400000,81.5200000,81.1200000,81.4500000,240267
TRV,60,20130305,120000,81.4500000,81.8000000,81.3550000,81.6600000,196351
TRV,60,20130305,130000,81.6700000,82.0000000,81.6500000,81.7900000,222823
TRV,60,20130305,140000,81.7900000,81.8500000,81.5400000,81.5900000,196343
TRV,60,20130305,150000,81.6000000,81.6789000,81.3800000,81.4200000,423459
TRV,60,20130305,160000,81.4300000,81.4800000,81.4300000,81.4600000,318052
TRV,60,20130306,090000,81.6300000,81.8800000,81.4600000,81.4805000,130100
TRV,60,20130306,100000,81.5000000,81.6100000,81.0100000,81.0500000,165405
TRV,60,20130306,110000,81.0300000,81.3000000,81.0200000,81.1500000,87529
TRV,60,20130306,120000,81.1400000,81.2368000,80.9200000,81.2100000,108029
TRV,60,20130306,130000,81.2100000,81.2400000,81.0000000,81.0300000,132644
TRV,60,20130306,140000,81.0200000,81.1900000,80.9500000,81.0600000,191694
TRV,60,20130306,150000,81.0700000,81.2050000,80.9000000,81.0700000,328381
TRV,60,20130306,160000,81.0700000,81.0700000,81.0600000,81.0700000,600
TRV,60,20130307,090000,81.1100000,81.2900000,80.9001000,81.1800000,85896
TRV,60,20130307,100000,81.1800000,81.3799000,81.1500000,81.2700000,212317
TRV,60,20130307,110000,81.2700000,81.4210000,81.2300000,81.4100000,132717
TRV,60,20130307,120000,81.4100000,81.4400000,81.3275000,81.3300000,85939
TRV,60,20130307,130000,81.3400000,81.3740000,81.1500000,81.2299000,81906
TRV,60,20130307,140000,81.2200000,81.2300000,81.0800000,81.1400000,94630
TRV,60,20130307,150000,81.1400000,81.3100000,81.1060000,81.2300000,247560
TRV,60,20130307,160000,81.2300000,81.2300000,81.2000000,81.2000000,135906
TRV,60,20130308,090000,81.7200000,82.0500000,81.4500000,81.6300000,151252
TRV,60,20130308,100000,81.6121000,81.6121000,81.2400000,81.3000000,178866
TRV,60,20130308,110000,81.2800000,81.4600000,81.2600000,81.3675000,118255
TRV,60,20130308,120000,81.3700000,81.4800000,81.3000000,81.4700000,96100
TRV,60,20130308,130000,81.4800000,81.5713000,81.4550000,81.4600000,117057
TRV,60,20130308,140000,81.4600000,81.5000000,81.4000000,81.4800000,134237
TRV,60,20130308,150000,81.4900000,81.6800000,81.4600000,81.6400000,412113
TRV,60,20130308,160000,81.6300000,81.6500000,81.6300000,81.6500000,150695
TRV,60,20130311,090000,81.6400000,81.6400000,81.2500000,81.4300000,86056
TRV,60,20130311,100000,81.4350000,81.5100000,81.1800000,81.4600000,231958
TRV,60,20130311,110000,81.4400000,81.7400000,81.4300000,81.7200000,158776
