<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
T,60,20100101,010000,28.2599000,28.2700000,28.0400000,28.0400000,2638841
T,60,20100101,020000,28.0400000,28.0400000,28.0300000,28.0300000,2957692
T,60,20100104,190000,28.3499000,28.4700000,28.3100000,28.3100000,964369
T,60,20100104,200000,28.3200000,28.3975000,28.2800000,28.3000000,2125334
T,60,20100104,210000,28.3000000,28.3900000,28.2900000,28.3400000,2358088
T,60,20100104,220000,28.3400000,28.4500000,28.3400000,28.4500000,2551979
T,60,20100104,230000,28.4500000,28.5100000,28.4200000,28.4900000,2876364
T,60,20100105,000000,28.4915000,28.5400000,28.4900000,28.5400000,2994830
T,60,20100105,010000,28.5400000,28.6100000,28.5300000,28.5900000,4175850
T,60,20100105,020000,28.5900000,28.5900000,28.5800000,28.5800000,1357464
T,60,20100105,190000,28.7100000,28.7200000,28.4200000,28.4200000,1892853
T,60,20100105,200000,28.4200000,28.5700000,28.3520000,28.5675000,1972052
T,60,20100105,210000,28.5698000,28.5800000,28.4000000,28.4950000,1964243
T,60,20100105,220000,28.5000000,28.5500000,28.4900000,28.5098000,1847318
T,60,20100105,230000,28.5100000,28.5700000,28.5000000,28.5100000,3775928
T,60,20100106,000000,28.5099000,28.5100000,28.3500000,28.3600000,3487304
T,60,20100106,010000,28.3601000,28.4700000,28.3600000,28.4200000,3799291
T,60,20100106,020000,28.4200000,28.4400000,28.4200000,28.4400000,949011
T,60,20100106,190000,28.0100000,28.0200000,27.7300000,27.8700000,1598998
T,60,20100106,200000,27.8650000,27.9380000,27.7800000,27.8700000,1973848
T,60,20100106,210000,27.8700000,27.9000000,27.7500000,27.7600000,2235517
T,60,20100106,220000,27.7700000,27.8500000,27.6405000,27.7500000,4469641
T,60,20100106,230000,27.7600000,27.8200000,27.6200000,27.6890000,3897409
T,60,20100107,000000,27.6900000,27.7400000,27.6300000,27.6500000,3009451
T,60,20100107,010000,27.6550000,27.7000000,27.5500000,27.6200000,4076621
T,60,20100107,020000,27.6100000,27.6200000,27.6100000,27.6100000,1602719
T,60,20100107,190000,27.6500000,27.6500000,27.3100000,27.3100000,781741
T,60,20100107,200000,27.3200000,27.4200000,27.2900000,27.4000000,1905174
T,60,20100107,210000,27.4000000,27.5200000,27.4000000,27.4478000,2909551
T,60,20100107,220000,27.4478000,27.4800000,27.4000000,27.4100000,2015181
T,60,20100107,230000,27.4200000,27.4300000,27.3250000,27.3530000,2547366
T,60,20100108,000000,27.3500000,27.3801000,27.3000000,27.3100000,2907800
T,60,20100108,010000,27.3100000,27.3300000,27.1200000,27.2900000,4515658
T,60,20100108,020000,27.2900000,27.3000000,27.2800000,27.3000000,1068626
T,60,20100108,190000,27.2700000,27.3900000,27.0500000,27.1399000,694877
T,60,20100108,200000,27.1300000,27.1500000,26.9500000,27.0100000,2217995
T,60,20100108,210000,27.0100000,27.0300000,26.8800000,26.9400000,2662757
T,60,20100108,220000,26.9400000,26.9700000,26.9000000,26.9000000,2243142
T,60,20100108,230000,26.9050000,27.0600000,26.8800000,27.0300000,2224789
T,60,20100109,000000,27.0300000,27.0500000,26.9700000,27.0100000,2256577
T,60,20100109,010000,27.0100000,27.1200000,26.9900000,27.0799000,3172445
T,60,20100109,020000,27.0800000,27.1000000,27.0800000,27.1000000,876084
T,60,20100111,190000,27.1501000,27.1600000,26.9500000,27.0400000,820800
T,60,20100111,200000,27.0500000,27.0700000,26.9200000,26.9680000,1309448
T,60,20100111,210000,26.9600000,27.1400000,26.9600000,27.0700000,1417702
T,60,20100111,220000,27.0690000,27.0900000,26.9600000,26.9895000,1603823
T,60,20100111,230000,26.9800000,27.0000000,26.8500000,26.8886000,3391265
T,60,20100112,000000,26.8800000,26.9700000,26.8800000,26.9500000,2460471
T,60,20100112,010000,26.9500000,27.0000000,26.9300000,26.9700000,3130667
T,60,20100112,020000,26.9701000,26.9701000,26.9700000,26.9700000,2357932
T,60,20100112,190000,26.8100000,26.9900000,26.7900000,26.9700000,717179
T,60,20100112,200000,26.9700000,27.1100000,26.9600000,27.0900000,1381734
T,60,20100112,210000,27.0800000,27.1100000,26.9900000,27.0400000,1787395
T,60,20100112,220000,27.0400000,27.0500000,26.8800000,26.9001000,1224454
T,60,20100112,230000,26.9100000,27.0000000,26.8970000,26.9520000,1571957
