<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.GOOG,60,20100101,010000,622.1100000,622.5600000,620.2101000,620.2300000,147925
US2.GOOG,60,20100101,020000,620.2500000,620.2500000,619.9800000,619.9800000,69851
US2.GOOG,60,20100104,190000,627.5000000,629.2800000,626.4750000,627.6900000,94141
US2.GOOG,60,20100104,200000,627.6450000,628.2500000,625.1900000,626.7700000,112560
US2.GOOG,60,20100104,210000,626.5500000,627.3500000,624.2400000,624.8100000,201842
US2.GOOG,60,20100104,220000,624.8900000,625.9900000,624.8900000,625.3800000,113010
US2.GOOG,60,20100104,230000,625.4715000,625.9200000,624.9000000,625.1500000,97755
US2.GOOG,60,20100105,000000,625.1700000,626.0100000,624.8600000,625.4887000,132843
US2.GOOG,60,20100105,010000,625.4800000,626.8100000,625.2300000,626.4800000,171876
US2.GOOG,60,20100105,020000,626.5700000,626.7500000,626.4900000,626.7500000,192951
US2.GOOG,60,20100105,190000,627.0000000,627.2300000,623.4400000,623.7400000,95207
US2.GOOG,60,20100105,200000,623.5100000,626.9400000,622.5264000,626.8000000,152389
US2.GOOG,60,20100105,210000,626.7300000,626.9900000,623.4800000,624.5400000,176508
US2.GOOG,60,20100105,220000,624.5000000,627.4000000,624.1300000,626.7200000,907365
US2.GOOG,60,20100105,230000,626.6700000,627.4800000,623.6300000,624.7399000,267371
US2.GOOG,60,20100106,000000,624.6700000,625.3100000,622.2300000,622.2300000,256799
US2.GOOG,60,20100106,010000,622.2500000,624.0000000,621.5400000,623.7619000,226681
US2.GOOG,60,20100106,020000,623.6800000,624.0000000,623.6800000,623.9900000,89850
US2.GOOG,60,20100106,190000,625.4200000,625.4900000,617.4600000,617.6800000,198252
US2.GOOG,60,20100106,200000,618.1800000,619.8700000,610.5000000,614.3020000,500025
US2.GOOG,60,20100106,210000,614.2700000,614.4500000,610.7900000,611.1800000,243221
US2.GOOG,60,20100106,220000,611.3700000,611.8500000,608.2000000,609.9799000,377267
US2.GOOG,60,20100106,230000,609.9717000,611.0000000,606.3600000,608.0400000,305627
US2.GOOG,60,20100107,000000,608.0700000,611.3900000,607.6001000,609.5000000,242434
US2.GOOG,60,20100107,010000,609.4800000,609.6000000,606.8501000,607.4900000,371502
US2.GOOG,60,20100107,020000,607.4200000,608.2800000,607.4200000,608.2600000,2060
US2.GOOG,60,20100107,190000,609.0100000,609.7400000,601.3101000,601.9200000,286974
US2.GOOG,60,20100107,200000,602.1220000,607.3900000,600.6700000,604.0700000,482188
US2.GOOG,60,20100107,210000,604.2900000,604.9320000,601.5000000,603.0000000,250537
US2.GOOG,60,20100107,220000,602.9100000,602.9100000,598.8700000,599.0000000,493765
US2.GOOG,60,20100107,230000,599.0100000,599.3000000,594.0450000,594.6500000,888928
US2.GOOG,60,20100108,000000,594.7300000,596.4000000,592.6500000,595.5200000,818538
US2.GOOG,60,20100108,010000,595.4200000,595.5200000,592.7000000,593.6200000,591250
US2.GOOG,60,20100108,020000,593.6900000,594.0000000,593.5800000,594.0000000,4807
US2.GOOG,60,20100108,190000,591.9001000,595.1193000,589.1800000,595.0000000,315986
US2.GOOG,60,20100108,200000,595.1200000,600.4800000,594.5800000,599.4400000,456999
US2.GOOG,60,20100108,210000,599.6600000,603.2500000,598.0000000,599.4100000,620651
US2.GOOG,60,20100108,220000,599.3200000,600.5300000,597.8600000,600.4100000,283652
US2.GOOG,60,20100108,230000,600.3800000,602.0000000,599.6900000,601.8399000,286397
US2.GOOG,60,20100109,000000,601.7850000,602.2500000,601.1201000,601.8500000,297138
US2.GOOG,60,20100109,010000,601.8500000,602.4200000,600.3500000,602.1400000,380697
US2.GOOG,60,20100109,020000,602.0500000,602.1599000,602.0400000,602.0640000,1336
US2.GOOG,60,20100111,190000,603.7500000,603.7600000,595.6300000,595.6400000,184004
US2.GOOG,60,20100111,200000,595.6700000,598.2000000,594.0400000,596.9900000,219223
US2.GOOG,60,20100111,210000,597.0700000,598.0700000,595.0305000,597.5600000,150590
US2.GOOG,60,20100111,220000,597.5750000,598.0500000,594.6210000,595.4400000,201848
US2.GOOG,60,20100111,230000,595.5400000,596.0670000,594.8900000,595.4200000,182845
US2.GOOG,60,20100112,000000,595.5100000,596.0401000,594.6000000,594.6650000,218899
US2.GOOG,60,20100112,010000,594.6300000,602.0000000,594.1600000,601.0100000,1690839
US2.GOOG,60,20100112,020000,601.0000000,601.1000000,600.9700000,601.0100000,11097
US2.GOOG,60,20100112,190000,597.6600000,597.6600000,592.5100000,594.8000000,183925
US2.GOOG,60,20100112,200000,594.6100000,595.6299000,593.1600000,593.6900000,138265
US2.GOOG,60,20100112,210000,593.7800000,595.2100000,592.8500000,592.9100000,226676
US2.GOOG,60,20100112,220000,592.9000000,592.9000000,588.5200000,589.8395000,423030
US2.GOOG,60,20100112,230000,589.8800000,590.5000000,588.0880000,590.2800000,232155
US2.GOOG,60,20100113,000000,590.3300000,590.3500000,588.0100000,589.9200000,259008
US2.GOOG,60,20100113,010000,589.7200000,590.0000000,588.3000000,589.9000000,364177
US2.GOOG,60,20100113,020000,589.9000000,590.0000000,589.8400000,589.8400000,1500
US2.GOOG,60,20100113,190000,575.8400000,583.8800000,574.0100000,581.7900000,497953
US2.GOOG,60,20100113,200000,582.0000000,586.0000000,577.4300000,583.7100000,447795
US2.GOOG,60,20100113,210000,583.6100000,583.7200000,579.8100000,581.5700000,321668
US2.GOOG,60,20100113,220000,581.6400000,583.2200000,581.0600000,582.6700000,282765
US2.GOOG,60,20100113,230000,582.6100000,585.6400000,582.5300000,584.5000000,451770
US2.GOOG,60,20100114,000000,584.5900000,586.5000000,583.1000000,584.8000000,479055
US2.GOOG,60,20100114,010000,584.8200000,588.3500000,583.7200000,587.0500000,541347
US2.GOOG,60,20100114,020000,587.0400000,587.1000000,587.0020000,587.0900000,112667
US2.GOOG,60,20100114,190000,584.1400000,592.4000000,582.8100000,591.1500000,313181
US2.GOOG,60,20100114,200000,591.1100000,591.9500000,587.1600000,587.5000000,301290
US2.GOOG,60,20100114,210000,587.5600000,589.5900000,587.1500000,589.0600000,320482
US2.GOOG,60,20100114,220000,589.1000000,591.0000000,588.4100000,589.9500000,301933
US2.GOOG,60,20100114,230000,589.9499000,591.2895000,589.4500000,591.1700000,263386
US2.GOOG,60,20100115,000000,591.1600000,594.2000000,591.0000000,592.6200000,661660
US2.GOOG,60,20100115,010000,592.4808000,593.7199000,590.0000000,590.3100000,338349
US2.GOOG,60,20100115,020000,590.0700000,590.2100000,590.0000000,590.0500000,2293
US2.GOOG,60,20100115,190000,592.4400000,593.3120000,588.4100000,590.3000000,129178
US2.GOOG,60,20100115,200000,590.5000000,590.5000000,585.4700000,587.2100000,181472
US2.GOOG,60,20100115,210000,587.1500000,587.4000000,584.9400000,585.0900000,194159
US2.GOOG,60,20100115,220000,585.1400000,585.2593000,578.1100000,580.3000000,570141
US2.GOOG,60,20100115,230000,580.1800000,581.4900000,578.1500000,580.7799000,462440
US2.GOOG,60,20100116,000000,580.7800000,584.3700000,580.5300000,583.4700000,606881
US2.GOOG,60,20100116,010000,583.4400000,584.7800000,580.4700000,580.7700000,586449
US2.GOOG,60,20100116,020000,580.8461000,580.9000000,580.4400000,580.4400000,3330
US2.GOOG,60,20100119,190000,581.0000000,584.9700000,576.2900000,578.3701000,157780
US2.GOOG,60,20100119,200000,578.5800000,582.8000000,578.3700000,582.3475000,156547
US2.GOOG,60,20100119,210000,582.2833000,589.5000000,582.1900000,586.3400000,403632
US2.GOOG,60,20100119,220000,586.3400000,587.9500000,585.1900000,587.5500000,193008
US2.GOOG,60,20100119,230000,587.4500000,590.2600000,586.2400000,589.0200000,299302
US2.GOOG,60,20100120,000000,589.2200000,590.2300000,588.1900000,590.0000000,227928
US2.GOOG,60,20100120,010000,589.9900000,590.4200000,587.5800000,588.8000000,333455
US2.GOOG,60,20100120,020000,588.7500000,588.7600000,587.6200000,587.6200000,568358
US2.GOOG,60,20100120,190000,584.0000000,584.2550000,578.9880000,580.2930000,109138
US2.GOOG,60,20100120,200000,580.2000000,580.6500000,576.1100000,576.6800000,131168
US2.GOOG,60,20100120,210000,576.6800000,578.1200000,575.2900000,577.8899000,139075
US2.GOOG,60,20100120,220000,577.6900000,578.9000000,576.7700000,577.1300000,185034
US2.GOOG,60,20100120,230000,577.1500000,579.3300000,576.0640000,578.6500000,249403
US2.GOOG,60,20100121,000000,578.5100000,579.3000000,576.9000000,577.5400000,220295
US2.GOOG,60,20100121,010000,577.5600000,580.4299000,577.2500000,579.8800000,328690
US2.GOOG,60,20100121,020000,579.7800000,580.4100000,579.7400000,580.4100000,100351
US2.GOOG,60,20100121,190000,583.5300000,586.8185000,580.3100000,583.5500000,107403
US2.GOOG,60,20100121,200000,583.8300000,586.5470000,576.3215000,578.1600000,121213
US2.GOOG,60,20100121,210000,577.4000000,578.5300000,574.6501000,575.4300000,87816
US2.GOOG,60,20100121,220000,575.6299000,577.9100000,573.2100000,573.8400000,177722
US2.GOOG,60,20100121,230000,573.6600000,578.3999000,572.2510000,577.9000000,308388
US2.GOOG,60,20100122,000000,577.8000000,579.6800000,575.6100000,578.5500000,267091
US2.GOOG,60,20100122,010000,578.5300000,585.2500000,576.8000000,582.2500000,530970
US2.GOOG,60,20100122,020000,582.4900000,582.6000000,582.2100000,582.3540000,2510
US2.GOOG,60,20100122,190000,564.2400000,570.6000000,559.6100000,563.5000000,226982
US2.GOOG,60,20100122,200000,563.4300000,564.0900000,557.1200000,561.4000000,202867
US2.GOOG,60,20100122,210000,561.3480000,565.2500000,560.7000000,562.1900000,237205
