<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UTX,60,20100101,010000,69.9800000,70.0200000,69.3500000,69.3500000,354719
UTX,60,20100101,020000,69.3500000,69.4100000,69.3400000,69.4100000,449500
UTX,60,20100104,190000,70.0300000,70.7000000,69.8700000,70.6800000,171606
UTX,60,20100104,200000,70.6936000,71.1900000,70.6700000,71.1500000,451454
UTX,60,20100104,210000,71.1700000,71.4400000,71.1600000,71.3200000,475169
UTX,60,20100104,220000,71.3200000,71.5000000,71.2900000,71.4800000,467818
UTX,60,20100104,230000,71.4700000,71.7100000,71.4600000,71.6900000,645178
UTX,60,20100105,000000,71.6900000,71.8500000,71.6100000,71.7500000,589132
UTX,60,20100105,010000,71.7300000,71.8300000,71.5700000,71.6300000,899688
UTX,60,20100105,020000,71.6500000,71.6500000,71.6300000,71.6300000,275400
UTX,60,20100105,190000,71.4500000,71.5000000,70.6700000,70.7000000,152860
UTX,60,20100105,200000,70.7100000,71.3100000,70.6700000,70.9610000,348013
UTX,60,20100105,210000,70.9700000,70.9700000,70.4500000,70.5500000,428507
UTX,60,20100105,220000,70.5600000,70.7700000,70.5400000,70.5850000,359798
UTX,60,20100105,230000,70.5800000,70.7100000,70.4500000,70.6800000,337937
UTX,60,20100106,000000,70.6873000,70.6900000,70.2800000,70.3550000,432947
UTX,60,20100106,010000,70.3501000,70.6200000,70.3400000,70.5100000,500977
UTX,60,20100106,020000,70.5200000,70.5600000,70.5100000,70.5600000,212300
UTX,60,20100106,190000,70.5000000,70.8300000,70.2300000,70.5800000,105737
UTX,60,20100106,200000,70.5700000,70.6200000,70.1500000,70.3880000,282085
UTX,60,20100106,210000,70.3800000,70.4400000,70.1800000,70.2410000,268230
UTX,60,20100106,220000,70.2600000,70.3900000,70.1600000,70.2500000,332149
UTX,60,20100106,230000,70.2500000,70.2600000,70.0600000,70.1300000,354979
UTX,60,20100107,000000,70.1300000,70.2490000,70.0600000,70.2200000,431264
UTX,60,20100107,010000,70.2300000,70.2600000,70.0300000,70.2600000,660263
UTX,60,20100107,020000,70.2600000,70.2600000,70.1900000,70.1900000,220500
UTX,60,20100107,190000,69.9600000,70.3500000,69.5900000,69.5900000,136509
UTX,60,20100107,200000,69.6000000,70.3000000,69.6000000,70.1800000,238419
UTX,60,20100107,210000,70.1900000,70.4200000,70.1600000,70.4046000,301198
UTX,60,20100107,220000,70.4000000,70.4600000,70.2200000,70.2700000,277296
UTX,60,20100107,230000,70.2800000,70.4400000,70.1900000,70.4200000,444535
UTX,60,20100108,000000,70.4200000,70.6200000,70.3500000,70.5400000,518497
UTX,60,20100108,010000,70.5489000,70.6000000,70.3600000,70.4998000,398056
UTX,60,20100108,020000,70.5200000,70.5200000,70.4900000,70.4900000,151800
UTX,60,20100108,190000,70.4000000,70.6700000,70.2700000,70.4800000,120094
UTX,60,20100108,200000,70.4800000,70.4900000,70.2500000,70.3500000,249530
UTX,60,20100108,210000,70.3400000,70.5600000,70.2800000,70.3900000,282993
UTX,60,20100108,220000,70.4000000,70.5000000,70.3000000,70.3975000,405049
UTX,60,20100108,230000,70.4000000,70.4700000,70.3750000,70.3900000,337003
UTX,60,20100109,000000,70.3900000,70.4800000,70.3300000,70.3500000,510009
UTX,60,20100109,010000,70.3475000,70.7000000,70.3400000,70.6100000,648523
UTX,60,20100109,020000,70.6100000,70.6300000,70.6100000,70.6300000,196800
UTX,60,20100111,190000,70.9300000,71.4100000,70.7800000,71.3800000,149178
UTX,60,20100111,200000,71.3800000,71.8000000,71.2200000,71.6900000,299972
