<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VZ,60,20100101,010000,33.3000000,33.3200000,33.1500000,33.1500000,1172512
VZ,60,20100101,020000,33.1500000,33.1600000,33.1300000,33.1300000,1188186
VZ,60,20100104,190000,33.3800000,33.4100000,33.2500000,33.2998000,454878
VZ,60,20100104,200000,33.2998000,33.3400000,33.1200000,33.1400000,1509526
VZ,60,20100104,210000,33.1400000,33.1900000,33.0900000,33.1500000,1647617
VZ,60,20100104,220000,33.1600000,33.2500000,33.1500000,33.2400000,1171505
VZ,60,20100104,230000,33.2400000,33.3000000,33.2000000,33.2250000,956944
VZ,60,20100105,000000,33.2300000,33.3300000,33.2100000,33.2900000,1650100
VZ,60,20100105,010000,33.2900000,33.3000000,33.2100000,33.2700000,1464217
VZ,60,20100105,020000,33.2800000,33.2800000,33.2700000,33.2800000,719623
VZ,60,20100105,190000,33.3500000,33.3500000,32.8700000,32.9300000,1115382
VZ,60,20100105,200000,32.9300000,33.0500000,32.7800000,33.0490000,1611446
VZ,60,20100105,210000,33.0500000,33.1400000,32.9500000,33.1400000,1260227
VZ,60,20100105,220000,33.1400000,33.2202000,33.1399000,33.2100000,1628702
VZ,60,20100105,230000,33.2000000,33.4000000,33.1900000,33.2900000,2107512
VZ,60,20100106,000000,33.2900000,33.3400000,33.2000000,33.2300000,2132610
VZ,60,20100106,010000,33.2400000,33.3300000,33.2300000,33.3200000,2218596
VZ,60,20100106,020000,33.3200000,33.3400000,33.3200000,33.3400000,460900
VZ,60,20100106,190000,32.6700000,32.7400000,32.3900000,32.4000000,970320
VZ,60,20100106,200000,32.3999000,32.6200000,32.3999000,32.6000000,1364012
VZ,60,20100106,210000,32.5950000,32.7000000,32.5900000,32.6279000,1598293
VZ,60,20100106,220000,32.6200000,32.6600000,32.1300000,32.3000000,6058931
VZ,60,20100106,230000,32.3090000,32.3800000,32.0300000,32.0622000,4119849
VZ,60,20100107,000000,32.0698000,32.1000000,31.9200000,32.0000000,3145952
VZ,60,20100107,010000,32.0100000,32.0500000,31.8000000,31.9200000,4261307
VZ,60,20100107,020000,31.9100000,31.9200000,31.9100000,31.9200000,1094800
VZ,60,20100107,190000,32.0400000,32.0900000,31.5300000,31.5800000,1168079
VZ,60,20100107,200000,31.5761000,31.9000000,31.5700000,31.7685000,2285074
VZ,60,20100107,210000,31.7700000,31.9300000,31.7700000,31.7920000,2068112
VZ,60,20100107,220000,31.7910000,31.8200000,31.6900000,31.7899000,1643485
VZ,60,20100107,230000,31.7800000,31.8000000,31.7100000,31.7400000,1381736
VZ,60,20100108,000000,31.7300000,31.7900000,31.6600000,31.6600000,1808222
VZ,60,20100108,010000,31.6600000,31.7300000,31.6200000,31.7300000,2164041
VZ,60,20100108,020000,31.7300000,31.7300000,31.7200000,31.7300000,981300
VZ,60,20100108,190000,31.7000000,31.7300000,31.5200000,31.6290000,826348
VZ,60,20100108,200000,31.6400000,31.6400000,31.4200000,31.6378000,2124295
VZ,60,20100108,210000,31.6396000,31.6600000,31.4700000,31.5176000,1951517
VZ,60,20100108,220000,31.5125000,31.6800000,31.5100000,31.5900000,2354466
VZ,60,20100108,230000,31.5894000,31.6800000,31.5600000,31.6500000,1043908
VZ,60,20100109,000000,31.6500000,31.7200000,31.5700000,31.6300000,1390043
VZ,60,20100109,010000,31.6300000,31.7600000,31.5800000,31.7500000,2319060
VZ,60,20100109,020000,31.7500000,31.7500000,31.7500000,31.7500000,393344
VZ,60,20100111,190000,31.9300000,31.9400000,31.5200000,31.5200000,541175
VZ,60,20100111,200000,31.5100000,31.6900000,31.4200000,31.6800000,1433791
VZ,60,20100111,210000,31.6800000,31.8500000,31.6500000,31.7600000,1279648
VZ,60,20100111,220000,31.7699000,31.8500000,31.6900000,31.7800000,1597808
VZ,60,20100111,230000,31.7880000,31.8300000,31.7400000,31.8100000,2414584
VZ,60,20100112,000000,31.8100000,31.9000000,31.7500000,31.8900000,2335402
VZ,60,20100112,010000,31.8800000,31.9400000,31.8300000,31.9000000,2613622
VZ,60,20100112,020000,31.9100000,31.9100000,31.8800000,31.8800000,1904700
VZ,60,20100112,030000,31.8800000,31.8800000,31.8800000,31.8800000,951900
VZ,60,20100112,190000,31.7000000,31.8800000,31.7000000,31.8001000,349201
VZ,60,20100112,200000,31.8100000,31.9200000,31.7500000,31.8400000,484179
VZ,60,20100112,210000,31.8401000,31.8900000,31.8000000,31.8500000,549986
VZ,60,20100112,220000,31.8520000,31.8600000,31.7090000,31.7600000,825939
VZ,60,20100112,230000,31.7685000,31.8300000,31.7300000,31.7700000,545437
VZ,60,20100113,000000,31.7600000,31.8200000,31.7500000,31.8000000,1121675
VZ,60,20100113,010000,31.7900000,31.9200000,31.7600000,31.9100000,1570709
VZ,60,20100113,020000,31.9000000,31.9100000,31.9000000,31.9100000,1507108
VZ,60,20100113,190000,32.0000000,32.0300000,31.7500000,31.8000000,729099
VZ,60,20100113,200000,31.8100000,31.9100000,31.7500000,31.7500000,950348
VZ,60,20100113,210000,31.7511000,31.7900000,31.7000000,31.7000000,1251696
VZ,60,20100113,220000,31.7075000,31.8700000,31.7000000,31.7650000,959722
VZ,60,20100113,230000,31.7600000,31.7900000,31.6600000,31.6800000,1193514
VZ,60,20100114,000000,31.6900000,31.8200000,31.6800000,31.8170000,850833
VZ,60,20100114,010000,31.8200000,31.9350000,31.8000000,31.8500000,1709024
VZ,60,20100114,020000,31.8500000,31.8700000,31.8500000,31.8700000,695000
VZ,60,20100114,190000,31.8000000,31.8500000,31.6500000,31.7029000,284706
VZ,60,20100114,200000,31.7075000,31.7380000,31.5400000,31.5490000,673653
VZ,60,20100114,210000,31.5400000,31.5800000,31.4500000,31.5670000,2036071
VZ,60,20100114,220000,31.5600000,31.7300000,31.5600000,31.6000000,1200480
VZ,60,20100114,230000,31.6004000,31.6700000,31.5500000,31.6000000,1414375
VZ,60,20100115,000000,31.6076000,31.6100000,31.2900000,31.3300000,3908923
VZ,60,20100115,010000,31.3280000,31.4600000,31.2000000,31.2500000,3721957
VZ,60,20100115,020000,31.2500000,31.2500000,31.2200000,31.2200000,671104
VZ,60,20100115,190000,31.3100000,31.3100000,30.6695000,30.7600000,1525110
VZ,60,20100115,200000,30.7500000,30.8600000,30.7100000,30.7400000,1828566
VZ,60,20100115,210000,30.7400000,30.9500000,30.5900000,30.6300000,3455936
VZ,60,20100115,220000,30.6300000,30.7800000,30.4700000,30.5750000,2994166
VZ,60,20100115,230000,30.5799000,30.7500000,30.5600000,30.6100000,3864426
VZ,60,20100116,000000,30.6100000,30.6300000,30.4500000,30.4800000,3561895
VZ,60,20100116,010000,30.4800000,30.6200000,30.4800000,30.5800000,3964973
VZ,60,20100116,020000,30.5798000,30.5800000,30.5798000,30.5800000,1426164
VZ,60,20100119,190000,30.7200000,31.0800000,30.6500000,30.9900000,625773
VZ,60,20100119,200000,30.9900000,31.2000000,30.9800000,31.1400000,1535939
VZ,60,20100119,210000,31.1300000,31.1400000,31.0050000,31.0380000,2385283
VZ,60,20100119,220000,31.0400000,31.2500000,31.0200000,31.2300000,1250410
VZ,60,20100119,230000,31.2365000,31.2500000,31.1500000,31.2500000,1313220
VZ,60,20100120,000000,31.2485000,31.3200000,31.2450000,31.2800000,1597412
VZ,60,20100120,010000,31.2800000,31.3100000,31.1700000,31.2200000,2482400
VZ,60,20100120,020000,31.2200000,31.2300000,31.2100000,31.2300000,604276
VZ,60,20100120,190000,31.0800000,31.3300000,31.0200000,31.1900000,901293
VZ,60,20100120,200000,31.1600000,31.2100000,30.8500000,30.9000000,704866
VZ,60,20100120,210000,30.8900000,30.9000000,30.6800000,30.7375000,1760413
VZ,60,20100120,220000,30.7300000,30.8700000,30.6900000,30.7300000,1898654
VZ,60,20100120,230000,30.7300000,30.7500000,30.6000000,30.6700000,2461161
VZ,60,20100121,000000,30.6600000,30.7600000,30.6400000,30.6900000,2039099
VZ,60,20100121,010000,30.7000000,30.7900000,30.6100000,30.7390000,3167917
VZ,60,20100121,020000,30.7300000,30.7400000,30.7100000,30.7100000,582315
VZ,60,20100121,190000,30.8500000,30.9300000,30.7350000,30.7567000,255984
VZ,60,20100121,200000,30.7400000,30.8600000,30.4500000,30.5600000,607243
VZ,60,20100121,210000,30.5600000,30.5609000,30.2700000,30.3600000,646409
VZ,60,20100121,220000,30.3534000,30.4800000,30.3500000,30.4189000,662518
VZ,60,20100121,230000,30.4395000,30.5900000,30.3900000,30.5800000,913822
VZ,60,20100122,000000,30.5870000,30.6000000,30.4500000,30.4665000,695481
VZ,60,20100122,010000,30.4680000,30.6500000,30.3900000,30.6200000,1732842
VZ,60,20100122,020000,30.6300000,30.6300000,30.6200000,30.6300000,1413028
VZ,60,20100122,190000,30.5100000,30.7584000,30.4800000,30.6600000,382840
VZ,60,20100122,200000,30.6499000,30.8700000,30.5300000,30.8604000,588848
VZ,60,20100122,210000,30.8600000,30.9100000,30.7100000,30.8150000,1020691
VZ,60,20100122,220000,30.8200000,30.8500000,30.7300000,30.7300000,1545156
VZ,60,20100122,230000,30.7300000,30.7696000,30.6200000,30.7180000,1589619
VZ,60,20100123,000000,30.7200000,30.7500000,30.5400000,30.6200000,896719
VZ,60,20100123,010000,30.6220000,30.6220000,30.3000000,30.3599000,1248153
VZ,60,20100123,020000,30.3500000,30.3500000,30.3400000,30.3400000,863000
VZ,60,20100125,190000,30.9700000,30.9900000,30.3700000,30.4500000,461160
VZ,60,20100125,200000,30.4530000,30.6400000,30.2700000,30.5600000,664984
VZ,60,20100125,210000,30.5685000,30.7400000,30.4200000,30.6895000,943759
VZ,60,20100125,220000,30.6800000,30.8300000,30.6500000,30.7395000,1721488
VZ,60,20100125,230000,30.7399000,30.7500000,30.5800000,30.7300000,1654596
VZ,60,20100126,000000,30.7220000,30.9300000,30.6535000,30.8300000,2437857
VZ,60,20100126,010000,30.8400000,30.8600000,30.6600000,30.6900000,2402440
VZ,60,20100126,020000,30.6900000,30.6900000,30.6800000,30.6800000,635185
VZ,60,20100126,190000,30.4100000,30.5300000,29.9200000,29.9450000,1160788
VZ,60,20100126,200000,29.9450000,30.1300000,29.9000000,29.9500000,1873751
VZ,60,20100126,210000,29.9500000,30.0600000,29.8600000,29.9600000,2005725
VZ,60,20100126,220000,29.9680000,30.0000000,29.8800000,29.9200000,1925098
VZ,60,20100126,230000,29.9200000,29.9365000,29.7500000,29.9200000,2783470
VZ,60,20100127,000000,29.9200000,30.1600000,29.8800000,30.1500000,3426328
VZ,60,20100127,010000,30.1499000,30.2100000,30.0100000,30.1600000,2016405
VZ,60,20100127,020000,30.1600000,30.1700000,30.1500000,30.1700000,1188956
VZ,60,20100127,190000,30.0100000,30.0400000,29.7600000,29.9210000,1092116
VZ,60,20100127,200000,29.9210000,29.9500000,29.6900000,29.8400000,1194617
VZ,60,20100127,210000,29.8500000,29.8600000,29.7000000,29.7730000,1593390
VZ,60,20100127,220000,29.7800000,29.8500000,29.7200000,29.7400000,1258037
VZ,60,20100127,230000,29.7400000,29.9000000,29.7400000,29.8800000,1206123
VZ,60,20100128,000000,29.8701000,29.9300000,29.5000000,29.8900000,2578814
VZ,60,20100128,010000,29.8900000,29.9050000,29.7200000,29.8800000,2095000
VZ,60,20100128,020000,29.8800000,29.8800000,29.8700000,29.8700000,601400
VZ,60,20100128,190000,29.8100000,29.8200000,29.3100000,29.3194000,792239
VZ,60,20100128,200000,29.3200000,29.5900000,29.2700000,29.5000000,1957853
VZ,60,20100128,210000,29.5000000,29.5500000,29.1800000,29.2100000,2164353
VZ,60,20100128,220000,29.2060000,29.3100000,29.1400000,29.2000000,1453676
VZ,60,20100128,230000,29.2000000,29.3200000,29.1300000,29.2700000,1675530
VZ,60,20100129,000000,29.2625000,29.3800000,29.2100000,29.3500000,1324493
VZ,60,20100129,010000,29.3500000,29.4500000,29.3000000,29.3400000,1920155
VZ,60,20100129,020000,29.3200000,29.3300000,29.3200000,29.3300000,736797
VZ,60,20100129,190000,29.4800000,29.5200000,29.3500000,29.4700000,323846
VZ,60,20100129,200000,29.4800000,29.6700000,29.4100000,29.4200000,1168156
VZ,60,20100129,210000,29.4200000,29.5000000,29.2200000,29.3700000,801517
