<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WFC,60,20100101,010000,27.1100000,27.1400000,26.9600000,26.9800000,4324900
WFC,60,20100101,020000,26.9800000,26.9900000,26.9500000,26.9900000,1912025
WFC,60,20100104,190000,27.0300000,27.1100000,26.8200000,27.0400000,1261983
WFC,60,20100104,200000,27.0400000,27.2400000,26.8900000,27.2200000,2618477
WFC,60,20100104,210000,27.2225000,27.4800000,27.2000000,27.3500000,2937315
WFC,60,20100104,220000,27.3500000,27.4500000,27.3200000,27.3450000,2389549
WFC,60,20100104,230000,27.3500000,27.4500000,27.2200000,27.2200000,3451889
WFC,60,20100105,000000,27.2200000,27.3700000,27.1800000,27.3220000,4113066
WFC,60,20100105,010000,27.3200000,27.3700000,27.2000000,27.3100000,5359932
WFC,60,20100105,020000,27.3100000,27.3200000,27.3000000,27.3200000,1429642
WFC,60,20100105,190000,27.2400000,27.8000000,27.2400000,27.6800000,2181860
WFC,60,20100105,200000,27.6800000,28.1200000,27.6100000,27.9387000,5292223
WFC,60,20100105,210000,27.9500000,28.0000000,27.7500000,27.9500000,4050490
WFC,60,20100105,220000,27.9475000,28.0900000,27.8800000,28.0000000,3508480
WFC,60,20100105,230000,28.0000000,28.1000000,27.8900000,28.0750000,4426294
WFC,60,20100106,000000,28.0710000,28.1500000,27.8900000,28.0850000,3823335
WFC,60,20100106,010000,28.0880000,28.2400000,28.0700000,28.0900000,6975700
WFC,60,20100106,020000,28.0700000,28.0800000,28.0700000,28.0700000,1972496
WFC,60,20100106,190000,28.0000000,28.0600000,27.7900000,27.9000000,1554679
WFC,60,20100106,200000,27.9000000,28.0700000,27.8900000,28.0400000,2034210
WFC,60,20100106,210000,28.0381000,28.1700000,27.9300000,28.1400000,2240894
WFC,60,20100106,220000,28.1500000,28.2300000,28.0300000,28.1400000,2230487
WFC,60,20100106,230000,28.1200000,28.2800000,28.1200000,28.2000000,2829515
WFC,60,20100107,000000,28.2000000,28.3300000,28.1401000,28.2950000,2241710
WFC,60,20100107,010000,28.2900000,28.3000000,28.0800000,28.1000000,4532101
WFC,60,20100107,020000,28.1100000,28.1100000,28.1000000,28.1100000,11747
WFC,60,20100107,190000,28.1100000,28.3800000,27.9200000,28.3250000,1567860
WFC,60,20100107,200000,28.3225000,28.8100000,28.3200000,28.8000000,4914111
WFC,60,20100107,210000,28.8200000,28.9500000,28.7300000,28.8700000,4495121
WFC,60,20100107,220000,28.8701000,29.2300000,28.8050000,29.1205000,5504737
WFC,60,20100107,230000,29.1200000,29.1600000,28.9300000,29.1100000,4960272
WFC,60,20100108,000000,29.1100000,29.4300000,29.1000000,29.2300000,7149970
WFC,60,20100108,010000,29.2400000,29.3000000,28.9000000,29.1000000,7157245
WFC,60,20100108,020000,29.0900000,29.1200000,29.0900000,29.1100000,71346
WFC,60,20100108,190000,28.8500000,29.0900000,28.6800000,29.0000000,1544250
WFC,60,20100108,200000,28.9900000,29.3400000,28.9900000,29.0300000,2641037
WFC,60,20100108,210000,29.0300000,29.1100000,28.7300000,28.7501000,3486745
WFC,60,20100108,220000,28.7500000,28.8500000,28.6500000,28.7300000,2736285
WFC,60,20100108,230000,28.7200000,28.9200000,28.7096000,28.7500000,2256397
WFC,60,20100109,000000,28.7500000,28.7900000,28.6000000,28.6100000,3434685
WFC,60,20100109,010000,28.6100000,28.8900000,28.6000000,28.8500000,3750737
WFC,60,20100109,020000,28.8400000,28.8600000,28.8300000,28.8600000,742132
WFC,60,20100111,190000,29.0700000,29.1500000,28.6300000,28.7500000,962499
WFC,60,20100111,200000,28.7500000,29.0600000,28.6700000,29.0150000,1447566
WFC,60,20100111,210000,29.0139000,29.0900000,28.7000000,28.7700000,1729339
WFC,60,20100111,220000,28.7700000,28.7800000,28.5900000,28.6600000,2274231
WFC,60,20100111,230000,28.6600000,28.7400000,28.6200000,28.6500000,2168297
WFC,60,20100112,000000,28.6600000,28.8000000,28.6300000,28.7600000,1942936
WFC,60,20100112,010000,28.7600000,28.9450000,28.7400000,28.7900000,2962986
WFC,60,20100112,020000,28.7900000,28.8000000,28.7900000,28.8000000,628774
WFC,60,20100112,190000,28.4500000,28.4700000,28.2400000,28.3900000,1588662
WFC,60,20100112,200000,28.4000000,28.5500000,28.3100000,28.3300000,1373546
WFC,60,20100112,210000,28.3225000,28.3600000,28.0800000,28.1000000,2811055
WFC,60,20100112,220000,28.1000000,28.1300000,27.8100000,27.9000000,2878283
WFC,60,20100112,230000,27.9000000,28.1200000,27.7600000,28.1000000,2708046
WFC,60,20100113,000000,28.1100000,28.1100000,27.8900000,28.0500000,2825172
WFC,60,20100113,010000,28.0300000,28.1200000,27.8200000,28.1000000,4063621
WFC,60,20100113,020000,28.0900000,28.1000000,28.0800000,28.0800000,1551038
WFC,60,20100113,190000,28.0700000,28.0800000,27.8100000,27.8450000,730417
WFC,60,20100113,200000,27.8400000,28.3000000,27.8050000,28.3000000,1460450
WFC,60,20100113,210000,28.3000000,28.6600000,28.2999000,28.6100000,2828515
WFC,60,20100113,220000,28.6100000,28.7600000,28.5900000,28.6750000,2148095
WFC,60,20100113,230000,28.6700000,28.6900000,28.4200000,28.4500000,3259886
WFC,60,20100114,000000,28.4600000,28.6800000,28.4300000,28.6600000,2307338
WFC,60,20100114,010000,28.6600000,28.7200000,28.5500000,28.5800000,3822802
WFC,60,20100114,020000,28.5800000,28.5900000,28.5800000,28.5800000,1237566
WFC,60,20100114,190000,28.5300000,28.9800000,28.5000000,28.8600000,1388758
WFC,60,20100114,200000,28.8600000,29.2004000,28.8000000,28.9100000,2643565
WFC,60,20100114,210000,28.9100000,28.9200000,28.6700000,28.8800000,2378953
WFC,60,20100114,220000,28.8700000,28.9900000,28.8000000,28.9100000,2030456
WFC,60,20100114,230000,28.9000000,29.0000000,28.8500000,28.9520000,1767014
WFC,60,20100115,000000,28.9550000,29.0800000,28.8900000,29.0200000,3032359
WFC,60,20100115,010000,29.0100000,29.1500000,28.9500000,28.9800000,4246785
WFC,60,20100115,020000,28.9800000,28.9900000,28.9700000,28.9900000,1237206
WFC,60,20100115,190000,28.7500000,28.8900000,28.3900000,28.4000000,1087707
WFC,60,20100115,200000,28.4085000,28.4600000,28.1500000,28.2000000,1911739
WFC,60,20100115,210000,28.2000000,28.2800000,28.1200000,28.1300000,2395056
WFC,60,20100115,220000,28.1300000,28.2200000,28.0000000,28.0495000,2631829
WFC,60,20100115,230000,28.0450000,28.1200000,28.0000000,28.0100000,2844156
WFC,60,20100116,000000,28.0200000,28.0700000,27.8800000,27.9100000,4192144
WFC,60,20100116,010000,27.9100000,28.1700000,27.9030000,28.0800000,4410140
WFC,60,20100116,020000,28.0770000,28.0800000,28.0600000,28.0800000,2087034
WFC,60,20100119,190000,27.9000000,28.0500000,27.6100000,27.8482000,995862
WFC,60,20100119,200000,27.8400000,28.3400000,27.8201000,28.2701000,2221471
WFC,60,20100119,210000,28.2800000,28.2800000,28.0900000,28.2000000,2039393
WFC,60,20100119,220000,28.1996000,28.4700000,28.1200000,28.3300000,2978451
WFC,60,20100119,230000,28.3250000,28.3800000,28.2200000,28.2500000,2349694
WFC,60,20100120,000000,28.2600000,28.2700000,28.1500000,28.1600000,3710355
WFC,60,20100120,010000,28.1600000,28.3500000,28.1200000,28.3000000,5082328
WFC,60,20100120,020000,28.3000000,28.3000000,28.2800000,28.2800000,2607786
WFC,60,20100120,190000,28.0500000,28.6500000,28.0500000,28.4500000,2178578
WFC,60,20100120,200000,28.4200000,28.4200000,27.8800000,27.9335000,3354623
WFC,60,20100120,210000,27.9300000,28.3500000,27.7000000,28.2381000,5345406
WFC,60,20100120,220000,28.2300000,28.2500000,27.8600000,27.8800000,4504786
WFC,60,20100120,230000,27.8800000,28.1700000,27.8700000,28.0900000,4200767
WFC,60,20100121,000000,28.0900000,28.1300000,27.9700000,28.0401000,4928159
WFC,60,20100121,010000,28.0500000,28.1100000,27.8200000,27.8300000,6511217
WFC,60,20100121,020000,27.8300000,27.8300000,27.8200000,27.8200000,698800
WFC,60,20100121,190000,27.9800000,28.1700000,27.7200000,28.0200000,2911654
WFC,60,20100121,200000,28.0300000,28.2300000,27.5200000,27.7700000,2574608
WFC,60,20100121,210000,27.7700000,27.9200000,27.1900000,27.4200000,2724875
WFC,60,20100121,220000,27.4199000,27.6100000,27.3500000,27.5100000,2512670
WFC,60,20100121,230000,27.5100000,27.9500000,27.5000000,27.9500000,4769813
WFC,60,20100122,000000,27.9500000,28.5000000,27.9400000,28.2900000,7515311
WFC,60,20100122,010000,28.2900000,28.3000000,27.9800000,28.0100000,4643440
WFC,60,20100122,020000,28.0100000,28.0400000,28.0000000,28.0000000,1895607
WFC,60,20100122,190000,27.9800000,28.4000000,27.9100000,27.9500000,1269557
WFC,60,20100122,200000,27.9599000,28.0900000,27.7300000,28.0100000,2017413
WFC,60,20100122,210000,28.0100000,28.3800000,27.9700000,28.0900000,3517252
WFC,60,20100122,220000,28.0900000,28.1800000,27.8000000,27.8600000,4428822
WFC,60,20100122,230000,27.8600000,27.8600000,27.5300000,27.5900000,3037218
WFC,60,20100123,000000,27.6000000,27.8300000,27.4900000,27.5100000,3605672
WFC,60,20100123,010000,27.4999000,27.6200000,27.1700000,27.2700000,3684854
WFC,60,20100123,020000,27.2700000,27.2700000,27.2400000,27.2600000,2722600
WFC,60,20100125,190000,27.5500000,27.8500000,27.4500000,27.7200000,1438050
WFC,60,20100125,200000,27.7200000,27.8000000,27.2000000,27.4300000,2553720
WFC,60,20100125,210000,27.4300000,27.7000000,27.3600000,27.6500000,2841418
WFC,60,20100125,220000,27.6500000,27.9600000,27.6500000,27.8100000,5212491
WFC,60,20100125,230000,27.8100000,28.0500000,27.7750000,27.9100000,4222466
WFC,60,20100126,000000,27.9101000,27.9300000,27.8150000,27.8881000,2949189
WFC,60,20100126,010000,27.8900000,27.9400000,27.6200000,27.6200000,3146591
WFC,60,20100126,020000,27.6300000,27.6600000,27.6200000,27.6600000,1689027
WFC,60,20100126,190000,27.4800000,27.8600000,27.3000000,27.7400000,1409038
WFC,60,20100126,200000,27.7400000,28.1900000,27.7300000,27.9900000,2679578
WFC,60,20100126,210000,28.0000000,28.2900000,27.9650000,28.1199000,3485295
WFC,60,20100126,220000,28.1290000,28.2700000,28.0200000,28.2500000,2560478
WFC,60,20100126,230000,28.2500000,28.3500000,28.1400000,28.3250000,3302911
WFC,60,20100127,000000,28.3300000,28.3400000,27.9900000,28.0100000,3499317
WFC,60,20100127,010000,27.9999000,28.0100000,26.9200000,26.9981000,10350328
WFC,60,20100127,020000,26.9900000,27.0000000,26.9800000,26.9900000,1414572
WFC,60,20100127,190000,26.8901000,27.4500000,26.8900000,27.3400000,1742736
WFC,60,20100127,200000,27.3407000,27.4100000,27.0802000,27.4100000,2064425
WFC,60,20100127,210000,27.4090000,27.5738000,27.2900000,27.5000000,3085386
WFC,60,20100127,220000,27.4950000,27.6600000,27.4900000,27.5800000,4427430
WFC,60,20100127,230000,27.5800000,27.8800000,27.5400000,27.7927000,4274471
WFC,60,20100128,000000,27.8000000,28.0700000,27.5600000,28.0700000,2555687
WFC,60,20100128,010000,28.0800000,28.2400000,27.9700000,28.1700000,4420064
WFC,60,20100128,020000,28.1700000,28.2000000,28.1700000,28.2000000,2304093
WFC,60,20100128,190000,28.2800000,28.7000000,28.2700000,28.5100000,1759765
