<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WMT,60,20100101,010000,53.7050000,53.8300000,53.4300000,53.4300000,1533936
WMT,60,20100101,020000,53.4300000,53.4500000,53.4300000,53.4500000,1039000
WMT,60,20100104,190000,53.8300000,54.1800000,53.6700000,54.0400000,755475
WMT,60,20100104,200000,54.0400000,54.1600000,53.7800000,54.0400000,1307519
WMT,60,20100104,210000,54.0400000,54.2700000,53.9800000,54.2480000,1323265
WMT,60,20100104,220000,54.2500000,54.6400000,53.9462000,54.6300000,2767793
WMT,60,20100104,230000,54.6300000,54.6700000,54.4400000,54.4550000,1743868
WMT,60,20100105,000000,54.4500000,54.6200000,54.4200000,54.6200000,2164454
WMT,60,20100105,010000,54.6200000,54.6700000,54.2100000,54.2200000,3553885
WMT,60,20100105,020000,54.2100000,54.2300000,54.2100000,54.2300000,1380357
WMT,60,20100105,190000,54.0700000,54.1600000,53.8600000,53.9200000,600517
WMT,60,20100105,200000,53.9200000,54.1900000,53.8800000,53.9500000,1163480
WMT,60,20100105,210000,53.9550000,54.0100000,53.8900000,53.9300000,1395887
WMT,60,20100105,220000,53.9300000,53.9500000,53.6800000,53.7699000,1790679
WMT,60,20100105,230000,53.7600000,53.8300000,53.6500000,53.7600000,1087201
WMT,60,20100106,000000,53.7600000,53.7600000,53.5800000,53.6200000,1302679
WMT,60,20100106,010000,53.6206000,53.7200000,53.5800000,53.6600000,1789653
WMT,60,20100106,020000,53.6700000,53.6900000,53.6600000,53.6900000,601917
WMT,60,20100106,190000,53.5600000,53.8300000,53.4200000,53.7300000,756885
WMT,60,20100106,200000,53.7400000,53.8100000,53.4900000,53.6850000,691126
WMT,60,20100106,210000,53.6800000,53.7600000,53.6300000,53.7001000,687150
WMT,60,20100106,220000,53.7000000,53.7400000,53.6200000,53.6701000,697631
WMT,60,20100106,230000,53.6735000,53.7100000,53.5500000,53.6500000,982052
WMT,60,20100107,000000,53.6590000,53.7800000,53.6100000,53.7500000,790135
WMT,60,20100107,010000,53.7500000,53.7800000,53.4700000,53.5600000,2399361
WMT,60,20100107,020000,53.5600000,53.5700000,53.5500000,53.5700000,241668
WMT,60,20100107,190000,53.6300000,53.7000000,53.3100000,53.3100000,497350
WMT,60,20100107,200000,53.3200000,53.5000000,53.2700000,53.4700000,808716
WMT,60,20100107,210000,53.4700000,53.5600000,53.3800000,53.3800000,790490
WMT,60,20100107,220000,53.3801000,53.4700000,53.3300000,53.3800000,988759
