<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XOM,60,20100802,190000,60.6400000,60.8500000,60.6100000,60.7300000,2326328
XOM,60,20100802,200000,60.7195000,61.3400000,60.6900000,61.3150000,3585195
XOM,60,20100802,210000,61.3200000,61.4900000,61.1900000,61.4775000,2545554
XOM,60,20100802,220000,61.4800000,61.5200000,61.3100000,61.4829000,1729238
XOM,60,20100802,230000,61.4899000,61.7300000,61.4600000,61.6800000,2610576
XOM,60,20100803,000000,61.6800000,61.9100000,61.6300000,61.9000000,2960854
XOM,60,20100803,010000,61.9060000,62.0400000,61.8100000,61.9200000,8439672
XOM,60,20100803,020000,61.9200000,61.9400000,61.9100000,61.9400000,1621200
XOM,60,20100803,190000,61.9800000,62.3900000,61.8800000,62.3300000,3223790
XOM,60,20100803,200000,62.3300000,62.6800000,62.1500000,62.5700000,4078071
XOM,60,20100803,210000,62.5800000,62.9900000,62.4500000,62.9300000,4304135
XOM,60,20100803,220000,62.9350000,62.9350000,62.5600000,62.7900000,3016207
XOM,60,20100803,230000,62.7881000,62.8900000,62.6300000,62.7900000,2184703
XOM,60,20100804,000000,62.7900000,62.9400000,62.7400000,62.8000000,2267676
XOM,60,20100804,010000,62.8100000,62.8100000,62.5000000,62.6300000,5208693
XOM,60,20100804,020000,62.6200000,62.7200000,62.6100000,62.7200000,1719199
XOM,60,20100804,190000,62.8600000,62.8800000,62.5600000,62.8000000,1741732
XOM,60,20100804,200000,62.8000000,62.8900000,62.2700000,62.3590000,3781844
XOM,60,20100804,210000,62.3600000,62.6600000,62.3200000,62.5014000,1742548
XOM,60,20100804,220000,62.5000000,62.7600000,62.4900000,62.6701000,3296694
XOM,60,20100804,230000,62.6700000,62.7000000,62.3100000,62.5200000,1997797
XOM,60,20100805,000000,62.5200000,62.7600000,62.5100000,62.6700000,1555531
XOM,60,20100805,010000,62.6702000,62.8700000,62.6200000,62.7200000,4214318
XOM,60,20100805,020000,62.7300000,62.7300000,62.7200000,62.7200000,690712
XOM,60,20100805,190000,62.2900000,62.4300000,61.9500000,61.9600000,4506773
XOM,60,20100805,200000,61.9600000,62.1750000,61.9100000,61.9323000,4023391
XOM,60,20100805,210000,61.9300000,62.2900000,61.8500000,62.1500000,2081514
XOM,60,20100805,220000,62.1400000,62.2700000,62.0000000,62.1290000,1449278
XOM,60,20100805,230000,62.1200000,62.4400000,62.0000000,62.3700000,1675209
XOM,60,20100806,000000,62.3700000,62.4300000,62.2700000,62.3699000,1453007
XOM,60,20100806,010000,62.3600000,62.7100000,62.3400000,62.7100000,3450155
XOM,60,20100806,020000,62.7100000,62.7100000,62.7100000,62.7100000,711331
XOM,60,20100806,190000,61.9300000,62.2600000,61.8500000,62.1100000,3251676
XOM,60,20100806,200000,62.1100000,62.5000000,61.7200000,61.8000000,4502179
XOM,60,20100806,210000,61.8000000,61.8800000,61.5700000,61.6100000,2181175
XOM,60,20100806,220000,61.6000000,61.7500000,61.4800000,61.6400000,1572846
XOM,60,20100806,230000,61.6500000,61.7100000,61.2700000,61.3000000,2385122
XOM,60,20100807,000000,61.3000000,61.8400000,61.2500000,61.8000000,1920211
XOM,60,20100807,010000,61.8085000,62.0500000,61.7700000,62.0000000,3630062
XOM,60,20100807,020000,62.0000000,62.0000000,61.9700000,61.9700000,948200
XOM,60,20100809,190000,62.5500000,62.6000000,62.1800000,62.2900000,1610313
XOM,60,20100809,200000,62.2900000,62.4900000,62.1800000,62.4800000,1545096
XOM,60,20100809,210000,62.4800000,62.5300000,62.3900000,62.4000000,1253406
XOM,60,20100809,220000,62.4000000,62.4400000,62.3300000,62.3800000,895406
XOM,60,20100809,230000,62.3800000,62.5300000,62.3600000,62.4900000,1210355
XOM,60,20100810,000000,62.4950000,62.6700000,62.4400000,62.6095000,1714868
XOM,60,20100810,010000,62.6001000,62.6001000,62.3500000,62.4500000,4373277
XOM,60,20100810,020000,62.4500000,62.4500000,62.4400000,62.4500000,501124
XOM,60,20100810,190000,61.8800000,61.9500000,61.4500000,61.6200000,2385485
XOM,60,20100810,200000,61.6340000,61.9100000,61.5000000,61.6000000,3208235
XOM,60,20100810,210000,61.5900000,61.9300000,61.5800000,61.8319000,1717913
XOM,60,20100810,220000,61.8400000,61.8600000,61.7200000,61.7900000,1163092
XOM,60,20100810,230000,61.7899000,61.8377000,61.5900000,61.6900000,1193801
XOM,60,20100811,000000,61.6800000,62.1700000,61.6000000,61.9050000,3940769
XOM,60,20100811,010000,61.9100000,62.0650000,61.7000000,61.9700000,4411841
XOM,60,20100811,020000,61.9800000,62.0000000,61.9300000,61.9300000,1303400
XOM,60,20100811,190000,60.5600000,60.6200000,60.2000000,60.4850000,2948357
XOM,60,20100811,200000,60.4900000,60.6200000,60.3700000,60.4800000,3372580
XOM,60,20100811,210000,60.4900000,60.6000000,60.2762000,60.5200000,2551119
XOM,60,20100811,220000,60.5200000,60.5300000,60.2600000,60.3000000,1790603
XOM,60,20100811,230000,60.3000000,60.4250000,60.2500000,60.3110000,1522800
XOM,60,20100812,000000,60.3200000,60.6500000,60.3100000,60.4800000,2808874
XOM,60,20100812,010000,60.4800000,60.6600000,60.3400000,60.4300000,5764476
XOM,60,20100812,020000,60.4400000,60.4500000,60.3900000,60.3900000,1148413
XOM,60,20100812,190000,59.7000000,60.3000000,59.5600000,60.2300000,2647113
XOM,60,20100812,200000,60.2300000,60.5600000,60.2000000,60.3300000,2903888
XOM,60,20100812,210000,60.3400000,60.4700000,60.1200000,60.3100000,1709926
XOM,60,20100812,220000,60.3100000,60.4900000,60.2491000,60.4300000,1750667
XOM,60,20100812,230000,60.4400000,60.4600000,60.0100000,60.0400000,1143714
XOM,60,20100813,000000,60.0480000,60.1900000,59.9500000,60.1420000,1422139
XOM,60,20100813,010000,60.1500000,60.4200000,60.1300000,60.2200000,3046909
XOM,60,20100813,020000,60.2200000,60.2300000,60.2200000,60.2300000,720825
XOM,60,20100813,190000,59.9600000,60.4100000,59.9300000,60.3900000,1871554
XOM,60,20100813,200000,60.4000000,60.4500000,59.8965000,59.9800000,1684441
XOM,60,20100813,210000,59.9700000,60.0600000,59.8000000,59.9200000,1357096
XOM,60,20100813,220000,59.9200000,60.2400000,59.9200000,60.2100000,1112108
XOM,60,20100813,230000,60.2200000,60.3500000,60.1800000,60.2132000,1408084
XOM,60,20100814,000000,60.2100000,60.2300000,60.0000000,60.0350000,1392046
XOM,60,20100814,010000,60.0400000,60.1400000,59.8900000,59.9200000,3182544
XOM,60,20100814,020000,59.9300000,59.9300000,59.9100000,59.9100000,1256438
XOM,60,20100816,190000,59.6000000,59.6700000,59.2600000,59.4650000,1974981
XOM,60,20100816,200000,59.4600000,59.9400000,59.3120000,59.9000000,2449470
XOM,60,20100816,210000,59.9100000,59.9700000,59.7291000,59.9300000,1606422
XOM,60,20100816,220000,59.9200000,59.9800000,59.8200000,59.9500000,999466
XOM,60,20100816,230000,59.9500000,59.9700000,59.7800000,59.8200000,817270
XOM,60,20100817,000000,59.8300000,59.8800000,59.6071000,59.6100000,1412778
XOM,60,20100817,010000,59.6100000,60.2500000,59.0792000,59.8500000,3147538
XOM,60,20100817,020000,59.8500000,59.8800000,59.8400000,59.8800000,784943
XOM,60,20100817,190000,60.4900000,60.5400000,60.1400000,60.3400000,1537518
XOM,60,20100817,200000,60.3400000,60.6200000,60.2800000,60.5200000,2726237
XOM,60,20100817,210000,60.5300000,60.9400000,60.5200000,60.8800000,1928475
XOM,60,20100817,220000,60.8500000,60.9200000,60.8000000,60.8100000,1225343
XOM,60,20100817,230000,60.8100000,61.1600000,60.7700000,61.0501000,1852826
XOM,60,20100818,000000,61.0500000,61.1500000,60.9900000,61.0300000,1554935
XOM,60,20100818,010000,61.0300000,61.0400000,60.6900000,60.8000000,5109076
XOM,60,20100818,020000,60.8000000,60.8200000,60.7900000,60.8200000,1952752
XOM,60,20100818,190000,60.6700000,60.7200000,59.9400000,59.9800000,2523823
XOM,60,20100818,200000,59.9750000,60.2800000,59.6300000,59.8500000,3494417
XOM,60,20100818,210000,59.8499000,59.9800000,59.7300000,59.9600000,2173387
XOM,60,20100818,220000,59.9600000,60.0700000,59.8050000,60.0319000,1369523
XOM,60,20100818,230000,60.0380000,60.3890000,60.0200000,60.3500000,1631952
XOM,60,20100819,000000,60.3500000,60.4000000,60.1800000,60.2100000,1340761
XOM,60,20100819,010000,60.2200000,60.2800000,60.0500000,60.1800000,3554328
XOM,60,20100819,020000,60.1800000,60.1800000,60.1500000,60.1500000,1494200
XOM,60,20100819,190000,59.9000000,60.0600000,59.5500000,59.5800000,1990935
XOM,60,20100819,200000,59.5700000,59.5800000,59.0200000,59.3390000,3338578
XOM,60,20100819,210000,59.3400000,59.3400000,58.9300000,59.0600000,2207907
XOM,60,20100819,220000,59.0600000,59.1700000,58.9100000,59.0100000,1166539
XOM,60,20100819,230000,59.0100000,59.1000000,58.9595000,58.9800000,1117467
XOM,60,20100820,000000,58.9700000,59.2124000,58.9000000,59.1173000,1799655
XOM,60,20100820,010000,59.1100000,59.3700000,59.0800000,59.2900000,4353097
XOM,60,20100820,020000,59.2900000,59.2900000,59.2900000,59.2900000,1369700
XOM,60,20100820,190000,59.0200000,59.0700000,58.7100000,58.8795000,6145952
XOM,60,20100820,200000,58.8700000,58.9300000,58.7500000,58.8600000,2415666
XOM,60,20100820,210000,58.8500000,58.8855000,58.5600000,58.5700000,1837694
XOM,60,20100820,220000,58.5800000,58.7500000,58.5500000,58.7000000,1434915
XOM,60,20100820,230000,58.7200000,58.8000000,58.5900000,58.6600000,1263891
XOM,60,20100821,000000,58.6581000,59.0000000,58.6500000,58.9000000,2212682
XOM,60,20100821,010000,58.9070000,58.9800000,58.7500000,58.8800000,2959923
XOM,60,20100821,020000,58.8900000,58.8900000,58.8900000,58.8900000,1156800
XOM,60,20100823,190000,59.0000000,59.7000000,58.9000000,59.6400000,2301325
XOM,60,20100823,200000,59.6401000,59.6700000,59.2850000,59.4400000,3029363
XOM,60,20100823,210000,59.4300000,59.6000000,59.2700000,59.5200000,2228739
XOM,60,20100823,220000,59.5201000,59.7600000,59.5050000,59.6750000,1616715
XOM,60,20100823,230000,59.6700000,59.7300000,59.5900000,59.7200000,1457213
XOM,60,20100824,000000,59.7200000,60.0500000,59.7100000,59.8900000,2668189
XOM,60,20100824,010000,59.8900000,60.0000000,59.4900000,59.5000000,4773628
XOM,60,20100824,020000,59.5000000,59.5000000,59.5000000,59.5000000,1568900
XOM,60,20100824,190000,59.0600000,59.4350000,59.0100000,59.2400000,2619276
XOM,60,20100824,200000,59.2400000,59.2900000,58.9400000,59.2700000,3840134
XOM,60,20100824,210000,59.2600000,59.4300000,59.0000000,59.3600000,1963270
XOM,60,20100824,220000,59.3600000,59.4500000,59.0700000,59.0915000,1690381
XOM,60,20100824,230000,59.1000000,59.1700000,58.8400000,58.9100000,2272498
XOM,60,20100825,000000,58.9200000,59.1550000,58.9000000,59.1300000,2078258
XOM,60,20100825,010000,59.1400000,59.2900000,58.7900000,58.9400000,5658896
XOM,60,20100825,020000,58.9300000,58.9400000,58.8100000,58.9400000,1149642
XOM,60,20100825,190000,58.6900000,59.0900000,58.5600000,58.6700000,2285832
XOM,60,20100825,200000,58.6700000,59.0300000,58.4200000,58.7300000,4167269
XOM,60,20100825,210000,58.7300000,58.9500000,58.6900000,58.7900000,2020594
XOM,60,20100825,220000,58.7900000,58.8500000,58.5400000,58.5971000,1054044
XOM,60,20100825,230000,58.5900000,58.9100000,58.5500000,58.7500000,1476092
XOM,60,20100826,000000,58.7600000,59.4000000,58.6900000,58.9790000,2379068
XOM,60,20100826,010000,58.9800000,59.1000000,58.7200000,58.9000000,3867696
XOM,60,20100826,020000,58.9000000,58.9100000,58.8800000,58.9100000,909264
