<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YHOO,60,20100101,010000,16.9500000,16.9600000,16.7700000,16.7800000,1607168
YHOO,60,20100101,020000,16.7800000,16.7900000,16.7800000,16.7800000,4842
YHOO,60,20100104,190000,16.8900000,17.0000000,16.8800000,16.9800000,350481
YHOO,60,20100104,200000,16.9700000,17.0800000,16.9000000,17.0500000,1616423
YHOO,60,20100104,210000,17.0500000,17.2000000,17.0100000,17.1900000,1935065
YHOO,60,20100104,220000,17.1900000,17.1900000,17.0700000,17.1000000,1070987
YHOO,60,20100104,230000,17.1000000,17.1100000,17.0300000,17.0301000,1027024
YHOO,60,20100105,000000,17.0305000,17.1150000,17.0200000,17.0699000,3184744
YHOO,60,20100105,010000,17.0700000,17.1000000,17.0300000,17.1000000,1467040
YHOO,60,20100105,020000,17.1000000,17.1000000,17.0900000,17.0900000,2443
YHOO,60,20100105,190000,17.1900000,17.2200000,17.0100000,17.1100000,479139
YHOO,60,20100105,200000,17.1200000,17.1600000,17.0700000,17.1000000,1005389
YHOO,60,20100105,210000,17.1100000,17.1500000,17.0400000,17.0800000,863486
YHOO,60,20100105,220000,17.0800000,17.1700000,17.0700000,17.1601000,898380
YHOO,60,20100105,230000,17.1700000,17.1700000,17.1000000,17.1500000,869712
YHOO,60,20100106,000000,17.1400000,17.1800000,17.1300000,17.1650000,982321
YHOO,60,20100106,010000,17.1600000,17.2300000,17.1600000,17.2300000,1636135
YHOO,60,20100106,020000,17.2300000,17.2300000,17.2200000,17.2300000,30400
YHOO,60,20100106,190000,17.1450000,17.2975000,17.1100000,17.1400000,592393
YHOO,60,20100106,200000,17.1400000,17.2300000,17.1300000,17.2101000,999448
YHOO,60,20100106,210000,17.2100000,17.2900000,17.2000000,17.2700000,1327265
YHOO,60,20100106,220000,17.2701000,17.2800000,17.0700000,17.1300000,2943292
YHOO,60,20100106,230000,17.1400000,17.1600000,17.0800000,17.1100000,1519500
YHOO,60,20100107,000000,17.1100000,17.1700000,17.0900000,17.1600000,885663
YHOO,60,20100107,010000,17.1600000,17.1700000,17.1200000,17.1600000,1102152
YHOO,60,20100107,020000,17.1600000,17.1700000,17.1500000,17.1700000,11146
YHOO,60,20100107,190000,16.8200000,16.8900000,16.5800000,16.6900000,1832049
YHOO,60,20100107,200000,16.6901000,16.7900000,16.6900000,16.7500000,1862167
YHOO,60,20100107,210000,16.7600000,16.8300000,16.6800000,16.7000000,2333137
YHOO,60,20100107,220000,16.7000000,16.7300000,16.6600000,16.6600000,1091257
YHOO,60,20100107,230000,16.6600000,16.6800000,16.5800000,16.6000000,6021948
YHOO,60,20100108,000000,16.5950000,16.7000000,16.5800000,16.6800000,3097044
YHOO,60,20100108,010000,16.6800000,16.7150000,16.6700000,16.7100000,2187848
YHOO,60,20100108,020000,16.7050000,16.7100000,16.7000000,16.7000000,124675
YHOO,60,20100108,190000,16.6900000,16.7600000,16.6200000,16.6900000,492446
YHOO,60,20100108,200000,16.6950000,16.7400000,16.6700000,16.7100000,613774
YHOO,60,20100108,210000,16.7100000,16.7125000,16.6700000,16.7100000,1441575
YHOO,60,20100108,220000,16.7000000,16.7100000,16.6850000,16.7000000,799800
YHOO,60,20100108,230000,16.7000000,16.7400000,16.6900000,16.7000000,1461074
YHOO,60,20100109,000000,16.7100000,16.7400000,16.7000000,16.7300000,2019743
YHOO,60,20100109,010000,16.7300000,16.7600000,16.7000000,16.7100000,1422700
YHOO,60,20100109,020000,16.7000000,16.7100000,16.7000000,16.7000000,27931
YHOO,60,20100111,190000,16.7400000,16.8300000,16.5600000,16.5800000,447138
YHOO,60,20100111,200000,16.5800000,16.5800000,16.4800000,16.5200000,816278
YHOO,60,20100111,210000,16.5300000,16.6300000,16.4800000,16.6250000,961964
YHOO,60,20100111,220000,16.6250000,16.6600000,16.5000000,16.6417000,1876818
YHOO,60,20100111,230000,16.6400000,16.6900000,16.6100000,16.6600000,1402695
YHOO,60,20100112,000000,16.6600000,16.7200000,16.6400000,16.7000000,1205864
YHOO,60,20100112,010000,16.7100000,16.8000000,16.6900000,16.7700000,1930054
YHOO,60,20100112,020000,16.7600000,16.7600000,16.7500000,16.7500000,9073
YHOO,60,20100112,190000,16.6900000,16.7700000,16.6000000,16.7600000,329364
YHOO,60,20100112,200000,16.7699000,16.8600000,16.7200000,16.7200000,442550
YHOO,60,20100112,210000,16.7150000,16.8000000,16.6800000,16.7500000,1122658
YHOO,60,20100112,220000,16.7500000,16.7700000,16.6800000,16.6901000,2007565
YHOO,60,20100112,230000,16.7000000,16.7400000,16.6100000,16.7100000,1100426
YHOO,60,20100113,000000,16.7100000,16.7500000,16.6600000,16.7500000,1478980
YHOO,60,20100113,010000,16.7500000,16.7600000,16.6500000,16.6800000,1838541
YHOO,60,20100113,020000,16.6800000,16.6900000,16.6800000,16.6800000,253753
YHOO,60,20100113,190000,16.8100000,16.9702000,16.7700000,16.7700000,804781
YHOO,60,20100113,200000,16.7700000,16.8100000,16.6500000,16.8000000,976075
YHOO,60,20100113,210000,16.7901000,16.8800000,16.7600000,16.8400000,922130
YHOO,60,20100113,220000,16.8400000,16.9200000,16.8200000,16.8900000,1695660
YHOO,60,20100113,230000,16.8895000,16.9100000,16.8000000,16.8900000,793358
YHOO,60,20100114,000000,16.8900000,16.9500000,16.8700000,16.8700000,1517572
YHOO,60,20100114,010000,16.8800000,16.9600000,16.8700000,16.8900000,1381755
YHOO,60,20100114,020000,16.8800000,16.8900000,16.8800000,16.8800000,7984
YHOO,60,20100114,190000,16.8100000,16.9701000,16.8100000,16.9400000,281688
YHOO,60,20100114,200000,16.9400000,17.1500000,16.9400000,17.1000000,1512318
YHOO,60,20100114,210000,17.1100000,17.2300000,17.0850000,17.1200000,1881922
YHOO,60,20100114,220000,17.1100000,17.5000000,17.0100000,17.0612000,1055935
YHOO,60,20100114,230000,17.0700000,17.1700000,17.0600000,17.1100000,1814436
YHOO,60,20100115,000000,17.1100000,17.1800000,17.1100000,17.1500000,1158144
