<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20110901,010000,30.9400000,30.9700000,30.9300000,30.9700000,5500
YNDX,60,20110901,180000,31.1100000,31.5400000,31.0400000,31.4000000,132350
YNDX,60,20110901,190000,31.4350000,31.7100000,31.1000000,31.3900000,139353
YNDX,60,20110901,200000,31.3300000,31.6900000,31.3300000,31.6000000,66771
YNDX,60,20110901,210000,31.6000000,31.9000000,31.2500000,31.7200000,173796
YNDX,60,20110901,220000,31.7500000,31.8700000,31.5100000,31.7500000,65241
YNDX,60,20110901,230000,31.7000000,31.7500000,31.3200000,31.5600000,149541
YNDX,60,20110902,000000,31.5600000,31.6000000,31.0500000,31.1500000,324413
YNDX,60,20110902,010000,31.1500000,31.2000000,31.1500000,31.1900000,19541
YNDX,60,20110902,180000,30.2200000,30.9600000,30.0500000,30.7300000,51981
YNDX,60,20110902,190000,30.7100000,31.3100000,30.5100000,30.5700000,206193
YNDX,60,20110902,200000,30.5307000,30.6700000,30.0200000,30.6700000,119960
YNDX,60,20110902,210000,30.7200000,30.9000000,30.6000000,30.7800000,38843
YNDX,60,20110902,220000,30.8400000,30.8800000,30.4100000,30.4900000,49745
YNDX,60,20110902,230000,30.4500000,30.6390000,30.2500000,30.3550000,52991
YNDX,60,20110903,000000,30.3600000,30.4900000,30.2500000,30.3700000,159732
YNDX,60,20110903,010000,30.3700000,30.3800000,30.3700000,30.3800000,4080
YNDX,60,20110906,180000,29.5101000,29.8600000,29.4100000,29.5200000,78190
YNDX,60,20110906,190000,29.5495000,29.5496000,28.9600000,29.2100000,185634
YNDX,60,20110906,200000,29.2250000,29.2900000,28.9000000,28.9000000,132857
YNDX,60,20110906,210000,28.9150000,29.1000000,28.8850000,29.0900000,89349
YNDX,60,20110906,220000,29.0900000,29.1000000,28.9000000,29.0100000,101254
YNDX,60,20110906,230000,29.0100000,29.1000000,28.9650000,29.0600000,137773
YNDX,60,20110907,000000,29.0800000,29.2900000,28.9700000,29.2200000,383088
YNDX,60,20110907,010000,29.2200000,29.2400000,29.2200000,29.2200000,13654
YNDX,60,20110907,180000,29.7900000,29.9600000,29.5500000,29.7500000,110994
YNDX,60,20110907,190000,29.7500000,29.8500000,29.7400000,29.7600000,116259
YNDX,60,20110907,200000,29.7700000,30.0200000,29.7400000,29.8550000,108900
YNDX,60,20110907,210000,29.8550000,30.0000000,29.7500000,29.7800000,63081
YNDX,60,20110907,220000,29.8000000,29.8950000,29.7500000,29.7700000,66534
YNDX,60,20110907,230000,29.7600000,29.7900000,29.7500000,29.7900000,80607
YNDX,60,20110908,000000,29.7900000,29.9500000,29.7500000,29.7700000,286866
YNDX,60,20110908,010000,29.7800000,29.8000000,29.7800000,29.8000000,3760
YNDX,60,20110908,180000,29.5600000,29.9700000,29.3600000,29.8200000,44060
YNDX,60,20110908,190000,29.8400000,30.4700000,29.8400000,30.2000000,118320
YNDX,60,20110908,200000,30.2700000,30.4100000,30.1500000,30.3800000,68862
YNDX,60,20110908,210000,30.3800000,30.7300000,30.3100000,30.6750000,97861
YNDX,60,20110908,220000,30.6900000,30.7400000,30.3500000,30.5750000,71116
YNDX,60,20110908,230000,30.6200000,30.9950000,30.5500000,30.6800000,150117
YNDX,60,20110909,000000,30.6800000,30.6800000,30.2500000,30.2600000,222727
YNDX,60,20110909,010000,30.2600000,30.2600000,30.2600000,30.2600000,1800
YNDX,60,20110909,180000,30.0500000,30.3600000,29.9500000,30.0900000,46366
YNDX,60,20110909,190000,30.0000000,30.6100000,30.0000000,30.5900000,53290
YNDX,60,20110909,200000,30.6100000,30.6550000,30.1500000,30.2800000,48233
YNDX,60,20110909,210000,30.2100000,30.2600000,29.5500000,29.9000000,129679
YNDX,60,20110909,220000,29.9500000,30.1000000,29.6600000,29.9000000,93174
YNDX,60,20110909,230000,29.9000000,30.1500000,29.6300000,29.8300000,63671
YNDX,60,20110910,000000,29.7800000,30.0900000,29.7500000,29.9600000,190966
YNDX,60,20110910,010000,29.9600000,29.9600000,29.9300000,29.9300000,1405
YNDX,60,20110912,180000,29.6700000,29.9500000,29.3700000,29.8500000,29245
YNDX,60,20110912,190000,29.8700000,30.0500000,29.2100000,29.2300000,101288
YNDX,60,20110912,200000,29.2400000,29.2500000,28.9000000,28.9500000,134845
YNDX,60,20110912,210000,29.0000000,29.0000000,28.7500000,28.8350000,101767
YNDX,60,20110912,220000,28.8300000,28.9100000,28.7200000,28.7800000,175326
YNDX,60,20110912,230000,28.7800000,28.8500000,28.7000000,28.7700000,230162
YNDX,60,20110913,000000,28.7700000,29.1400000,28.7400000,29.0050000,391888
YNDX,60,20110913,010000,29.0400000,29.0700000,29.0200000,29.0200000,6850
YNDX,60,20110913,180000,29.1400000,29.3000000,28.5100000,28.8100000,43735
YNDX,60,20110913,190000,28.8200000,28.9400000,28.3400000,28.4600000,236081
YNDX,60,20110913,200000,28.5100000,28.5600000,28.2700000,28.4400000,82479
YNDX,60,20110913,210000,28.4400000,28.5300000,28.2000000,28.3200000,61891
YNDX,60,20110913,220000,28.3800000,28.4500000,28.1400000,28.2750000,75867
YNDX,60,20110913,230000,28.3000000,28.4900000,28.1600000,28.1850000,155807
YNDX,60,20110914,000000,28.1700000,28.4400000,28.1100000,28.3900000,293029
YNDX,60,20110914,010000,28.3900000,28.4000000,28.3800000,28.3800000,15417
YNDX,60,20110914,180000,28.6800000,28.7600000,28.4200000,28.5600000,88823
YNDX,60,20110914,190000,28.5950000,28.6000000,28.3000000,28.5100000,145430
YNDX,60,20110914,200000,28.5000000,28.6500000,28.3600000,28.5800000,141138
YNDX,60,20110914,210000,28.5900000,28.7600000,28.5200000,28.7001000,195634
YNDX,60,20110914,220000,28.7200000,28.8400000,28.5500000,28.6500000,145103
YNDX,60,20110914,230000,28.6000000,29.4400000,28.5900000,29.4200000,555197
YNDX,60,20110915,000000,29.4200000,29.8400000,29.1500000,29.1600000,323945
YNDX,60,20110915,010000,29.1700000,29.1700000,29.1600000,29.1600000,20312
YNDX,60,20110915,180000,29.2500000,29.4200000,29.0100000,29.3200000,57031
YNDX,60,20110915,190000,29.3100000,29.4000000,29.0300000,29.0900000,98615
YNDX,60,20110915,200000,29.0900000,29.2800000,29.0400000,29.1300000,32416
YNDX,60,20110915,210000,29.1100000,29.3000000,29.0300000,29.2100000,38269
YNDX,60,20110915,220000,29.2400000,29.3400000,29.2000000,29.2900000,26925
YNDX,60,20110915,230000,29.3000000,29.8600000,29.2000000,29.7535000,118076
YNDX,60,20110916,000000,29.7500000,29.8000000,29.5100000,29.7400000,137976
YNDX,60,20110916,010000,29.7400000,29.7400000,29.7400000,29.7400000,1700
YNDX,60,20110916,180000,29.6900000,29.9800000,29.4600000,29.8300000,25749
YNDX,60,20110916,190000,29.7200000,29.9300000,29.6100000,29.7300000,33107
YNDX,60,20110916,200000,29.6900000,29.7800000,29.4500000,29.7200000,31780
YNDX,60,20110916,210000,29.7100000,29.9300000,29.6500000,29.9200000,82500
YNDX,60,20110916,220000,29.9100000,30.0400000,29.8300000,29.9800000,87290
YNDX,60,20110916,230000,29.9800000,30.0400000,29.9200000,29.9900000,119806
YNDX,60,20110917,000000,30.0000000,30.0200000,29.9400000,30.0000000,166093
